age,condition,word_label,delay_frames_before,response,img_trigger,session,onset_word,offset_img,scan day,word,no,word_score_warriner,onset_img,duration_frames,rt,key_t,gender,word_trigger,offset_word,img,word_score_pc,delay_frames_after,correct_resp,pause_trigger,pause_trigger_t,ID,duration_measured_img,duration_measured_word
25,faceWord_exp,pos,180,b,21,1,1.0241297189932084,5.543133620994922,Monday,limousine,1,6.14,4.840694245998748,42,-0.428121912998904,4.412572332999844,female,11,1.7251380939997034,image_stim_p.png,-1.4783411251765788,336,1,31,2.725388605998887,77,0.7024393749961746,0.701008375006495
25,faceWord_exp,pos,180,b,21,1,11.154750329995295,15.58153237499937,Monday,pineapple,2,6.9,14.878790527996898,42,-2.9462811010016594,11.932509426995239,female,11,11.846017799995025,image_stim_p.png,-1.6708771386143015,336,1,31,12.847583364993625,77,0.7027418470024713,0.6912674699997297
25,faceWord_exp,neu,180,y,22,1,21.19020390699734,25.619720323993533,Monday,bridge,3,5.44,24.916258884994022,42,0.22348110299935797,25.13973998799338,female,13,21.884695819993794,image_stim_n.png,0.1935892361901769,336,1,42,22.885489123997104,77,0.7034614389995113,0.6944919129964546
25,faceWord_exp,neu,180,b,21,1,31.22604887799389,35.657689297993784,Monday,embassy,4,5.3,34.95081495899649,42,0.42722598100226605,35.378040939998755,female,13,31.92216480299976,image_stim_p.png,-0.05916451699915906,336,1,41,32.92367056299554,77,0.7068743389972951,0.6961159250058699
25,faceWord_exp,pos,180,y,21,1,41.26634198399552,45.69604571399395,Monday,zoo,5,7.0,44.98820499199792,42,0.26094899099553004,45.24915398299345,female,11,41.960951683999156,image_stim_p.png,-2.1296901000704778,336,0,31,42.961885717995756,77,0.7078407219960354,0.6946097000036389
25,faceWord_exp,pos,336,b,21,1,51.30323399599729,58.335203412992996,Monday,boat,6,6.36,57.63105156799429,42,0.6724766190018272,58.30352818699612,female,11,51.998863176995656,image_stim_p.png,-1.0613549170130714,180,1,31,52.999892858999374,77,0.7041518449987052,0.6956291809983668
25,faceWord_exp,neg,336,y,22,1,61.3451404649968,68.37323173999903,Monday,hurricane,7,3.16,67.66798168999958,42,0.2258578539986047,67.89383954399818,female,12,62.036843515998044,image_stim_n.png,3.648586845460279,180,1,32,63.03808606999519,77,0.7052500499994494,0.691703051001241
25,faceWord_exp,neg,180,y,22,1,71.3795066889943,75.80965063199983,Monday,tornado,8,3.63,75.10446281599434,42,0.24349472299945774,75.3479575389938,female,12,72.0748969089982,image_stim_n.png,3.6605330306018913,336,1,32,73.07592692699836,77,0.7051878160054912,0.695390220003901
25,faceWord_exp,neg,336,y,22,1,81.41846706799697,88.44939390299987,Monday,victim,9,2.05,87.74349754099967,42,0.2742517919978127,88.01774933299748,female,12,82.11241231799795,image_stim_n.png,3.457530661450998,180,1,32,83.11264589799976,77,0.7058963620002032,0.6939452500009793
25,faceWord_exp,neu,336,b,22,1,91.4552395139981,98.48727645199688,Monday,beer,10,5.67,97.78218932399614,42,0.29060253799980273,98.07279186199594,female,13,92.15100150499347,image_stim_n.png,-0.9222259722889368,180,0,42,93.1521121669939,77,0.7050871280007414,0.6957619909953792
25,faceWord_exp,neg,336,y,22,1,101.49408821499674,108.52555833099905,Monday,avalanche,11,4.0,107.81866425799672,42,0.27693517800071277,108.09559943599743,female,12,102.18917155899544,image_stim_n.png,3.2148840110758776,180,1,32,103.19022070199571,77,0.7068940730023314,0.6950833439987036
25,faceWord_exp,neg,180,y,22,1,111.53228061799746,115.961794154995,Monday,commander,12,4.73,115.25713219499448,42,0.35897632900014287,115.61610852399463,female,12,112.22724011599348,image_stim_n.png,0.98843671158419,336,1,32,113.22840861299483,77,0.7046619600005215,0.6949594979960239
25,faceWord_exp,neu,336,b,21,1,121.56888671699562,128.60164097399684,Monday,tourist,13,5.71,127.89608571299323,42,0.30782256800011965,128.20390828099335,female,13,122.26538982199418,image_stim_p.png,-0.31568469709749714,180,1,41,123.26642048999929,77,0.7055552610036102,0.6965031049985555
25,faceWord_exp,neg,336,y,22,1,131.6100210749937,138.63972749899403,Monday,envy,14,3.05,137.93367403199954,42,0.40855541299970355,138.34222944499925,female,12,132.30348201899324,image_stim_n.png,3.3697994362845387,180,1,32,133.30451518399786,77,0.70605346699449,0.6934609439995256
25,faceWord_exp,neu,336,b,21,1,141.6449328479939,148.677940441994,Monday,man,15,5.42,147.97053230999882,42,0.4100580149970483,148.38059032499586,female,13,142.34176921799371,image_stim_p.png,-0.277657621999038,180,1,41,143.34306227499474,77,0.7074081319951802,0.6968363699998008
25,faceWord_exp,neu,336,y,22,1,151.68560403799347,158.69932790899475,Monday,corkscrew,16,5.26,158.00829543399595,42,0.4441821919972426,158.4524776259932,female,13,152.37885448199813,image_stim_n.png,-0.3369766028281135,180,1,42,153.3808630019994,77,0.6910324749987922,0.6932504440046614
