age,pause_trigger_t,session,key_t,offset_word,gender,duration_measured_word,duration_frames,rt,duration_measured_img,delay_frames_before,word_trigger,ID,pause_trigger,offset_img,scan day,img,delay_frames_after,no,correct_resp,response,condition,word_score_pc,word,word_score_warriner,onset_word,word_label,onset_img,img_trigger
23,102.67740295245312,5,105.3109654027503,101.67707830062136,female,0.6972378292120993,42,0.6188876763917506,0.6851564198732376,180,11,2019102308,31,105.37723414623179,Wednesday,image_stim_p.png,336,11,1,b,faceWord_exp,-2.3591802685249372,applause,7.12,100.97984047140926,pos,104.69207772635855,21
23,112.67781807039864,5,115.26144381496124,111.67753704776987,female,0.6969561649020761,42,0.5688637122511864,0.6851442293263972,180,11,2019102308,31,115.37772433203645,Wednesday,image_stim_p.png,336,12,1,b,faceWord_exp,-2.249771083793789,intellect,6.62,110.9805808828678,pos,114.69258010271005,21
23,122.67845967481844,5,125.31183156860061,121.67799932369962,female,0.6973825111053884,42,0.6191314859315753,0.6854483499191701,180,13,2019102308,41,125.3781484325882,Wednesday,image_stim_p.png,336,13,1,b,faceWord_exp,-1.2450836009557775,apricot,5.95,120.98061681259423,neu,124.69270008266903,21
23,132.67883501318283,5,135.24569114577025,131.67852960969321,female,0.6975634435657412,42,0.5523744814563543,0.68528345762752,180,11,2019102308,31,135.37860012194142,Wednesday,image_stim_p.png,336,14,1,b,faceWord_exp,-1.4373817092238501,drum,6.05,130.98096616612747,pos,134.6933166643139,21
23,142.67941983556375,5,145.2961709694937,141.67889243690297,female,0.6964258791413158,42,0.6029967411886901,0.685922174481675,180,11,2019102308,31,145.37909640278667,Wednesday,image_stim_p.png,336,15,1,b,faceWord_exp,-2.9544920916265727,friendly,7.84,140.98246655776165,pos,144.693174228305,21
23,152.67984008649364,5,155.29661271395162,151.67945159506053,female,0.6975178895518184,42,0.6025546758901328,0.6854695228394121,180,13,2019102308,41,155.3795275609009,Wednesday,image_stim_p.png,336,16,1,b,faceWord_exp,-0.32385553549685003,carrot,5.79,150.9819337055087,neu,154.69405803806148,21
23,162.68025199649855,5,165.1806440167129,161.67983752000146,female,0.6966003952547908,42,0.48625362757593393,0.6855930318124592,180,12,2019102308,32,165.37998342094943,Wednesday,image_stim_n.png,336,17,1,y,faceWord_exp,0.8708146708303101,banker,4.89,160.98323712474667,neg,164.69439038913697,22
23,172.68062316440046,5,175.330828509992,171.68034438742325,female,0.696336054475978,42,0.6356290576513857,0.6852661340963095,180,13,2019102308,42,175.3804655864369,Wednesday,image_stim_n.png,336,18,1,y,faceWord_exp,-0.4963231956276321,hairbrush,5.95,170.98400833294727,neu,174.6951994523406,22
23,182.68121953564696,5,187.88139655441046,181.6807582222391,female,0.6975185312330723,42,0.5865123223047704,0.6861945355776697,336,12,2019102308,32,187.98107876768336,Wednesday,image_stim_n.png,180,19,1,y,faceWord_exp,0.1828236131989572,cab,4.81,180.98323969100602,neg,187.2948842321057,22
23,192.68164395703934,5,197.93195882439613,191.68122819741257,female,0.6971149621531367,42,0.6358808875083923,0.6854140239302069,336,13,2019102308,42,197.98149196081795,Wednesday,image_stim_n.png,180,20,1,y,faceWord_exp,-1.4097678477610591,mandolin,5.7,190.98411323525943,neu,197.29607793688774,22
23,202.68202539067715,5,205.46572453482077,201.6816599969752,female,0.6971117539796978,42,0.769296410260722,0.6853989462833852,180,12,2019102308,32,205.38182707084343,Wednesday,image_stim_n.png,336,21,1,y,faceWord_exp,1.0236166268558873,hierarchy,4.95,200.98454824299552,neg,204.69642812456004,22
23,212.68252359656617,5,217.83276390936226,211.68211617786437,female,0.6966597437858582,42,0.5357396062463522,0.6854566908441484,336,12,2019102308,32,217.98248099396005,Wednesday,image_stim_n.png,180,22,1,y,faceWord_exp,3.0668244091236065,whine,2.82,210.98545643407851,neg,217.2970243031159,22
23,222.68301025335677,5,227.83329451619647,221.68259256891906,female,0.6958096178714186,42,0.5360661828890443,0.685628640698269,336,12,2019102308,32,227.9828569740057,Wednesday,image_stim_n.png,180,23,1,y,faceWord_exp,2.9843905620469613,mosquito,3.12,220.98678295104764,neg,227.29722833330743,22
23,232.68351455428638,5,235.41708547389135,231.68302950146608,female,0.6971162452828139,42,0.719151504104957,0.6852972521446645,180,13,2019102308,41,235.38323122193106,Wednesday,image_stim_p.png,336,24,1,b,faceWord_exp,0.08756588783899029,mushroom,5.61,230.98591325618327,neu,234.6979339697864,21
23,242.6839822838083,5,245.3006551421713,241.6835334817879,female,0.6972464909777045,42,0.6020914376713336,0.685100921196863,180,12,2019102308,32,245.38366462569684,Wednesday,image_stim_n.png,336,25,1,y,faceWord_exp,0.7498341013103271,dictation,4.26,240.98628699081019,neg,244.69856370449997,22
