ID,offset_word,delay_frames_before,onset_word,session,age,correct_resp,word,no,word_score_warriner,img_trigger,pause_trigger,word_label,delay_frames_after,word_score_pc,duration_frames,gender,duration_measured_word,key_t,scan day,pause_trigger_t,duration_measured_img,offset_img,condition,rt,word_trigger,response,img,onset_img
mikkel,1.6927206139999953,180,1.0036415069999975,6,46,1,bee,1,3.68,22,32,neg,336,1.5036737146000605,42,male,0.6890791069999977,5.27815694200001,Monday,2.6923147620000236,0.6957773249999946,5.409796916999994,faceWord_exp,0.56413735000001,12,y,image_stim_n.png,4.714019592
mikkel,11.708282263000001,336,11.013040268000054,6,46,1,elm,2,6.32,21,31,pos,180,-1.1812540207039297,42,male,0.6952419949999467,17.62941449699997,Monday,12.710236012999985,0.6860705340000095,18.00879218199998,faceWord_exp,0.30669284900000093,11,b,image_stim_p.png,17.32272164799997
mikkel,21.70933031200002,180,21.01403781700003,6,46,1,chocolate,3,7.63,21,31,pos,336,-2.539279812815429,42,male,0.6952924949999897,24.977407244999995,Monday,22.709397437000007,0.6854025129999854,25.408798216000037,faceWord_exp,0.2540115419999438,11,b,image_stim_p.png,24.72339570300005
mikkel,31.707921636000037,180,31.013510060000044,6,46,1,guilt,4,2.29,22,32,neg,336,4.2219398121868315,42,male,0.6944115759999931,35.17886485899999,Monday,32.70979941400003,0.6867820359999541,35.409186140999964,faceWord_exp,0.456460753999977,12,y,image_stim_n.png,34.72240410500001
mikkel,41.70827955499999,180,41.01284733399996,6,46,1,old,5,3.19,22,32,neg,336,1.5556418242275696,42,male,0.6954322210000328,45.09471531999998,Monday,42.708499974999995,0.6847603329999856,45.40789621900001,faceWord_exp,0.37157943399995474,12,y,image_stim_n.png,44.72313588600002
mikkel,51.70883262799998,336,51.01267360400004,6,46,1,prison,6,1.94,22,32,neg,180,3.587794463102913,42,male,0.6961590239999396,57.678039418000026,Monday,52.70917303199997,0.6863419620000286,58.008551936,faceWord_exp,0.3558294440000509,12,y,image_stim_n.png,57.322209973999975
mikkel,61.70810624600006,180,61.013199902999986,6,46,0,soccer,7,5.84,22,42,neu,336,-0.6912617476649511,42,male,0.6949063430000706,65.06158089899998,Monday,62.708721878000006,0.685562768000068,65.40803835500003,faceWord_exp,0.33910531200001515,13,b,image_stim_n.png,64.72247558699996
mikkel,71.70766706699999,336,71.01161808300003,6,46,1,party,8,7.18,21,31,pos,180,-2.3202480308548075,42,male,0.6960489839999582,77.77840425,Monday,72.70901000100002,0.6848787010000024,78.00783859900002,faceWord_exp,0.45544435199997224,11,b,image_stim_p.png,77.32295989800002
mikkel,81.70868233199997,336,81.01214578600002,6,46,1,woe,9,3.38,22,32,neg,180,4.673386290788297,42,male,0.6965365459999475,87.761215462,Monday,82.708553445,0.6837807940000857,88.00739399300005,faceWord_exp,0.4376022630000307,12,y,image_stim_n.png,87.32361319899996
mikkel,91.70729344799997,180,91.01224325999999,6,46,1,funeral,10,2.07,22,32,neg,336,4.494524106175375,42,male,0.695050187999982,95.17703672100004,Monday,92.70839538500002,0.6857495100000506,95.40803162400005,faceWord_exp,0.4547546070000408,12,y,image_stim_n.png,94.722282114
mikkel,101.708570603,180,101.012052208,6,46,1,honeymoon,11,7.53,21,31,pos,336,-3.0889019952949432,42,male,0.6965183949999982,105.11169199400001,Monday,102.70801108,0.6906072770000264,105.40850143,faceWord_exp,0.3937978410000369,11,b,image_stim_p.png,104.71789415299997
mikkel,111.72476658100004,336,111.02841668500002,6,46,1,dinner,12,6.4,21,31,pos,180,-2.2453726125286497,42,male,0.6963498960000152,117.74403501300003,Monday,112.72474282200005,0.6865588299999672,118.02489195099997,faceWord_exp,0.4057018920000246,11,b,image_stim_p.png,117.338333121
mikkel,121.72477261799997,336,121.02925769199999,6,46,1,medicine,13,5.9,22,42,neu,180,0.597486551423763,42,male,0.6955149259999871,127.89437453000005,Monday,122.72536863100004,0.6938364060000595,128.04132685900004,faceWord_exp,0.5468840770000725,13,y,image_stim_n.png,127.34749045299998
mikkel,131.74033226799997,180,131.04562572300006,6,46,1,church,14,5.21,22,42,neu,336,0.4070035035588155,42,male,0.6947065449999172,135.228322176,Monday,132.74111977899997,0.6865031260000478,135.44070218700006,faceWord_exp,0.4741231149999976,13,y,image_stim_n.png,134.754199061
mikkel,141.77386347100003,180,141.07777120599997,6,46,1,bugle,15,5.05,21,41,neu,336,-0.441124933220443,42,male,0.6960922650000612,145.21088382599999,Monday,142.77391900299995,0.6844700919999696,145.47301276500002,faceWord_exp,0.4223411529999339,13,b,image_stim_p.png,144.78854267300005
mikkel,151.77414897699998,336,151.07767616499996,6,46,1,chipmunk,16,7.33,21,31,pos,180,-1.071197614358652,42,male,0.6964728120000245,157.826995485,Monday,152.774142578,0.6848149919999287,158.07315742699996,faceWord_exp,0.4386530499999708,11,b,image_stim_p.png,157.38834243500003
