age,correct_resp,word_score_warriner,no,key_t,onset_img,word_score_pc,duration_measured_img,pause_trigger,word,response,session,word_trigger,condition,scan day,img,delay_frames_before,offset_word,duration_measured_word,offset_img,img_trigger,ID,pause_trigger_t,duration_frames,onset_word,delay_frames_after,gender,rt,word_label
25,1,4.11,1,5.236934850923717,4.687898315954953,2.52891321026023,0.6819641176844016,32,folly,y,6,12,faceWord_exp,Monday,image_stim_n.png,180,1.6696940766414627,0.6902581366011873,5.369862433639355,22,2019102103,2.6701274804072455,42,0.9794359400402755,336,female,0.5490365349687636,neg
25,1,6.81,2,15.204137000488117,14.684682915918529,-1.5755240884938977,0.6857210317393765,31,cheese,b,6,11,faceWord_exp,Monday,image_stim_p.png,180,11.67019324481953,0.6954653973225504,15.370403947657906,21,2019102103,12.670702037052251,42,10.974727847496979,336,female,0.5194540845695883,pos
25,1,3.08,3,27.63807485345751,27.286567115341313,3.1738538072533196,0.684371737879701,32,sin,y,6,12,faceWord_exp,Monday,image_stim_n.png,336,21.67065135028679,0.6962811972480267,27.970938853221014,22,2019102103,22.671099510975182,42,20.974370153038763,180,female,0.3515077381161973,neg
25,1,7.11,4,35.288327677641064,34.68539862555917,-1.4048581699918157,0.6858846407849342,31,blueberry,b,6,11,faceWord_exp,Monday,image_stim_p.png,180,31.671103360597044,0.6957807459402829,35.37128326634411,21,2019102103,32.67155761644244,42,30.97532261465676,336,female,0.6029290520818904,pos
25,1,5.89,5,45.28872226423118,44.686027077026665,-0.4928774877246448,0.6858734127599746,41,chair,b,6,13,faceWord_exp,Monday,image_stim_p.png,180,41.67152457381599,0.6960457284003496,45.37190048978664,21,2019102103,42.67193423816934,42,40.97547884541564,336,female,0.6026951872045174,neu
25,1,3.68,6,57.73942844604608,57.28672045876738,1.5036737146000605,0.6855445905821398,32,bee,y,6,12,faceWord_exp,Monday,image_stim_n.png,336,51.67205325572286,0.6977488670963794,57.97226504934952,22,2019102103,52.672445596777834,42,50.97430438862648,180,female,0.4527079872786999,neg
25,1,5.64,7,65.35643397609238,64.68678801972419,0.6345811289687322,0.6858586558373645,41,big,b,6,13,faceWord_exp,Monday,image_stim_p.png,180,61.67247928096913,0.6969372376333922,65.37264667556155,21,2019102103,62.67295021854807,42,60.975542043335736,336,female,0.6696459563681856,neu
25,1,6.92,8,77.67348852462601,77.2873976721894,-1.2017878999114775,0.6858163098804653,31,sun,b,6,11,faceWord_exp,Monday,image_stim_p.png,336,71.67297812842298,0.6978261804906651,77.97321398206986,21,2019102103,72.67340415366925,42,70.97515194793232,180,female,0.38609085243660957,pos
25,1,5.81,9,85.27400899399072,84.68814790004399,-0.9476055713690849,0.6854846006026492,41,satire,b,6,13,faceWord_exp,Monday,image_stim_p.png,180,81.67338522628415,0.6967437939019874,85.37363250064664,21,2019102103,82.6737682641251,42,80.97664143238217,336,female,0.5858610939467326,neu
25,1,5.95,10,95.20779029547703,94.6881071581738,-0.1293625696653618,0.6859061345458031,42,escalator,y,6,13,faceWord_exp,Monday,image_stim_n.png,180,91.67386963753961,0.6972455284558237,95.37401329271961,22,2019102103,92.67423182318453,42,90.97662410908379,336,female,0.5196831373032182,neu
