onset_img,img,duration_measured_img,word_trigger,age,pause_trigger,session,word_score_warriner,gender,response,correct_resp,offset_img,img_trigger,onset_word,key_t,ID,pause_trigger_t,word_score_pc,duration_frames,delay_frames_after,rt,offset_word,duration_measured_word,scan day,no,condition,delay_frames_before,word_label,word
4.801493900000423,image_stim_p.png,0.6767278999996051,13,25,41,3,5.34,female,b,1,5.4782218000000285,21,1.0391182000003027,5.196254899999985,gr1nr2,2.7311303000005864,-0.1793860699809707,42,336,0.39476099999956205,1.7333251999998538,0.694206999999551,Monday,1,faceWord_exp,180,neu,patent
17.475981600000523,image_stim_n.png,0.6761065999999119,13,25,42,3,5.73,female,y,1,18.152088200000435,22,11.080408499999976,18.120299700000032,gr1nr2,12.77244299999984,0.30770997164376424,42,180,0.6443180999995093,11.772523499999807,0.6921149999998306,Monday,2,faceWord_exp,336,neu,reality
24.904503200000363,image_stim_p.png,0.68994339999972,13,25,41,3,5.65,female,b,1,25.594446600000083,21,21.15871380000044,25.395351300000584,gr1nr2,22.848343800000293,0.13339963708933658,42,336,0.49084810000022117,21.84826940000039,0.6895555999999488,Monday,3,faceWord_exp,180,neu,pencil
37.544579299999896,image_stim_n.png,0.6901706000007835,12,25,32,3,2.81,female,y,1,38.23474990000068,22,31.199459800000113,37.986084400000436,gr1nr2,32.892382900000484,3.6887696102955196,42,180,0.44150510000054055,31.88954939999985,0.6900895999997374,Monday,4,faceWord_exp,336,neg,malice
47.570331400000214,image_stim_p.png,0.6895563999996739,11,25,31,3,7.48,female,b,1,48.25988779999989,21,41.23736580000059,48.02832330000001,gr1nr2,42.930432300000575,-2.2287379941341,42,180,0.45799189999979717,41.93108130000019,0.6937154999995983,Monday,5,faceWord_exp,336,pos,hope
54.982456900000216,image_stim_n.png,0.6871946999999636,12,25,32,3,3.37,female,y,1,55.66965160000018,22,51.268222000000605,55.3705872999999,gr1nr2,52.95598599999994,2.411295736651624,42,336,0.3881303999996817,51.956298300000526,0.6880762999999206,Monday,6,faceWord_exp,180,neg,tobacco
65.02026509999996,image_stim_p.png,0.6753377000004548,11,25,31,3,8.21,female,b,1,65.69560280000042,21,61.28788429999986,65.46210470000005,gr1nr2,62.96427159999985,-3.230607919269787,42,336,0.4418396000000939,61.96448810000038,0.676603800000521,Monday,7,faceWord_exp,180,pos,joy
77.6280942000003,image_stim_p.png,0.689737900000182,11,25,31,3,6.75,female,b,1,78.31783210000049,21,71.29723840000042,77.96881490000032,gr1nr2,72.99061170000004,-1.0841943171680315,42,180,0.34072070000001986,71.9911019000001,0.6938634999996793,Monday,8,faceWord_exp,336,pos,bird
87.63910160000069,image_stim_n.png,0.6876613999993424,12,25,32,3,2.62,female,y,1,88.32676300000003,22,81.32153420000031,88.26099000000067,gr1nr2,83.01440439999988,4.2618443246155895,42,180,0.6218883999999889,82.01470440000048,0.6931702000001678,Monday,9,faceWord_exp,336,neg,shame
97.65805630000068,image_stim_p.png,0.676773599999251,13,25,41,3,5.7,female,b,1,98.33482989999993,21,91.33370640000066,98.03616099999999,gr1nr2,93.02337249999982,0.07332602516344529,42,180,0.3781046999993123,92.02366729999994,0.6899608999992779,Monday,10,faceWord_exp,336,neu,jungle
