delay_frames_after,duration_measured_word,img_trigger,ID,session,response,scan day,word_trigger,img,delay_frames_before,word_label,pause_trigger_t,gender,correct_resp,pause_trigger,no,age,onset_img,word_score_pc,offset_img,onset_word,offset_word,condition,word,duration_measured_img,duration_frames,rt,word_score_warriner,key_t
180,0.6893335848581046,22,2019102205,1,y,Tuesday,12,image_stim_n.png,336,neg,2.6848109159618616,female,1,32,1,25,7.30311954440549,1.3014161644429498,7.98470768192783,0.9951241279486567,1.6844577128067613,faceWord_exp,gasp,0.6815881375223398,42,0.91547985910438,4.5,8.21859940350987
336,0.694372424390167,22,2019102205,1,y,Tuesday,12,image_stim_n.png,180,neg,12.685259397374466,female,1,32,2,25,14.699297699844465,3.2148840110758776,15.38504182943143,10.990493027959019,11.684865452349186,faceWord_exp,avalanche,0.6857441295869648,42,0.4862654972821474,4.0,15.185563197126612
336,0.6956777684390545,21,2019102205,1,b,Tuesday,13,image_stim_p.png,180,neu,22.685715257190168,female,1,41,3,25,24.701889139600098,-0.31568469709749714,25.385489027481526,20.989706741878763,21.685384510317817,faceWord_exp,tourist,0.683599887881428,42,0.6175646882038563,5.71,25.319453827803954
180,0.6961278538219631,22,2019102205,1,y,Tuesday,12,image_stim_n.png,336,neg,32.68611080641858,female,1,32,4,25,37.30109816999175,0.98843671158419,37.986072374274954,30.989656696794555,31.685784550616518,faceWord_exp,commander,0.6849742042832077,42,0.7687510466203094,4.73,38.069849216612056
336,0.6964082347694784,21,2019102205,1,b,Tuesday,13,image_stim_p.png,180,neu,42.68662088178098,female,1,41,5,25,44.7009087682236,-0.9990759838186469,45.38640555925667,40.98982190992683,41.68623014469631,faceWord_exp,field,0.6854967910330743,42,0.78599993721582,5.73,45.48690870543942
336,0.6966780293732882,22,2019102205,1,b,Tuesday,13,image_stim_n.png,180,neu,52.68705556867644,female,0,42,6,25,54.70205563609488,-0.9222259722889368,55.38684634142555,50.98996530845761,51.6866433378309,faceWord_exp,beer,0.6847907053306699,42,0.4018281230237335,5.67,55.10388375911862
336,0.6972516237292439,22,2019102205,1,y,Tuesday,12,image_stim_n.png,180,neg,62.68746779952198,female,1,32,7,25,64.70136366575025,0.5814463879932942,65.38737502344884,60.98994028591551,61.68719190964475,faceWord_exp,sandpaper,0.6860113576985896,42,0.5863038010429591,4.95,65.28766746679321
180,0.6971996538341045,22,2019102205,1,y,Tuesday,12,image_stim_n.png,336,neg,72.6879589476157,female,1,32,8,25,77.30216836580075,3.3697994362845387,77.98791153309867,70.990401920164,71.68760157399811,faceWord_exp,envy,0.6857431672979146,42,0.519404681166634,3.05,77.82157304696739
180,0.6965134579222649,21,2019102205,1,b,Tuesday,13,image_stim_p.png,336,neu,82.68838818091899,female,1,41,9,25,87.30299699795432,-0.08455950357770388,87.98832633020356,80.9915141412057,81.68802759912796,faceWord_exp,keyboard,0.6853293322492391,42,0.8192443440202624,5.17,88.12224134197459
180,0.6974848466925323,21,2019102205,1,b,Tuesday,11,image_stim_p.png,336,pos,92.68885879754089,female,1,31,10,25,97.30378905846737,-1.0543324261381863,97.9888177991379,90.99101240676828,91.68849725346081,faceWord_exp,oak,0.685028740670532,42,0.8188112610951066,6.47,98.12260031956248
180,0.6967816485557705,21,2019102205,1,b,Tuesday,11,image_stim_p.png,336,pos,102.6893627778627,female,1,31,11,25,107.30358470743522,-1.2313279950095668,107.98922906746157,100.99218461778946,101.68896626634523,faceWord_exp,new,0.6856443600263447,42,0.7862549747806042,7.68,108.08983968221582
180,0.6972525860182941,21,2019102205,1,b,Tuesday,13,image_stim_p.png,336,neu,112.6898978757672,female,1,41,12,25,117.30532441753894,0.3759356543037889,117.9896794736851,110.99216569052078,111.68941827653907,faceWord_exp,fence,0.6843550561461598,42,0.8516164899338037,5.05,118.15694090747274
180,0.6977382805198431,21,2019102205,1,b,Tuesday,13,image_stim_p.png,336,neu,122.69030272820964,female,1,41,13,25,127.30486759520136,-0.17528733847197087,127.99020751402713,120.99214932951145,121.68988761003129,faceWord_exp,rocket,0.6853399188257754,42,0.9692341105546802,5.8,128.27410170575604
180,0.6972721549682319,22,2019102205,1,y,Tuesday,12,image_stim_n.png,336,neg,132.69067068817094,female,1,32,14,25,137.30541648785584,4.010420717126172,137.99060755432583,130.99304853798822,131.69032069295645,faceWord_exp,lonely,0.6851910664699972,42,0.43562655546702445,2.67,137.74104304332286
180,0.6973420900758356,22,2019102205,1,y,Tuesday,13,image_stim_n.png,336,neu,142.69120097416453,female,1,42,15,25,147.3052342722658,-0.18281188470513854,147.99103967496194,140.99343414208852,141.69077623216435,faceWord_exp,spatula,0.6858054026961327,42,0.8197403040248901,5.14,148.1249745762907
180,0.6975525361485779,21,2019102205,1,b,Tuesday,11,image_stim_p.png,336,pos,152.6916635709349,female,1,31,16,25,157.30646615242586,-1.0613549170130714,157.99153627664782,150.993675385369,151.69122792151757,faceWord_exp,boat,0.6850701242219657,42,0.702256778953597,6.36,158.00872293137945
336,0.6971682151779532,22,2019102205,1,y,Tuesday,13,image_stim_n.png,180,neu,162.69202126539312,female,1,42,17,25,164.7056505449582,-0.3369766028281135,165.39184860954992,160.9944905436132,161.69165875879116,faceWord_exp,corkscrew,0.6861980645917356,42,0.7033584136515856,5.26,165.40900895860977
336,0.6975265513174236,21,2019102205,1,b,Tuesday,11,image_stim_p.png,180,pos,172.6926205237396,female,1,31,18,25,174.7080786966253,-2.8031613090757777,175.39228425896727,170.99461854365654,171.69214509497397,faceWord_exp,beach,0.6842055623419583,42,0.4512181819882244,7.21,175.15929687861353
336,0.6976051474921405,22,2019102205,1,y,Tuesday,12,image_stim_n.png,180,neg,182.6930690051522,female,1,32,19,25,184.70767448586412,1.5906822936049958,185.39274974283762,180.99502596259117,181.6926311100833,faceWord_exp,mouse,0.685075256973505,42,0.6021052321884781,4.8,185.3097797180526
180,0.6974684859160334,21,2019102205,1,b,Tuesday,11,image_stim_p.png,336,pos,192.69345525093377,female,1,31,20,25,197.3080419327598,-1.1648995537800455,197.9933500920888,190.9956521682907,191.69312065420672,faceWord_exp,plum,0.6853081593289971,42,0.6189752551726997,6.15,197.9270171879325
336,0.697372566210106,22,2019102205,1,y,Tuesday,12,image_stim_n.png,180,neg,202.6939322836697,female,1,32,21,25,204.70859422557987,3.457530661450998,205.39368969318457,200.99609712092206,201.69346968713216,faceWord_exp,victim,0.6850954676046968,42,0.4855375972110778,2.05,205.19413182279095
336,0.6972355835605413,22,2019102205,1,y,Tuesday,12,image_stim_n.png,180,neg,212.69445326644927,female,1,32,22,25,214.708343999926,0.7573178762670367,215.39415036514401,210.99668579292484,211.69392137648538,faceWord_exp,meeting,0.6858063652180135,42,0.6863680896349251,4.55,215.39471208956093
336,0.6973478645086288,21,2019102205,1,y,Tuesday,11,image_stim_p.png,180,pos,222.69484304101206,female,0,31,23,25,224.70962239662185,-2.3673221107876317,225.39455553819425,220.9970325799659,221.69438044447452,faceWord_exp,garden,0.6849331415724009,42,0.6854271769989282,7.25,225.39504957362078
180,0.6977427718229592,21,2019102205,1,b,Tuesday,11,image_stim_p.png,336,pos,232.6952507805545,female,1,31,24,25,237.31021600891836,-2.2727319315779937,237.99518732586876,230.9971018731594,231.69484464498237,faceWord_exp,pie,0.6849713169503957,42,0.5352859918493778,6.45,237.84550200076774
