condition,duration_measured_img,response,offset_img,onset_word,duration_measured_word,word_score_pc,rt,word_trigger,correct_resp,word,onset_img,duration_frames,pause_trigger_t,key_t,scan day,delay_frames_after,img_trigger,pause_trigger,offset_word,session,img,ID,word_score_warriner,age,no,delay_frames_before,word_label,gender
faceWord_exp,0.682098533725366,y,5.372309833299369,0.9829259467078373,0.6891340458532795,-0.1793860699809707,0.6157592135714367,13,1,patent,4.690211299574003,42,2.672402930096723,5.305970513145439,Monday,336,22,42,1.6720599925611168,3,image_stim_n.png,2019102102,5.34,24,1,180,neu,female
faceWord_exp,0.6855410616844893,y,15.372710836003534,10.976769753266126,0.6957804249832407,3.9847946241932393,0.8528512574266642,12,1,snub,14.687169774319045,42,12.672981657204218,15.54002103174571,Monday,336,22,32,11.672550178249367,3,image_stim_n.png,2019102102,3.23,24,2,180,neg,female
faceWord_exp,0.6842273769434541,y,25.373180811177008,20.9768955076579,0.6961166256805882,-0.3331872788781821,0.5513235335238278,12,1,voter,24.688953434233554,42,22.673348975600675,25.24027696775738,Monday,336,22,32,21.67301213333849,3,image_stim_n.png,2019102102,4.85,24,3,180,neg,female
faceWord_exp,0.6848125199321657,b,37.97374587203376,30.976613843347877,0.6969122150912881,-2.2287379941341,0.4518642775947228,11,1,hope,37.288933352101594,42,32.67390781303402,37.74079762969632,Monday,180,21,31,31.673526058439165,3,image_stim_p.png,2019102102,7.48,24,4,336,pos,female
faceWord_exp,0.6851605903357267,b,47.97423541615717,40.978095307713374,0.6958529263501987,-1.2126784285084091,0.5521759048569947,11,1,agreement,47.289074825821444,42,42.67433127190452,47.84125073067844,Monday,180,21,31,41.67394823406357,3,image_stim_p.png,2019102102,6.75,24,5,336,pos,female
faceWord_exp,0.6852398285409436,y,57.97474452923052,50.977068099193275,0.697302310494706,0.20373950943912453,0.635559122893028,13,1,plane,57.28950470068958,42,52.67472393368371,57.925063823582605,Monday,180,22,42,51.67437040968798,3,image_stim_n.png,2019102102,5.72,24,6,336,neu,female
faceWord_exp,0.685548119363375,y,65.37501804507338,60.97849149839021,0.6963565857149661,3.4172209593162717,0.5859300664160401,12,1,delirium,64.68946992571,42,62.675234329886734,65.27539999212604,Monday,336,22,32,61.67484808410518,3,image_stim_n.png,2019102102,3.4,24,7,180,neg,female
faceWord_exp,0.6848089911509305,b,75.37546652648598,70.9777206107974,0.6975733883446082,-1.0841943171680315,0.8520858235424384,11,1,bird,74.69065753533505,42,72.67566677124705,75.54274335887749,Monday,336,21,31,71.67529399914201,3,image_stim_p.png,2019102102,6.75,24,8,180,pos,female
faceWord_exp,0.6856677784817293,b,85.37592302798294,80.97878631565254,0.6969834330957383,0.5062695562835388,0.6693784072995186,13,1,year,84.6902552495012,42,82.67621630534995,85.35963365680072,Monday,336,21,41,81.67576974874828,3,image_stim_p.png,2019102102,5.75,24,9,180,neu,female
faceWord_exp,0.6848660940304399,b,97.97657278075349,90.97873242083006,0.6975429120939225,-2.098490136277324,0.451917210011743,11,1,rose,97.29170668672305,42,92.67656245082617,97.74362389673479,Monday,180,21,31,91.67627533292398,3,image_stim_p.png,2019102102,7.11,24,10,336,pos,female
faceWord_exp,0.6850524799665436,y,107.97708766814321,100.97995756426826,0.6967421899316832,1.7592404876513306,0.5853600009577349,12,1,cold,107.29203518817667,42,102.67705744865816,107.8773951891344,Monday,180,22,32,101.67669975419994,3,image_stim_n.png,2019102102,4.32,24,11,336,neg,female
faceWord_exp,0.6848798884311691,b,117.97742836002726,110.97972722828854,0.697417157702148,-1.728066945394655,0.5352426836034283,11,1,computer,117.29254847159609,42,112.67754795507062,117.82779115519952,Monday,180,21,31,111.67714438599069,3,image_stim_p.png,2019102102,6.84,24,12,336,pos,female
faceWord_exp,0.6847393771167845,b,125.37782281835098,120.9809311988065,0.6967011272208765,-1.6804307003665144,0.48508173727896065,11,1,flute,124.6930834412342,42,122.67798232124187,125.17816517851315,Monday,336,21,31,121.67763232602738,3,image_stim_p.png,2019102102,6.29,24,13,180,pos,female
faceWord_exp,0.6857354678213596,b,135.37821066821925,130.9814836201258,0.6965936585329473,0.5990623206044929,0.636161268572323,13,1,witness,134.6924752003979,42,132.67840513843112,135.32863646897022,Monday,336,21,41,131.67807727865875,3,image_stim_p.png,2019102102,5.61,24,14,180,neu,female
faceWord_exp,0.6858301043976098,b,147.97882641584147,140.98246014188044,0.6961188713321462,-3.230607919269787,0.5194983552210033,11,1,joy,147.29299631144386,42,142.67894216126297,147.81249466666486,Monday,180,21,31,141.67857901321258,3,image_stim_p.png,2019102102,8.21,24,15,336,pos,female
faceWord_exp,0.6857681896071881,b,157.97927297244314,150.9812122215517,0.6977687567705289,-0.6884171372613734,0.5028387783095241,13,1,egg,157.29350478283595,42,152.67930627171881,157.79634356114548,Monday,180,21,41,151.67898097832222,3,image_stim_p.png,2019102102,5.95,24,16,336,neu,female
faceWord_exp,0.685906776227057,y,165.37961193209048,160.98223269323353,0.6972272427519783,3.6887696102955196,0.7197863714536652,12,1,malice,164.69370515586343,42,162.67981410154607,165.4134915273171,Monday,336,22,32,161.6794599359855,3,image_stim_n.png,2019102102,2.81,24,17,180,neg,female
faceWord_exp,0.6859282699879259,y,177.98016865213867,170.9825108286459,0.6974213281646371,0.13339963708933658,0.6696783574298024,13,1,pencil,177.29424038215075,42,172.6803681269521,177.96391873958055,Monday,180,22,42,171.67993215681054,3,image_stim_n.png,2019102102,5.65,24,18,336,neu,female
faceWord_exp,0.6858403701335192,b,187.98064472246915,180.98354124522302,0.6968159744283184,-1.9950971558262764,0.7364898982923478,11,1,park,187.29480435233563,42,182.68075950548518,188.03129425062798,Monday,180,21,31,181.68035721965134,3,image_stim_p.png,2019102102,7.0,24,19,336,pos,female
