pause_trigger,condition,scan day,pause_trigger_t,ID,word_score_pc,img_trigger,rt,correct_resp,gender,response,duration_frames,word_trigger,delay_frames_after,onset_img,onset_word,no,word_label,offset_word,offset_img,duration_measured_img,word_score_warriner,delay_frames_before,duration_measured_word,session,word,age,key_t,img
41,faceWord_exp,Wednesday,102.68807347398251,2019102307,-1.5026706526379858,21,0.602927127154544,1,female,b,42,13,336,104.7020707137417,100.99066176987253,11,neu,101.68771417555399,105.38797075301409,0.6859000392723829,5.82,180,0.6970524056814611,3,spiritual,25,105.30499784089625,image_stim_p.png
41,faceWord_exp,Wednesday,112.6885864364449,2019102307,-0.945340141786388,21,0.6516935466788709,1,female,b,42,13,180,117.30389267741702,110.99076635134406,12,neu,111.68816009047441,117.98845978383906,0.6845671064220369,5.58,336,0.697393739130348,3,tuba,25,117.9555862240959,image_stim_p.png
31,faceWord_exp,Wednesday,122.68904261710122,2019102307,-1.9002611819546853,21,0.5363269948866218,1,female,b,42,11,336,124.70284352614544,120.99130979017355,13,pos,121.68863134877756,125.38880644273013,0.6859629165846854,7.11,180,0.6973215586040169,3,couple,25,125.23917052103207,image_stim_p.png
42,faceWord_exp,Wednesday,132.68959664250724,2019102307,0.5062695562835388,22,0.5019196800421923,1,female,y,42,13,336,134.7044298928231,130.9923652294092,14,neu,131.6891667675227,135.38927577622235,0.6848458833992481,5.75,180,0.6968015381135046,3,year,25,135.2063495728653,image_stim_n.png
31,faceWord_exp,Wednesday,142.68999347486533,2019102307,-2.484088237918995,21,0.6691095749847591,1,female,b,42,11,336,144.70439524622634,140.9923774197232,15,pos,141.68963032681495,145.389730673749,0.6853354275226593,7.23,180,0.6972529070917517,3,butterfly,25,145.3735048212111,image_stim_p.png
42,faceWord_exp,Wednesday,152.69041019678116,2019102307,-0.1793860699809707,22,0.7194431130774319,1,female,y,42,13,180,157.30491892364807,150.9931492698379,16,neu,151.69008426181972,157.99028258165345,0.6853636580053717,5.34,336,0.6969349919818342,3,patent,25,158.0243620367255,image_stim_n.png
32,faceWord_exp,Wednesday,162.69083750527352,2019102307,1.7592404876513306,22,0.5693266298621893,1,female,y,42,12,180,167.30515727959573,160.99289359059185,17,neg,161.69059818680398,167.99077501310967,0.6856177335139364,4.32,336,0.6977045962121338,3,cold,25,167.87448390945792,image_stim_n.png
31,faceWord_exp,Wednesday,172.69131999183446,2019102307,-1.9950971558262764,21,0.6358969274442643,1,female,b,42,11,336,174.7055405098945,170.99419283913448,18,pos,171.69098635739647,175.39112648391165,0.6855859740171582,7.0,180,0.696793518261984,3,park,25,175.34143743733875,image_stim_p.png
31,faceWord_exp,Wednesday,182.69184482400306,2019102307,-1.0930411682114536,21,0.6852318083401769,1,female,b,42,11,180,187.3069534508977,180.99492266424932,19,pos,181.69137420738116,187.99170084809884,0.6847473972011358,6.62,336,0.6964515431318432,3,goldfish,25,187.99218525923789,image_stim_p.png
31,faceWord_exp,Wednesday,192.6922246539034,2019102307,-2.0727743906520253,21,0.6866382050793618,1,female,b,42,11,336,194.70602492103353,190.99478696472943,20,pos,191.6918659969233,195.39204365713522,0.686018736101687,6.26,180,0.6970790321938694,3,fountain,25,195.3926631261129,image_stim_p.png
32,faceWord_exp,Wednesday,202.69265741598792,2019102307,3.4211910580769755,22,0.7354469704441726,1,female,y,42,12,180,207.30771214794368,200.9953387444839,21,neg,201.6923170448281,207.9926366279833,0.6849244800396264,3.0,336,0.6969783003441989,3,tax,25,208.04315911838785,image_stim_n.png
31,faceWord_exp,Wednesday,212.6930847244803,2019102307,-1.0841943171680315,21,0.6853809813037515,1,female,b,42,11,336,214.70822177431546,210.99490854889154,22,pos,211.6929384386167,215.39299066527747,0.6847688909620047,6.75,180,0.6980298897251487,3,bird,25,215.3936027556192,image_stim_p.png
31,faceWord_exp,Wednesday,222.69357619341463,2019102307,-2.2287379941341,21,0.518576049245894,1,female,b,42,11,336,224.70848675677553,220.99559602793306,23,pos,221.6932197820861,225.39350876072422,0.6850220039486885,7.48,180,0.6976237541530281,3,hope,25,225.22706280602142,image_stim_p.png
32,faceWord_exp,Wednesday,232.69415556197055,2019102307,3.6887696102955196,22,0.43597462587058544,1,female,y,42,12,336,234.7082397392951,230.9963544041384,24,neg,231.69368558679707,235.39390334743075,0.6856636081356555,2.81,180,0.6973311826586723,3,malice,25,235.14421436516568,image_stim_n.png
42,faceWord_exp,Wednesday,242.69456266006455,2019102307,0.2046331385026182,22,0.7692784452810884,1,female,y,42,13,336,244.70901255169883,240.9966649406124,25,neu,241.69413406820968,245.39431269094348,0.6853001392446458,5.48,180,0.6974691275972873,3,glass,25,245.47829099697992,image_stim_n.png
32,faceWord_exp,Wednesday,252.69497200357728,2019102307,3.583082910341294,22,0.5698418382089585,1,female,y,42,12,336,254.7085961503908,250.9972449510824,26,neg,251.69461655477062,255.39473294164054,0.6861367912497371,3.47,180,0.6973716036882252,3,cyclone,25,255.27843798859976,image_stim_n.png
32,faceWord_exp,Wednesday,262.6954313921742,2019102307,0.33736940436804663,22,0.6521192512009293,0,female,b,42,12,180,267.3103629362304,260.9977948057931,27,neg,261.695061507402,267.995333932573,0.6849709963425994,4.7,336,0.6972667016088963,3,radish,25,267.9624821874313,image_stim_n.png
31,faceWord_exp,Wednesday,272.69586543762125,2019102307,-1.100912149643323,21,0.8194897577632219,1,female,b,42,11,180,277.31025546742603,270.998532009311,28,pos,271.695528274402,277.99582187249325,0.6855664050672203,6.32,336,0.696996265091002,3,saxophone,25,278.12974522518925,image_stim_p.png
32,faceWord_exp,Wednesday,282.69639732758515,2019102307,1.9197700017151131,22,0.6354709023144096,1,female,y,42,12,336,284.71106343972497,280.99834498157725,29,neg,281.6959716230631,285.39613516791724,0.6850717281922698,4.18,180,0.6976266414858401,3,belch,25,285.3465343420394,image_stim_n.png
31,faceWord_exp,Wednesday,292.6967643252574,2019102307,-1.6804307003665144,21,0.5185243999585509,1,female,b,42,11,180,297.3120808317326,290.9990170621313,30,pos,291.69643293647096,297.9967236474622,0.6846428157296032,6.29,336,0.6974158743396401,3,flute,25,297.83060523169115,image_stim_p.png
31,faceWord_exp,Wednesday,302.69733342831023,2019102307,-1.4106928476010352,21,0.7187245162203908,1,female,b,42,11,180,307.31241991976276,300.99930899217725,31,pos,301.6968862300273,307.99717084574513,0.684750925982371,6.63,336,0.6975772378500551,3,car,25,308.03114443598315,image_stim_p.png
42,faceWord_exp,Wednesday,312.6977142202668,2019102307,-1.7878104403788575,22,0.9521924583241343,1,female,y,42,13,180,317.3126772029791,310.9997626063414,32,neu,311.6973696788773,317.99764884100296,0.6849716380238533,5.4,336,0.6976070725359023,3,harp,25,318.26486966130324,image_stim_n.png
31,faceWord_exp,Wednesday,322.6981402456295,2019102307,-1.2474567486001964,21,0.6513194914441556,1,female,b,42,11,336,324.7136911302805,321.0006021456793,33,pos,321.6978111027274,325.39798780041747,0.6842966701369733,6.71,180,0.697208957048133,3,advantage,25,325.36501062172465,image_stim_p.png
42,faceWord_exp,Wednesday,332.6986269024201,2019102307,-0.23071750329615884,22,0.7024463729467243,1,female,y,42,13,336,334.71303797722794,331.00050077214837,34,neu,331.6982743409462,335.39844141481444,0.6854034375865012,5.63,180,0.6977735687978566,3,pen,25,335.41548435017467,image_stim_n.png
31,faceWord_exp,Wednesday,342.6990798751358,2019102307,-1.9498998207384868,21,0.6851827255450189,1,female,b,42,11,336,344.71424708049744,341.0015754592605,35,pos,341.698737579165,345.3989113897551,0.6846643092576414,7.15,180,0.697162119904533,3,symphony,25,345.39942980604246,image_stim_p.png
32,faceWord_exp,Wednesday,352.6995411887765,2019102307,0.7962654471128737,22,0.7029946239199489,1,female,y,42,12,336,354.7135442029685,351.00192513363436,36,neg,351.69922648184,355.3993544175755,0.685810214607045,4.57,180,0.6973013482056558,3,reporter,25,355.4165388268884,image_stim_n.png
