pause_trigger_t,ID,condition,word,onset_img,gender,img_trigger,onset_word,scan day,duration_frames,correct_resp,duration_measured_word,age,no,duration_measured_img,word_trigger,word_label,offset_word,img,response,pause_trigger,offset_img,session,word_score_warriner,delay_frames_after,key_t,delay_frames_before,rt,word_score_pc
2.7361337809998076,77,faceWord_exp,jam,7.483245312003419,female,22,1.029991675997735,Monday,42,1,0.7046939950087108,25,1,0.7042704399937065,13,neu,1.7346856710064458,image_stim_n.png,y,42,8.187515751997125,3,5.81,180,8.058817244993406,336,0.5755719329899875,-1.343270424679961
12.890824311005417,77,faceWord_exp,rose,14.960131696992903,female,21,11.196141673994134,Monday,42,1,0.6935598950076383,25,2,0.6978530320047867,11,pos,11.889701569001772,image_stim_p.png,b,31,15.65798472899769,3,7.11,336,15.394599578998168,180,0.434467882005265,-2.098490136277324
22.96206379699288,77,faceWord_exp,island,27.597044195994386,female,21,21.266194722004002,Monday,42,1,0.6935706689982908,25,3,0.6998566960101016,11,pos,21.959765391002293,image_stim_p.png,b,31,28.296900892004487,3,7.18,180,28.150344149995362,336,0.5532999540009769,-1.7760144816699572
33.00004781399912,77,faceWord_exp,debate,37.63562512099452,female,22,31.306410709992633,Monday,42,1,0.6922179750108626,25,4,0.6998214240011293,12,neg,31.998628685003496,image_stim_n.png,y,32,38.33544654499565,3,4.95,180,38.20631934500125,336,0.5706942240067292,1.239138220826116
43.054223074999754,77,faceWord_exp,fountain,45.09154854199733,female,21,41.350676697999006,Monday,42,1,0.7027367219998268,25,5,0.6973478790023364,11,pos,42.05341341999883,image_stim_p.png,b,31,45.78889642099966,3,6.26,336,45.725136837005266,180,0.6335882950079395,-2.0727743906520253
53.09337632000097,77,faceWord_exp,symphony,57.72793723399809,female,21,51.39919454399205,Monday,42,1,0.6926514980004868,25,6,0.6996317419980187,11,pos,52.09184604199254,image_stim_p.png,b,31,58.42756897599611,3,7.15,180,58.24972967999929,336,0.5217924460012,-1.9498998207384868
63.147204438995686,77,faceWord_exp,dusty,65.1807418219978,female,22,61.43778471399855,Monday,42,1,0.7084071629942628,25,7,0.7009143979958026,12,neg,62.146191876992816,image_stim_n.png,y,32,65.8816562199936,3,3.95,336,65.70327447999443,180,0.522532657996635,1.8802224749820768
73.18514910399972,77,faceWord_exp,butterfly,75.21656956599327,female,21,71.49183292700036,Monday,42,1,0.6922033390001161,25,8,0.702841491001891,11,pos,72.18403626600048,image_stim_p.png,b,31,75.91941105699516,3,7.23,336,75.75663436799368,180,0.5400648020004155,-2.484088237918995
83.22313235899492,77,faceWord_exp,park,87.85440386099799,female,21,81.52714934300457,Monday,42,1,0.6950496499921428,25,9,0.7040340899984585,11,pos,82.22219899299671,image_stim_p.png,b,31,88.55843795099645,3,7.0,180,88.4304080639995,336,0.5760042030015029,-1.9950971558262764
93.26207109399547,77,faceWord_exp,volcano,97.89333006099332,female,22,91.56716609599243,Monday,42,1,0.6933438250125619,25,10,0.7036414760077605,12,neg,92.260509921005,image_stim_n.png,y,32,98.59697153700108,3,4.59,180,98.18481017599697,336,0.291480115003651,2.1987551193617842
