ID,offset_word,delay_frames_before,onset_word,session,age,correct_resp,word,no,word_score_warriner,img_trigger,pause_trigger,word_label,delay_frames_after,word_score_pc,duration_frames,gender,duration_measured_word,key_t,scan day,pause_trigger_t,duration_measured_img,offset_img,condition,rt,word_trigger,response,img,onset_img
mikkel,1.7223789820000093,180,1.0168025550000266,5,,1,tea,1,6.56,21,31,pos,336,-1.410303556989907,42,male,0.7055764269999827,5.36006082900002,Monday,2.7233731690000127,0.7133799189999763,5.4895870590000015,faceWord_exp,0.5838536889999943,11,b,image_stim_p.png,4.776207140000025
mikkel,11.788059920000023,336,11.093515607,5,,1,jealousy,2,2.58,22,32,neg,180,3.693241029119933,42,male,0.6945443130000228,17.642821640000022,Monday,12.788778259000026,0.7001910029999863,18.10478119000001,faceWord_exp,0.23823145299999737,12,y,image_stim_n.png,17.404590187000025
mikkel,21.80408861800001,180,21.11007285300002,5,,1,ambulance,3,3.71,22,32,neg,336,2.2468136409924253,42,male,0.694015764999989,25.273486470000023,Monday,22.80576567,0.7057281200000034,25.523690664000014,faceWord_exp,0.4555239260000121,12,y,image_stim_n.png,24.81796254400001
mikkel,31.822734705000016,180,31.126180976,5,,1,rum,4,5.57,22,42,neu,336,-1.1343736111597311,42,male,0.6965537290000157,35.37346343700003,Monday,32.82302052700001,0.7005519469999797,35.538701769,faceWord_exp,0.5353136150000068,13,y,image_stim_n.png,34.83814982200002
mikkel,41.838690531000026,180,41.14131391500001,5,,1,number,5,5.59,21,41,neu,336,0.2374341841762725,42,male,0.6973766160000139,45.30704144700002,Monday,42.837534468,0.7009808110000222,45.55376929500002,faceWord_exp,0.45425296300001605,13,b,image_stim_p.png,44.852788484
mikkel,51.854186959,180,51.15998896100001,5,,1,newspaper,6,5.11,21,41,neu,336,0.3309936143559913,42,male,0.6941979979999928,55.37534470700001,Monday,52.853739640000015,0.7028542150000021,55.57155679500002,faceWord_exp,0.5066421269999921,13,b,image_stim_p.png,54.86870258000002
mikkel,61.870721038,180,61.175862093000006,5,,1,morning,7,6.41,21,31,pos,336,-1.211925852261804,42,male,0.6948589449999929,65.22276780000001,Monday,62.870705085000026,0.7005259040000169,65.58702621600003,faceWord_exp,0.3362674880000043,11,b,image_stim_p.png,64.88650031200001
mikkel,71.88686687399999,180,71.19107406000003,5,,1,hairbrush,8,5.95,21,41,neu,336,-0.4963231956276321,42,male,0.6957928139999581,75.373837232,Monday,72.88748371200003,0.700972519999965,75.60326539199997,faceWord_exp,0.4715443599999958,13,b,image_stim_p.png,74.902292872
mikkel,81.90314889199999,180,81.20748319299997,5,,1,ticket,9,5.28,21,41,neu,336,-0.7502239645266248,42,male,0.695665699000017,85.473459386,Monday,82.90467083300001,0.7015654829999676,85.61962721599997,faceWord_exp,0.555397653,13,b,image_stim_p.png,84.918061733
mikkel,91.92317362099999,336,91.22754989199996,5,,1,corn,10,5.95,21,41,neu,180,-1.235914274808286,42,male,0.6956237290000331,97.89118992599998,Monday,92.92438267399996,0.6988097670000002,98.23681509599999,faceWord_exp,0.35318459699999494,13,b,image_stim_p.png,97.53800532899999
mikkel,101.936538585,336,101.241459335,5,,1,peaceful,11,8.0,21,31,pos,180,-2.641671297166366,42,male,0.695079249999992,107.927128004,Monday,102.93708344199996,0.7021169880000002,108.253929072,faceWord_exp,0.37531591999999137,11,b,image_stim_p.png,107.551812084
