scan day,duration_measured_word,word_trigger,word_score_pc,onset_img,word_score_warriner,age,session,pause_trigger,offset_img,onset_word,no,delay_frames_before,duration_measured_img,img,rt,offset_word,response,condition,ID,img_trigger,pause_trigger_t,duration_frames,delay_frames_after,word_label,word,key_t,gender,correct_resp
Tuesday,0.6902090539224446,12,2.0765857872261098,4.70392398792319,3.52,23,4,32,5.37631344422698,0.9859183891676366,1,180,0.6723894563037902,image_stim_n.png,0.3893768289126456,1.6761274430900812,y,faceWord_exp,2019102204,22,2.6765066313091666,42,336,neg,court,5.093300816835836,female,1
Tuesday,0.6969279344193637,11,-1.7294291477603156,17.303700196323916,7.0,23,4,31,17.976911547826603,10.979685203172266,2,336,0.6732113515026867,image_stim_p.png,0.5069145697634667,11.67661313759163,b,faceWord_exp,2019102204,21,12.677001629024744,42,180,pos,dog,17.810614766087383,female,1
Tuesday,0.6965169869363308,13,-0.05436507667908295,27.294791520340368,5.59,23,4,41,27.977395638357848,20.980590506922454,3,336,0.6826041180174798,image_stim_p.png,0.7498031877912581,21.677107493858784,b,faceWord_exp,2019102204,21,22.677456526551396,42,180,neu,mouth,28.044594708131626,female,1
Tuesday,0.6948193015996367,11,-1.2316584124512135,34.69677330786362,6.35,23,4,31,35.3777159913443,30.982727370224893,4,180,0.68094268348068,image_stim_p.png,0.6981941403355449,31.67754667182453,b,faceWord_exp,2019102204,21,32.6778976295609,42,336,pos,banjo,35.39496744819917,female,1
Tuesday,0.6960428410675377,11,-1.7974288604529352,44.69757691724226,6.53,23,4,31,45.378250126959756,40.981960653094575,5,180,0.6806732097174972,image_stim_p.png,0.4476431626826525,41.67800349416211,b,faceWord_exp,2019102204,21,42.67839840170927,42,336,pos,bonfire,45.14522007992491,female,1
Tuesday,0.696699843974784,13,0.3545861367636661,54.69751596474089,5.09,23,4,41,55.37867743545212,50.98173512914218,6,180,0.6811614707112312,image_stim_p.png,0.6148189425002784,51.678434973116964,b,faceWord_exp,2019102204,21,52.67882699333131,42,336,neu,put,55.312334907241166,female,1
Tuesday,0.6975688971579075,11,-3.0311112754680245,64.69631808949634,7.75,23,4,31,65.37909383652732,60.981364923296496,7,180,0.6827757470309734,image_stim_p.png,0.43308419827371836,61.678933820454404,b,faceWord_exp,2019102204,21,62.679361128946766,42,336,pos,peace,65.12940228777006,female,1
Tuesday,0.6960669013205916,13,0.0196438746392397,77.30547166592441,5.95,23,4,41,77.97964349901304,70.98340041306801,8,336,0.6741718330886215,image_stim_p.png,0.6413005189970136,71.6794673143886,b,faceWord_exp,2019102204,21,72.67974769556895,42,180,neu,worker,77.94677218492143,female,1
Tuesday,0.6974287065677345,13,0.29188517290671034,84.70598674565554,5.89,23,4,42,85.38000298989937,80.98242966574617,9,180,0.6740162442438304,image_stim_n.png,0.5244014954660088,81.6798583723139,y,faceWord_exp,2019102204,22,82.68033380107954,42,336,neu,guard,85.23038824112155,female,1
Tuesday,0.6966289468109608,12,4.2176174504439885,97.29979442991316,2.62,23,4,32,97.9806113592349,90.98368624784052,10,336,0.6808169293217361,image_stim_n.png,0.46455841907300055,91.68031519465148,y,faceWord_exp,2019102204,22,92.68069342034869,42,180,neg,insult,97.76435284898616,female,1
Tuesday,0.6971768769435585,13,0.12602488928311428,104.70645864563994,5.1,23,4,41,105.38094165711664,100.98358294949867,11,180,0.6744830114766955,image_stim_p.png,0.7416400562506169,101.68075982644223,b,faceWord_exp,2019102204,21,102.68113131518476,42,336,neu,shoulder,105.44809870189056,female,1
Tuesday,0.6972214684356004,11,-1.5215329943370883,114.69957006094046,6.52,23,4,31,115.38141484023072,110.98403271404095,12,180,0.6818447792902589,image_stim_p.png,0.39908173587173223,111.68125418247655,b,faceWord_exp,2019102204,21,112.68165550590493,42,336,pos,bread,115.09865179681219,female,1
Tuesday,0.6971508918795735,12,1.95458394600482,127.30756554147229,4.03,23,4,32,127.9819847131148,120.9845270703081,13,336,0.6744191716425121,image_stim_n.png,0.44153476879000664,121.68167796218768,y,faceWord_exp,2019102204,22,122.68211425305344,42,180,neg,snake,127.74910031026229,female,1
Tuesday,0.6972814581822604,11,-2.1205664047688315,134.70677623990923,7.24,23,4,31,135.3823259184137,130.98487674468197,14,180,0.675549678504467,image_stim_p.png,0.60940604750067,131.68215820286423,b,faceWord_exp,2019102204,21,132.68262914055958,42,336,pos,trust,135.3161822874099,female,1
Tuesday,0.6971977290231735,13,-0.4066038871991289,147.30852826870978,5.79,23,4,42,147.98292915476486,140.98551834886894,15,336,0.6744008860550821,image_stim_n.png,0.7415819910820574,141.6827160778921,y,faceWord_exp,2019102204,22,142.68299325089902,42,180,neu,baseball,148.05011025979184,female,1
Tuesday,0.6955831318628043,11,-1.301667818567906,154.7065940243192,6.71,23,4,31,155.38325720699504,150.98750283103436,16,180,0.6766631826758385,image_stim_p.png,0.6772390224505216,151.68308596289717,b,faceWord_exp,2019102204,21,152.6834702838678,42,336,pos,bicycle,155.38383304676972,female,1
Tuesday,0.6969892075285316,13,-0.6996261236875504,167.30851447419263,5.67,23,4,41,167.98381103994325,160.98653817898594,17,336,0.6752965657506138,image_stim_p.png,0.6091022479813546,161.68352738651447,b,faceWord_exp,2019102204,21,162.68401500582695,42,180,neu,bell,167.917616722174,female,1
