key_t,offset_word,delay_frames_after,word_score_pc,onset_img,word,img_trigger,word_trigger,delay_frames_before,scan day,rt,duration_measured_word,no,onset_word,age,condition,response,pause_trigger_t,correct_resp,gender,word_label,word_score_warriner,duration_measured_img,pause_trigger,img,duration_frames,offset_img,ID,session
8.029544595861807,1.6786335497163236,180,0.8708146708303101,7.297415361274034,banker,22,12,336,Tuesday,0.7321292345877737,0.6892902764957398,1,0.9893432732205838,25,faceWord_exp,y,2.679029419552535,1,female,neg,4.89,0.6815339219756424,32,image_stim_n.png,42,7.978949283249676,2019102205,5
15.246297461912036,11.679117319406942,336,-1.6872526925643307,14.693935171235353,cash,21,11,180,Tuesday,0.5523622906766832,0.6959065003320575,2,10.983210819074884,25,faceWord_exp,b,12.679429459851235,1,female,pos,7.51,0.6853395977523178,31,image_stim_p.png,42,15.37927476898767,2019102205,5
25.3969695745036,21.67957574571483,336,0.14106522732466809,24.696565428050235,editor,21,13,180,Tuesday,0.7004041464533657,0.6960158939473331,3,20.983559851767495,25,faceWord_exp,b,22.679932477651164,1,female,neu,5.43,0.6831652009859681,41,image_stim_p.png,42,25.379730629036203,2019102205,5
35.28077535331249,31.68001749017276,336,-1.211925852261804,34.69503712654114,morning,21,11,180,Tuesday,0.5857382267713547,0.6963010868057609,4,30.983716403366998,25,faceWord_exp,b,32.680462763644755,1,female,pos,6.41,0.6851580238435417,31,image_stim_p.png,42,35.38019515038468,2019102205,5
45.31438804115169,41.680505430325866,336,-1.1343736111597311,44.6969545611646,rum,22,13,180,Tuesday,0.6174334799870849,0.6967287161387503,5,40.983776714187115,25,faceWord_exp,y,42.68082430772483,1,female,neu,5.57,0.6836813713889569,42,image_stim_n.png,42,45.38063593255356,2019102205,5
57.78157158428803,51.68093145568855,180,3.693241029119933,57.29576258850284,jealousy,22,12,336,Tuesday,0.48580899578519166,0.6953900088556111,6,50.98554144683294,25,faceWord_exp,y,52.681265089893714,1,female,neg,2.58,0.685465031536296,32,image_stim_n.png,42,57.981227620039135,2019102205,5
65.36528811580501,61.68140078918077,336,2.2468136409924253,64.69648009468801,ambulance,22,12,180,Tuesday,0.6688080211170018,0.6970116638112813,7,60.98438912536949,25,faceWord_exp,y,62.68176040844992,1,female,neg,3.71,0.6851140740327537,32,image_stim_n.png,42,65.38159416872077,2019102205,5
77.8658726173453,71.68185344105586,180,-0.2527650722021685,77.2974047746975,arm,22,13,336,Tuesday,0.5684678426478058,0.6976997843012214,8,70.98415365675464,25,faceWord_exp,y,72.68219830328599,1,female,neu,5.44,0.6847406604792923,42,image_stim_n.png,42,77.98214543517679,2019102205,5
85.14942579623312,81.68232502019964,336,4.006417686109669,84.69732155883685,dread,22,12,180,Tuesday,0.45210423739627004,0.6974909421987832,9,80.98483407800086,25,faceWord_exp,y,82.68268848909065,1,female,neg,3.0,0.6851628357544541,32,image_stim_n.png,42,85.3824843945913,2019102205,5
97.70004581077956,91.68277221848257,180,3.659937177091274,97.2978984892834,curse,22,12,336,Tuesday,0.40214732149615884,0.6974842054769397,10,90.98528801300563,25,faceWord_exp,y,92.68307601800188,1,female,neg,2.9,0.6851965202949941,32,image_stim_n.png,42,97.98309500957839,2019102205,5
108.01762583316304,101.68323256960139,180,0.19443075193465506,107.29868509620428,stapler,21,13,336,Tuesday,0.718940736958757,0.6965131373144686,11,100.98671943228692,25,faceWord_exp,b,102.68363517615944,1,female,neu,5.25,0.6848968910053372,41,image_stim_p.png,42,107.98358198720962,2019102205,5
115.46773692686111,111.68370254454203,336,2.1399531488678094,114.69893423118629,vice,22,12,180,Tuesday,0.7688026956748217,0.6956947706639767,12,110.98800777387805,25,faceWord_exp,y,112.68406922160648,1,female,neg,3.81,0.6849899236112833,32,image_stim_n.png,42,115.38392415479757,2019102205,5
125.35139385331422,121.68415006366558,336,0.07992973296861662,124.69955819146708,clue,21,13,180,Tuesday,0.6518356618471444,0.6976227918639779,13,120.9865272718016,25,faceWord_exp,b,122.68449203879572,1,female,neu,5.38,0.6847592666745186,41,image_stim_p.png,42,125.3843174581416,2019102205,5
137.80206923815422,131.6846072068438,180,-2.1428059827362134,137.30010689143091,awe,21,11,336,Tuesday,0.5019623467233032,0.6968361849430948,14,130.9877710219007,25,faceWord_exp,b,132.68497741245665,1,female,pos,6.85,0.684821181697771,31,image_stim_p.png,42,137.98492807312869,2019102205,5
145.335599479964,141.68507429468445,336,-1.2397352233188434,144.70056037721224,wit,21,11,180,Tuesday,0.6350391027517617,0.6976545513607562,15,140.9874197433237,25,faceWord_exp,b,142.6854323099833,1,female,pos,7.25,0.6846793871372938,31,image_stim_p.png,42,145.38523976434954,2019102205,5
155.25269842753187,151.68553175847046,336,2.490397821352158,154.7007384225726,mob,22,12,180,Tuesday,0.5519600049592555,0.6974992828909308,16,150.98803247557953,25,faceWord_exp,y,152.6858721296303,1,female,neg,3.7,0.684977091383189,32,image_stim_n.png,42,155.3857155139558,2019102205,5
167.7701324208174,161.68604472116567,180,-2.547338598571031,167.3012101300992,tulip,21,11,336,Tuesday,0.4689222907181829,0.6971191323827952,17,160.98892558878288,25,faceWord_exp,b,162.68650346831419,1,female,pos,7.25,0.6850653120782226,31,image_stim_p.png,42,167.98627544217743,2019102205,5
175.2370198634453,171.6865871977061,336,-1.178487968131687,174.70131490402855,tangerine,21,11,180,Tuesday,0.535704959416762,0.6972724758088589,18,170.98931472189724,25,faceWord_exp,b,172.68697087699547,1,female,pos,6.81,0.6853004600852728,31,image_stim_p.png,42,175.38661536411382,2019102205,5
185.3207710417919,181.68690190464258,336,-0.41434578466507305,184.70237611746415,engineer,21,13,180,Tuesday,0.6183949243277311,0.6972221098840237,19,180.98967979475856,25,faceWord_exp,b,182.6873888822738,1,female,neu,5.79,0.6847056930419058,41,image_stim_p.png,42,185.38708181050606,2019102205,5
197.77142429118976,191.68742737849243,180,3.227422121163128,197.30209811031818,riot,22,12,336,Tuesday,0.46932618087157607,0.6975656889844686,20,190.98986168950796,25,faceWord_exp,y,192.68773855664767,1,female,neg,3.15,0.6855657636187971,32,image_stim_n.png,42,197.98766387393698,2019102205,5
208.02202018117532,201.687822927488,180,-1.235914274808286,207.30336078768596,corn,21,13,336,Tuesday,0.7186593934893608,0.6975339294876903,21,200.99028899800032,25,faceWord_exp,b,202.68819249165244,1,female,neu,5.95,0.6847778733354062,41,image_stim_p.png,42,207.98813866102137,2019102205,5
215.35545809590258,211.68827622104436,336,0.2374341841762725,214.7036426444538,number,21,13,180,Tuesday,0.6518154514487833,0.697367433225736,22,210.99090878781863,25,faceWord_exp,b,212.68860087287612,1,female,neu,5.59,0.6848067454993725,41,image_stim_p.png,42,215.38844938995317,2019102205,5
227.87268934235908,221.68873881781474,180,-1.410303556989907,227.30573985655792,tea,21,11,336,Tuesday,0.5669494858011603,0.6976795739028603,23,220.99105924391188,25,faceWord_exp,b,222.68913276284002,1,female,pos,6.56,0.6833060330245644,31,image_stim_p.png,42,227.98904588958248,2019102205,5
237.83989373757504,231.6892116800882,180,-1.4373817092238501,237.30477648763917,drum,21,11,336,Tuesday,0.5351172499358654,0.6976423608139157,24,230.99156931927428,25,faceWord_exp,b,232.6895661666058,1,female,pos,6.05,0.6847060136497021,31,image_stim_p.png,42,237.98948250128888,2019102205,5
245.2903926812578,241.68968005129136,336,0.1828236131989572,244.7043811311014,cab,22,12,180,Tuesday,0.5860115501563996,0.6976683456450701,25,240.9920117056463,25,faceWord_exp,y,242.69008394121192,1,female,neg,4.81,0.6854983950033784,32,image_stim_n.png,42,245.38987952610478,2019102205,5
255.39079766185023,251.69011249253526,336,-0.4963231956276321,254.70529188844375,hairbrush,22,13,180,Tuesday,0.6855057734064758,0.697157628601417,26,250.99295486393385,25,faceWord_exp,y,252.6905346682761,1,female,neu,5.95,0.6849902444519103,42,image_stim_n.png,42,255.39028213289566,2019102205,5
267.9413288140204,261.6905683525838,180,0.08756588783899029,267.3058393052779,mushroom,22,13,336,Tuesday,0.6354895087424666,0.6973231628071517,27,260.99324518977664,25,faceWord_exp,y,262.69097095914185,1,female,neu,5.61,0.685026495018974,42,image_stim_n.png,42,267.9908658002969,2019102205,5
