session,img_trigger,offset_img,word_score_warriner,ID,key_t,duration_frames,rt,age,duration_measured_word,offset_word,word_score_pc,delay_frames_after,no,condition,pause_trigger_t,correct_resp,word_label,word_trigger,img,scan day,onset_img,gender,onset_word,pause_trigger,word,duration_measured_img,delay_frames_before,response
2,21,7.979866135632619,5.43,2019102307,7.8467938711401075,42,0.5485129856970161,25,0.689200451830402,1.6796235451474786,-0.34443889393116306,180,1,faceWord_exp,2.6799427433870733,1,neu,13,image_stim_p.png,Wednesday,7.298280885443091,female,0.9904230933170766,41,asparagus,0.6815852501895279,336,b
2,21,17.980335790198296,6.4,2019102307,17.84731806186028,42,0.5530590731650591,25,0.6956280439626426,11.679977389983833,-1.0752281295040744,180,2,faceWord_exp,12.68032995145768,1,pos,11,image_stim_p.png,Wednesday,17.29425898869522,female,10.98434934602119,31,mercy,0.6860768015030771,336,b
2,21,25.38063304545358,7.1,2019102307,25.314395098714158,42,0.6178771494887769,25,0.6965933376923203,21.680483294883743,-2.5746228757417584,336,3,faceWord_exp,22.680826232535765,1,pos,11,image_stim_p.png,Wednesday,24.69651794922538,female,20.983889957191423,31,barbecue,0.6841150962281972,180,b
2,21,35.38113157195039,5.62,2019102307,35.331418465357274,42,0.6351943707559258,25,0.6966847663279623,31.680999144911766,-0.18776275500974607,336,4,faceWord_exp,32.681299415649846,1,neu,13,image_stim_p.png,Wednesday,34.69622409460135,female,30.984314378583804,41,speech,0.6849074773490429,180,b
2,22,45.38161213346757,3.57,2019102307,45.248556550825015,42,0.5529929879121482,25,0.6972378292120993,41.68140078918077,2.483224745184551,336,5,faceWord_exp,42.68178061884828,0,neg,12,image_stim_n.png,Wednesday,44.69556356291287,female,40.98416295996867,32,cough,0.6860485705547035,180,b
2,21,55.38205676525831,5.48,2019102307,55.332472942071036,42,0.6361853287089616,25,0.6958654376212507,51.68189225811511,-0.06058349899147484,336,6,faceWord_exp,52.68224353645928,1,neu,13,image_stim_p.png,Wednesday,54.696287613362074,female,50.98602682049386,41,business,0.6857691518962383,180,b
2,21,67.98260546545498,5.5,2019102307,67.89966142550111,42,0.6027311170473695,25,0.6974604660645127,61.68232309538871,-0.049892793833906636,180,7,faceWord_exp,62.682682072976604,1,neu,13,image_stim_p.png,Wednesday,67.29693030845374,female,60.9848626293242,41,nose,0.685675157001242,336,b
2,21,77.98305683396757,6.95,2019102307,77.95011879317462,42,0.6527361536864191,25,0.6962876131292433,71.68275681976229,-2.0702836690965865,180,8,faceWord_exp,72.68318509077653,1,pos,11,image_stim_p.png,Wednesday,77.2973826394882,female,70.98646920663305,31,restaurant,0.6856741944793612,336,b
2,21,85.38342017447576,6.36,2019102307,85.3005435031373,42,0.6031180045101792,25,0.6974604660645127,81.6832373815123,-1.2502658664257256,336,9,faceWord_exp,82.6835655621253,1,pos,11,image_stim_p.png,Wednesday,84.69742549862713,female,80.98577691544779,31,day,0.685994675848633,180,b
2,22,95.38383048051037,2.53,2019102307,95.06749709509313,42,0.36880923993885517,25,0.6973555637523532,91.68376959231682,3.4296451702105397,336,10,faceWord_exp,92.68410579301417,1,neg,12,image_stim_n.png,Wednesday,94.69868785515428,female,90.98641402856447,32,angry,0.685142625356093,180,y
2,22,105.38432900700718,4.52,2019102307,105.11809465335682,42,0.4196942369453609,25,0.6967710619792342,101.68413562746719,2.373388118792564,336,11,faceWord_exp,102.68456421908922,1,neg,12,image_stim_n.png,Wednesday,104.69840041641146,female,100.98736456548795,32,excuse,0.6859285905957222,180,y
2,21,115.38472680165432,5.67,2019102307,115.26850787876174,42,0.5693567853886634,25,0.6971107916906476,111.68459501629695,-0.32263149533554664,336,12,faceWord_exp,112.68495014426298,1,neu,13,image_stim_p.png,Wednesday,114.69915109337308,female,110.9874842246063,41,attribute,0.6855757082812488,180,b
2,22,125.38519741850905,2.95,2019102307,125.3189575469587,42,0.6188472551293671,25,0.695679372176528,121.68501494615339,3.222893544100452,336,13,faceWord_exp,122.68542653531767,1,neg,12,image_stim_n.png,Wednesday,124.70011029182933,female,120.98933557397686,32,perjury,0.6850871266797185,180,y
2,22,135.3856847169809,4.78,2019102307,135.38621371984482,42,0.6862724907696247,25,0.6959068209398538,131.6854868461378,1.3393636650983416,336,14,faceWord_exp,132.6858605807647,1,neg,12,image_stim_n.png,Wednesday,134.6999412290752,female,130.98958002519794,32,heavy,0.6857434879057109,180,y
