img_trigger,condition,no,onset_img,word_label,duration_measured_img,duration_frames,onset_word,correct_resp,ID,key_t,word_trigger,word_score_pc,gender,response,session,pause_trigger_t,delay_frames_before,offset_word,pause_trigger,age,rt,duration_measured_word,word,img,delay_frames_after,scan day,word_score_warriner,offset_img
22,faceWord_exp,1,4.687215969897807,neu,0.6813651800621301,42,0.9783480998594314,1,2019102307,5.385805017780513,13,0.14106522732466809,female,y,5,2.668861916055903,180,1.6684208130463958,42,25,0.6985890478827059,0.6900727131869644,editor,image_stim_n.png,336,Wednesday,5.43,5.368581149959937
22,faceWord_exp,2,14.683295767521486,neg,0.6857807009946555,42,10.973200508626178,1,2019102307,15.302733619464561,12,2.424733943851676,female,y,5,12.669222176773474,180,11.668880843324587,32,25,0.6194378519430757,0.6956803346984088,screech,image_stim_n.png,336,Wednesday,3.5,15.369076468516141
21,faceWord_exp,3,27.285320157418028,pos,0.6843739834148437,42,20.972638783976436,1,2019102307,27.970227955607697,11,-1.7441234463665167,female,b,5,22.669726156862453,336,21.66937519935891,31,25,0.6849077981896698,0.6967364153824747,cherry,image_stim_p.png,180,Wednesday,7.05,27.96969414083287
21,faceWord_exp,4,34.684126645093784,pos,0.6858727710787207,42,30.972928147530183,1,2019102307,35.57058866554871,11,-1.410303556989907,female,b,5,32.67018265835941,180,31.669778126990423,31,25,0.8864620204549283,0.6968499794602394,tea,image_stim_p.png,336,Wednesday,6.56,35.369999416172504
22,faceWord_exp,5,47.28468079864979,neg,0.6858958690427244,42,40.97294996213168,1,2019102307,48.18776710797101,12,4.006417686109669,female,y,5,42.670657445676625,336,41.67026478378102,32,25,0.9030863093212247,0.6973148216493428,dread,image_stim_n.png,180,Wednesday,3.0,47.97057666769251
21,faceWord_exp,6,57.28582510002889,pos,0.6852369413245469,42,50.973738173022866,1,2019102307,57.854683679528534,11,-2.1428059827362134,female,b,5,52.67109084944241,336,51.670720643596724,31,25,0.568858579499647,0.6969824705738574,awe,image_stim_p.png,180,Wednesday,6.85,57.971062041353434
22,faceWord_exp,7,67.28560695447959,neu,0.6858647512272,42,60.974416348617524,1,2019102307,68.03872146224603,13,-1.2450836009557775,female,y,5,62.67158648860641,336,61.67117906990461,42,25,0.7531145077664405,0.6967627212870866,apricot,image_stim_n.png,180,Wednesday,5.95,67.97147170570679
21,faceWord_exp,8,77.28608719538897,pos,0.6858461445663124,42,70.97426974214613,1,2019102307,78.00581582239829,11,-1.8816288507581482,female,b,5,72.67198813310824,336,71.671676954953,31,25,0.7197286270093173,0.6974072128068656,theater,image_stim_p.png,180,Wednesday,6.14,77.97193333995529
21,faceWord_exp,9,84.68740813038312,pos,0.6848744347225875,42,80.97586605371907,1,2019102307,85.35601565008983,11,-1.4373817092238501,female,b,5,82.6724520130083,180,81.67211260413751,31,25,0.6686075197067112,0.6962465504184365,drum,image_stim_p.png,336,Wednesday,6.05,85.3722825651057
22,faceWord_exp,10,97.28732998296618,neg,0.6855083398986608,42,90.97521354211494,1,2019102307,97.85651353513822,12,3.659937177091274,female,y,5,92.67307982267812,336,91.67261113086715,32,25,0.569183552172035,0.6973975887522101,curse,image_stim_n.png,180,Wednesday,2.9,97.97283832286485
