condition,onset_img,delay_frames_before,word,duration_measured_word,onset_word,img_trigger,pause_trigger,duration_frames,offset_word,ID,delay_frames_after,word_trigger,img,response,offset_img,rt,age,key_t,word_label,pause_trigger_t,session,no,duration_measured_img,correct_resp,word_score_pc,word_score_warriner,gender,scan day
faceWord_exp,7.310553313000128,336,famous,0.6773131719965022,0.9978683139997884,21,41,42,1.6751814859962906,60,180,13,image_stim_p.png,b,8.002221665999969,0.42642074699688237,25,7.73697405999701,neu,2.675087021001673,1,1,0.6916683529998409,1,-0.8050043475134195,5.89,male,Monday
faceWord_exp,14.732521566998912,180,woman,0.6888352119931369,11.009659310002462,21,31,42,11.698494521995599,60,336,11,image_stim_p.png,b,15.411424300000363,0.5300183080034913,25,15.262539875002403,pos,12.698196446996008,1,2,0.6789027330014505,1,-1.7483058493195842,7.09,male,Monday
faceWord_exp,24.74789243000123,180,plum,0.6902462899961392,21.0314434230022,21,31,42,21.72168971299834,60,336,11,image_stim_p.png,b,25.43438530199637,0.3870490900008008,25,25.13494152000203,pos,22.721575987001415,1,3,0.6864928719951422,1,-1.1648995537800455,6.15,male,Monday
faceWord_exp,34.778574137999385,180,limousine,0.6898838590059313,31.05514076799591,21,31,42,31.74502462700184,60,336,11,image_stim_p.png,b,35.457872519000375,0.4138183460017899,25,35.192392484001175,pos,32.745012765000865,1,4,0.67929838100099,1,-1.4783411251765788,6.14,male,Monday
faceWord_exp,44.80330631599645,180,lonely,0.6895879769945168,41.07865043100173,22,32,42,41.76823840799625,60,336,12,image_stim_n.png,y,45.48116321199632,0.3623613430027035,25,45.165667658999155,neg,42.76796735099924,1,5,0.6778568959998665,1,4.010420717126172,2.67,male,Monday
faceWord_exp,57.41799190200254,336,aggressive,0.6873479839996435,51.10411726299935,22,32,42,51.791465246998996,60,180,12,image_stim_n.png,y,58.118329334996815,0.3849779359952663,25,57.80296983799781,neg,52.79126036499656,1,6,0.7003374329942744,1,2.166851165767892,3.08,male,Monday
faceWord_exp,64.85240294899995,180,mouse,0.6878385879972484,61.12684608199925,22,32,42,61.814684669996495,60,336,12,image_stim_n.png,y,65.52772580299643,0.6096702739960165,25,65.46207322299597,neg,62.814448598001036,1,7,0.6753228539964766,1,1.5906822936049958,4.8,male,Monday
faceWord_exp,77.47077622199868,336,deceit,0.6893092539976351,71.14863133600011,22,32,42,71.83794058999774,60,180,12,image_stim_n.png,y,78.14823299399723,0.4620496869974886,25,77.93282590899616,neg,72.8377709109991,1,8,0.6774567719985498,1,4.314775126713813,2.89,male,Monday
faceWord_exp,84.89019408199965,180,treaty,0.6896141630058992,81.17148605999682,22,42,42,81.86110022300272,60,336,13,image_stim_n.png,b,85.57403079800133,0.4518070760022965,25,85.34200115800195,neu,82.86101575400244,1,9,0.6838367160016787,0,-0.7213913907893977,5.42,male,Monday
faceWord_exp,94.91827801399631,180,beach,0.6901258769939886,91.19426146300248,21,31,42,91.88438733999647,60,336,11,image_stim_p.png,b,95.59720798300259,0.39701698300632415,25,95.31529499700264,pos,92.88416561199847,1,10,0.6789299690062762,1,-2.8031613090757777,7.21,male,Monday
faceWord_exp,104.94606100099918,180,tomato,0.6893712890014285,101.21819321899966,22,42,42,101.90756450800109,60,336,13,image_stim_n.png,y,105.62052950199723,0.5091725689999294,25,105.45523356999911,neu,102.90743370999553,1,11,0.6744685009980458,1,-1.3575770021145472,5.8,male,Monday
faceWord_exp,117.56093083899759,336,policeman,0.688726858003065,111.24212861499836,22,32,42,111.93085547300143,60,180,12,image_stim_n.png,y,118.2412431529956,0.49823627599835163,25,118.05916711499594,neg,112.93059672399977,1,12,0.6803123139980016,1,0.397042668763988,4.21,male,Monday
faceWord_exp,124.99165789399558,180,man,0.6879516079934547,121.26612463300262,22,42,42,121.95407624099607,60,336,13,image_stim_n.png,y,125.6669874329964,0.5267712250060868,25,125.51842911900167,neu,122.95397398000205,1,13,0.6753295390008134,1,-0.277657621999038,5.42,male,Monday
faceWord_exp,135.01235737599927,180,fence,0.6906567440018989,131.28674604399566,21,41,42,131.97740278799756,60,336,13,image_stim_p.png,y,135.69023213400214,0.42875248700147495,25,135.44110986300075,neu,132.97740545299894,1,14,0.6778747580028721,0,0.3759356543037889,5.05,male,Monday
faceWord_exp,145.03648080900166,180,zoo,0.6909539289990789,141.3096953130007,21,31,42,142.00064924199978,60,336,11,image_stim_p.png,b,145.71334599600232,0.511525232999702,25,145.54800604200136,pos,143.00063222999597,1,15,0.6768651870006579,1,-2.1296901000704778,7.0,male,Monday
faceWord_exp,155.06022728399694,180,whale,0.6902750669978559,151.3334713840013,22,42,42,152.02374645099917,60,336,13,image_stim_n.png,b,155.73667455599934,0.6276418570050737,25,155.687869141002,neu,153.02360288699856,1,16,0.676447272002406,0,-0.8455595735963974,5.81,male,Monday
