img,correct_resp,response,duration_measured_word,onset_word,delay_frames_before,session,word,word_score_pc,no,onset_img,pause_trigger_t,age,condition,key_t,scan day,offset_word,word_trigger,word_score_warriner,word_label,offset_img,gender,duration_measured_img,img_trigger,ID,delay_frames_after,pause_trigger,rt,duration_frames
image_stim_p.png,0,y,0.7180316629819572,1.0376049879705533,180,5,peaceful,-2.641671297166366,1,4.825107782962732,2.7566095829824917,24,faceWord_exp,4.373868606984615,Monday,1.7556366509525105,11,8.0,pos,5.522118462948129,male,0.6970106799853966,21,24,336,31,-0.4512391759781167,42
image_stim_p.png,1,b,0.6945387389860116,11.144509808975272,180,5,number,0.2374341841762725,2,14.86866174597526,12.838573525950778,24,faceWord_exp,15.392602935957257,Monday,11.839048547961283,13,5.59,neu,15.571425721980631,male,0.7027639760053717,21,24,336,41,0.523941189981997,42
image_stim_n.png,1,y,0.6934194549685344,21.177513715985697,336,5,dangerous,3.17672342877373,3,27.5136467149714,22.888288685993757,24,faceWord_exp,27.858529799967073,Monday,21.87093317095423,12,2.33,neg,28.22071024798788,male,0.7070635330164805,22,24,180,32,0.3448830849956721,42
image_stim_n.png,1,y,0.6926272850250825,31.228027206961997,336,5,rum,-1.1343736111597311,4,37.546278007968795,32.92130156198982,24,faceWord_exp,38.12480220897123,Monday,31.92065449198708,13,5.57,neu,38.237911300966516,male,0.6916332929977216,22,24,180,42,0.5785242010024376,42
image_stim_n.png,1,y,0.6944219790166244,41.24262830597581,180,5,dime,-0.8220066925000616,5,44.97791720199166,42.93886920897057,24,faceWord_exp,45.49084534699796,Monday,41.93705028499244,13,5.58,neu,45.67104642896447,male,0.6931292269728146,22,24,336,42,0.512928145006299,42
image_stim_p.png,1,b,0.6948058819980361,51.27527118998114,336,5,awe,-2.1428059827362134,6,57.596349263971206,52.97081288497429,24,faceWord_exp,58.22419195296243,Monday,51.970077071979176,11,6.85,pos,58.30326956498902,male,0.7069203010178171,21,24,180,31,0.6278426889912225,42
image_stim_n.png,1,y,0.6953275310224853,61.30861908494262,180,5,umbrella,0.002541127499528235,7,65.04578523297096,63.003877397975884,24,faceWord_exp,65.62416653294349,Monday,62.003946615965106,13,5.84,neu,65.753075623943,male,0.707290390972048,22,24,336,42,0.5783812999725342,42
image_stim_p.png,1,b,0.6948616869631223,71.35884581599385,336,5,intellect,-2.249771083793789,8,77.6760047369753,73.05333932494977,24,faceWord_exp,78.10546357295243,Monday,72.05370750295697,11,6.62,pos,78.37016832595691,male,0.6941635889816098,21,24,180,31,0.42945883597712964,42
image_stim_n.png,0,b,0.6960963379824534,81.3740196909639,336,5,corn,-1.235914274808286,9,87.71037297294242,83.06988212495344,24,faceWord_exp,84.85731488699093,Monday,82.07011602894636,13,5.95,neu,88.40304978197673,male,0.6926768090343103,22,24,180,42,-2.8530580859514885,42
image_stim_n.png,1,y,0.6941340359626338,91.40822510397993,180,5,mushroom,0.08756588783899029,10,95.13148338295287,93.10377195494948,24,faceWord_exp,95.55702583497623,Monday,92.10235913994256,13,5.61,neu,95.83680322795408,male,0.7053198450012133,22,24,336,42,0.4255424520233646,42
image_stim_p.png,1,b,0.6911180859897286,101.44415694795316,180,5,tangerine,-1.178487968131687,11,105.16214753699023,103.1360824489966,24,faceWord_exp,105.60641533497255,Monday,102.13527503394289,11,6.81,pos,105.8698949959944,male,0.7077474590041675,21,24,336,31,0.4442677979823202,42
image_stim_n.png,1,y,0.6923713400028646,111.49277965299552,336,5,mosquito,2.9843905620469613,12,117.80863705999218,113.1857878829469,24,faceWord_exp,118.40643801394617,Monday,112.18515099299839,12,3.12,neg,118.50286742899334,male,0.6942303690011613,22,24,180,32,0.5978009539539926,42
image_stim_p.png,1,b,0.6936992699629627,121.50776273699012,336,5,tulip,-2.547338598571031,13,127.84101729997201,123.20328317896929,24,faceWord_exp,128.2554816789925,Monday,122.20146200695308,11,7.25,pos,128.53546171396738,male,0.6944444139953703,21,24,180,31,0.41446437902050093,42
image_stim_n.png,1,y,0.6932164909667335,131.5409867989947,180,5,stapler,0.19443075193465506,14,135.2589972409769,133.2350692259497,24,faceWord_exp,135.60563439596444,Monday,132.23420328996144,13,5.25,neu,135.95243510598084,male,0.6934378650039434,22,24,336,42,0.34663715498754755,42
image_stim_n.png,1,y,0.6944366149837151,141.55651751998812,336,5,hairbrush,-0.4963231956276321,15,147.87528169795405,143.25156191695714,24,faceWord_exp,148.4055332809803,Monday,142.25095413497183,13,5.95,neu,148.58490811299998,male,0.7096264150459319,22,24,180,42,0.5302515830262564,42
image_stim_p.png,1,b,0.6954421200207435,151.58859474997735,180,5,wit,-1.2397352233188434,16,155.3095213919878,153.2847551209852,24,faceWord_exp,155.67154465895146,Monday,152.2840368699981,11,7.25,pos,156.00132956798188,male,0.6918081759940833,21,24,336,31,0.3620232669636607,42
image_stim_n.png,1,y,0.6919856870081276,161.60844106698642,336,5,grief,4.735833249102137,17,167.92734446696704,163.30114392196992,24,faceWord_exp,168.37112569296733,Monday,162.30042675399454,12,2.33,neg,168.6343095129705,male,0.7069650460034609,22,24,180,32,0.4437812260002829,42
image_stim_n.png,0,b,0.6957089699571952,171.6552118959953,180,5,whine,3.0668244091236065,18,175.3748508199933,173.3507124199532,24,faceWord_exp,175.73772791895317,Monday,172.3509208659525,12,2.82,neg,176.0679777369951,male,0.6931269170017913,22,24,336,32,0.36287709895987064,42
image_stim_p.png,1,b,0.6940716839744709,181.67250175599474,336,5,spring,-2.625984580876632,19,187.98960456397617,183.36725843395106,24,faceWord_exp,188.3378588729538,Monday,182.36657343996922,11,7.64,pos,188.68380391894607,male,0.6941993549698964,21,24,180,31,0.34825430897763,42
image_stim_n.png,1,y,0.6931328629725613,191.70649507199414,180,5,ticket,-0.7502239645266248,20,195.42650549596874,193.40006729896413,24,faceWord_exp,195.95434080495033,Monday,192.3996279349667,13,5.28,neu,196.1339967949898,male,0.7074912990210578,22,24,336,42,0.5278353089815937,42
image_stim_n.png,1,y,0.6946919379988685,201.73798097798135,180,5,army,1.399169263323496,21,205.45623775094282,203.43339874397498,24,faceWord_exp,206.02036628196947,Monday,202.43267291598022,12,4.65,neg,206.15051060798578,male,0.6942728570429608,22,24,336,32,0.564128531026654,42
image_stim_n.png,1,y,0.6944415270118043,211.77213224495063,336,5,jealousy,3.693241029119933,22,218.08888569299597,213.46644773997832,24,faceWord_exp,218.60330183495535,Monday,212.46657377196243,12,2.58,neg,218.78302218095632,male,0.6941364879603498,22,24,180,32,0.5144161419593729,42
image_stim_n.png,1,y,0.7073892950429581,221.791403022944,180,5,vice,2.1399531488678094,23,225.5294947779621,223.50028100295458,24,faceWord_exp,226.08609450998483,Monday,222.49879231798695,12,3.81,neg,226.23280119599076,male,0.7033064180286601,22,24,336,32,0.5565997320227325,42
image_stim_n.png,1,y,0.694827492989134,231.83703675697325,180,5,banker,0.8708146708303101,24,235.55731277394807,233.53331049298868,24,faceWord_exp,236.10231074498734,Monday,232.53186424996238,12,4.89,neg,236.24902790295891,male,0.691715129010845,22,24,336,32,0.5449979710392654,42
image_stim_n.png,1,y,0.6949569630087353,241.85326889995486,180,5,curse,3.659937177091274,25,245.5727792379912,243.54893592296867,24,faceWord_exp,246.12000163795892,Monday,242.5482258629636,12,2.9,neg,246.26607973797945,male,0.6933004999882542,22,24,336,32,0.5472223999677226,42
image_stim_p.png,1,b,0.6949982469668612,251.8696099179797,180,5,water,-1.2320142343270626,26,255.58919071196578,253.56535563897341,24,faceWord_exp,256.20314687199425,Monday,252.56460816494655,11,7.0,pos,256.2822024519555,male,0.6930117399897426,21,24,336,31,0.6139561600284651,42
image_stim_n.png,1,y,0.6945739380316809,261.88646784296725,336,5,arm,-0.2527650722021685,27,268.20412650099024,263.58220320695546,24,faceWord_exp,268.73494139598915,Monday,262.58104178099893,13,5.44,neu,268.8986511399853,male,0.6945246389950626,22,24,180,42,0.5308148949989118,42
image_stim_n.png,1,y,0.6954765220289119,271.90272539894795,336,5,screech,2.424733943851676,28,278.2226383929956,273.5981214339845,24,faceWord_exp,274.35204104997683,Monday,272.59820192097686,12,3.5,neg,278.914730666962,male,0.6920922739664093,22,24,180,32,-3.870597343018744,42
image_stim_p.png,0,y,0.6961180419893935,281.91848212096374,180,5,drum,-1.4373817092238501,29,285.6386175909429,283.6147342779441,24,faceWord_exp,286.15280774299754,Monday,282.61460016295314,11,6.05,pos,286.33085200598,male,0.6922344150370918,21,24,336,31,0.5141901520546526,42
image_stim_n.png,1,y,0.7071062040049583,291.93986115197185,336,5,cab,0.1828236131989572,30,298.2737162519479,293.64761071495013,24,faceWord_exp,297.9016471179784,Monday,292.6469673559768,12,4.81,neg,298.9811044809758,male,0.7073882290278561,22,24,180,32,-0.3720691339694895,42
image_stim_n.png,1,y,0.6939727920107543,301.98597419197904,180,5,dread,4.006417686109669,31,305.7044412579853,303.68060644099023,24,faceWord_exp,306.2174742689822,Monday,302.6799469839898,12,3.0,neg,306.3972728419467,male,0.6928315839613788,22,24,336,32,0.5130330109968781,42
image_stim_p.png,1,b,0.6952748079784214,312.001086602977,336,5,clue,0.07992973296861662,32,318.31946647999575,313.69730796595104,24,faceWord_exp,318.83352133695735,Monday,312.69636141095543,13,5.38,neu,319.0135823699529,male,0.6941158899571747,21,24,180,41,0.514054856961593,42
image_stim_n.png,0,b,0.6954120569862425,322.017367294,336,5,mob,2.490397821352158,33,328.33589496597415,323.7134635569528,24,faceWord_exp,328.9670335689443,Monday,322.71277935098624,12,3.7,neg,329.03028463595547,male,0.6943896699813195,22,24,180,32,0.631138602970168,42
image_stim_n.png,1,y,0.6938344970112666,332.0354370219866,180,5,hierarchy,1.0236166268558873,34,335.7523878169595,333.72984682396054,24,faceWord_exp,336.33334949199343,Monday,332.72927151899785,12,4.95,neg,336.44649437395856,male,0.6941065569990315,22,24,336,32,0.5809616750339046,42
image_stim_n.png,1,y,0.6961815769900568,342.05014250898967,336,5,bus,0.5156614996478043,35,348.3686142829829,343.7462354399613,24,faceWord_exp,348.96568480698625,Monday,342.7463240859797,13,5.12,neu,349.0627781209769,male,0.6941638379939832,22,24,180,42,0.5970705240033567,42
image_stim_p.png,1,b,0.6953469580039382,352.0675949099823,180,5,television,-1.295378487470534,36,355.78630668099504,353.7624888489954,24,faceWord_exp,356.38085292099277,Monday,352.7629418679862,11,7.18,pos,356.47928824299015,male,0.6929815619951114,21,24,336,31,0.5945462399977259,42
image_stim_n.png,1,y,0.6924798010149971,362.08611273096176,336,5,newspaper,0.3309936143559913,37,368.4016512579983,363.7801607250003,24,faceWord_exp,368.99923219298944,Monday,362.77859253197676,13,5.11,neu,369.09561324398965,male,0.6939619859913364,22,24,180,42,0.5975809349911287,42
image_stim_n.png,1,y,0.6947300630272366,372.10000510996906,336,5,apricot,-1.2450836009557775,38,378.4191866259789,373.79656205896754,24,faceWord_exp,379.03147050598636,Monday,372.7947351729963,13,5.95,neu,379.1120556919486,male,0.6928690659697168,22,24,180,42,0.6122838800074533,42
image_stim_n.png,1,y,0.6940244979923591,382.11710817797575,180,5,riot,3.227422121163128,39,385.8354077679687,383.8118165359483,24,faceWord_exp,386.2820614509983,Monday,382.8111326759681,12,3.15,neg,386.5284386589774,male,0.6930308910086751,22,24,336,32,0.44665368302958086,42
image_stim_n.png,1,y,0.6933263540267944,392.1342077499721,336,5,election,0.5712560851538326,40,398.45167295995634,393.828255083994,24,faceWord_exp,399.18219181295717,Monday,392.8275341039989,12,4.5,neg,399.14476235199254,male,0.6930893920361996,22,24,180,32,0.7305188530008309,42
image_stim_p.png,1,b,0.6932861800305545,402.15062212594785,336,5,applause,-2.3591802685249372,41,408.467033997993,403.84580567397643,24,faceWord_exp,408.8474289259757,Monday,402.8439083059784,11,7.12,pos,409.16122365696356,male,0.694189658970572,21,24,180,31,0.3803949279827066,42
image_stim_p.png,1,b,0.6943088810076006,412.1659873309545,336,5,bed,-1.962809513975644,42,418.48422682395903,413.86209779494675,24,faceWord_exp,419.1144800839829,Monday,412.8602962119621,11,7.16,pos,419.177613672975,male,0.6933868490159512,21,24,180,31,0.6302532600238919,42
image_stim_p.png,1,b,0.6935741900233552,422.1831587779452,180,5,penguin,-1.2194148821621404,43,425.9022693199804,423.87819269497413,24,faceWord_exp,426.3802257399657,Monday,422.87673296796856,11,6.65,pos,426.59403214097256,male,0.6917628209921531,21,24,336,31,0.4779564199852757,42
image_stim_p.png,1,b,0.6917407099972479,432.20236919797026,180,5,morning,-1.211925852261804,44,435.91904809098924,433.89424404199235,24,faceWord_exp,436.36349504394457,Monday,432.8941099079675,11,6.41,pos,436.6107339009759,male,0.6916858099866658,21,24,336,31,0.44444695295533165,42
image_stim_p.png,1,b,0.6943360500154085,442.21590401796857,180,5,cherry,-1.7441234463665167,45,445.9343045479618,443.91018041898496,24,faceWord_exp,446.4303166739992,Monday,442.910240067984,11,7.05,pos,446.62682609894546,male,0.6925215509836562,21,24,336,31,0.4960121260373853,42
image_stim_n.png,1,y,0.6935154289822094,452.2324073439813,336,5,company,0.4587040848007746,46,458.5490000110003,453.92660263896687,24,faceWord_exp,459.19665423897095,Monday,452.92592277296353,13,5.64,neu,459.24352252297103,male,0.6945225119707175,22,24,180,42,0.6476542279706337,42
image_stim_p.png,1,b,0.6941356959869154,462.28101586695993,336,5,tea,-1.410303556989907,47,468.59989142697304,463.9758543019998,24,faceWord_exp,469.12991732696537,Monday,462.97515156294685,11,6.56,pos,469.2928839959786,male,0.6929925690055825,21,24,180,31,0.5300258999923244,42
image_stim_n.png,1,y,0.6939490719814785,472.29802637099056,180,5,dead,4.0294120701769724,48,476.0162116679712,473.99274360295385,24,faceWord_exp,476.67994340794394,Monday,472.99197544297203,12,2.02,neg,476.7098032779759,male,0.6935916100046597,22,24,336,32,0.6637317399727181,42
image_stim_n.png,1,y,0.6932287109666504,482.3151750169927,180,5,ambulance,2.2468136409924253,49,486.0339033489581,484.0100588770001,24,faceWord_exp,486.54652815294685,Monday,483.0084037279594,12,3.71,neg,486.726137289952,male,0.6922339409939013,22,24,336,32,0.5126248039887287,42
image_stim_n.png,1,y,0.6944764580111951,492.33110280596884,180,5,mandolin,-1.4097678477610591,50,496.0508506989572,494.0255125439726,24,faceWord_exp,494.7463481669547,Monday,493.02557926398003,13,5.7,neu,496.7421674139914,male,0.6913167150341906,22,24,336,42,-1.304502532002516,42
image_stim_p.png,1,b,0.7077273690374568,502.3509014239535,180,5,editor,0.14106522732466809,51,506.0833402489661,504.05852878297446,24,faceWord_exp,506.6289072709624,Monday,503.05862879299093,13,5.43,neu,506.7751808379544,male,0.6918405889882706,21,24,336,41,0.5455670219962485,42
image_stim_p.png,1,b,0.6946130049764179,512.3806787009817,336,5,carrot,-0.32385553549685003,52,518.698356406996,514.0760248999577,24,faceWord_exp,519.1784352719551,Monday,513.0752917059581,13,5.79,neu,519.3914945599972,male,0.6931381530012004,21,24,180,41,0.4800788649590686,42
image_stim_p.png,1,b,0.6944739639875479,522.3973008859903,336,5,friendly,-2.9544920916265727,53,528.7153539179708,524.0913093179697,24,faceWord_exp,525.6453145729611,Monday,523.0917748499778,11,7.84,pos,529.4080727909459,male,0.6927188729750924,21,24,180,31,-3.070039345009718,42
image_stim_n.png,1,y,0.6934848180389963,532.4134476629552,336,5,engineer,-0.41434578466507305,54,538.7311872649589,534.1076678769896,24,faceWord_exp,539.2774261229788,Monday,533.1069324809941,13,5.79,neu,539.4245724159991,male,0.6933851510402746,22,24,180,42,0.5462388580199331,42
image_stim_n.png,1,y,0.6946741639985703,542.4287678339751,336,5,ant,1.5300907112092572,55,548.7632726139855,544.1240835599601,24,faceWord_exp,549.3111450979486,Monday,543.1234419979737,12,3.9,neg,549.4576519229449,male,0.6943793089594692,22,24,180,32,0.5478724839631468,42
image_stim_n.png,1,y,0.693245085014496,552.4632569069508,180,5,dictation,0.7498341013103271,56,556.1808232199983,554.1571911039646,24,faceWord_exp,556.7096038649906,Monday,553.1565019919653,12,4.26,neg,556.8731639029575,male,0.692340682959184,22,24,336,32,0.5287806449923664,42
image_stim_p.png,1,b,0.6939992299885489,562.4787986309966,336,5,desk,0.16108323717668446,57,568.8125393179944,564.1739996539545,24,faceWord_exp,569.3430056239595,Monday,563.1727978609852,13,5.56,neu,569.5068086709944,male,0.6942693529999815,21,24,180,41,0.530466305965092,42
image_stim_p.png,1,b,0.7081688610487618,572.5153185989475,180,5,cash,-1.6872526925643307,58,576.2497886969941,574.2232400919893,24,faceWord_exp,576.8597096209996,Monday,573.2234874599962,11,7.51,pos,576.9566098069772,male,0.7068211099831387,21,24,336,31,0.6099209240055643,42
image_stim_p.png,1,b,0.694132627977524,582.5615623019985,336,5,book,-1.1429809241505904,59,588.8789880650002,584.2575155859813,24,faceWord_exp,589.3091011239449,Monday,583.255694929976,11,7.05,pos,589.5895600569784,male,0.7105719919782132,21,24,180,31,0.4301130589446984,42
image_stim_p.png,1,b,0.693864303000737,592.5950772719807,180,5,theater,-1.8816288507581482,60,596.3130351479631,594.2893902239739,24,faceWord_exp,596.8429488029797,Monday,593.2889415749814,11,6.14,pos,597.0059921569773,male,0.6929570090142079,21,24,336,31,0.5299136550165713,42
