onset_img,age,scan day,onset_word,ID,word_score_warriner,word,no,offset_word,session,duration_frames,response,gender,correct_resp,offset_img,duration_measured_word,key_t,delay_frames_after,condition,word_trigger,word_label,delay_frames_before,rt,word_score_pc,duration_measured_img,img,pause_trigger_t,pause_trigger,img_trigger
4.789965829986613,24,Monday,0.999942292983178,matilde,3.0,tax,1,1.7076815309992526,3,42,y,female,1,5.49058664200129,0.7077392380160745,5.158782910002628,336,faceWord_exp,12,neg,180,0.3688170800160151,3.4211910580769755,0.7006208120146766,image_stim_n.png,2.706697407993488,32,22
17.421653081983095,24,Monday,11.097184888989432,matilde,7.23,butterfly,2,11.790039290994173,3,42,b,female,1,18.123519702989142,0.6928544020047411,17.858890602976317,180,faceWord_exp,11,pos,336,0.43723752099322155,-2.484088237918995,0.7018666210060474,image_stim_p.png,12.790790364000713,31,21
27.453018136002356,24,Monday,21.130785528977867,matilde,3.23,snub,3,21.823314613982802,3,42,y,female,1,28.157235078979284,0.692529085004935,28.109837669995613,180,faceWord_exp,12,neg,336,0.6568195339932572,3.9847946241932393,0.7042169429769274,image_stim_n.png,22.823990620992845,32,22
37.48177029498038,24,Monday,31.162252794980304,matilde,6.75,agreement,4,31.856475018983474,3,42,b,female,1,38.17331792099867,0.6942222240031697,37.82517847898998,180,faceWord_exp,11,pos,336,0.34340818400960416,-1.2126784285084091,0.6915476260182913,image_stim_p.png,32.857125193986576,31,21
44.89873959097895,24,Monday,41.177985721995356,matilde,7.25,family,5,41.87315609300276,3,42,b,female,1,45.589574826997705,0.6951703710074071,45.3593612209952,336,faceWord_exp,11,pos,180,0.4606216300162487,-1.6019047514101912,0.6908352360187564,image_stim_p.png,42.8734356679779,31,21
57.51534147397615,24,Monday,51.19362240098417,matilde,5.24,toe,6,51.8895557349897,3,42,b,female,1,58.20634841697756,0.6959333340055309,58.05928212500294,180,faceWord_exp,13,neu,336,0.5439406510267872,0.6016604903777263,0.6910069430014119,image_stim_p.png,52.890187101991614,41,21
64.93160033499589,24,Monday,61.21131180899101,matilde,5.55,faucet,7,61.90601876800065,3,42,b,female,1,65.62168651699903,0.6947069590096362,65.3919139149948,336,faceWord_exp,13,neu,180,0.4603135799989104,-0.123291752025302,0.6900861820031423,image_stim_p.png,62.906721168983495,41,21
74.94887775499956,24,Monday,71.22832926700357,matilde,5.7,jungle,8,71.92276054699323,3,42,b,female,1,75.63923744598287,0.6944312799896579,75.39235417699092,336,faceWord_exp,13,neu,180,0.44347642199136317,0.07332602516344529,0.6903596909833141,image_stim_p.png,72.92317266098689,41,21
84.96663925098255,24,Monday,81.2436201919918,matilde,3.47,cyclone,9,81.93932016199687,3,42,y,female,1,85.67278073300258,0.6956999700050801,85.54123937297845,336,faceWord_exp,12,neg,180,0.5746001219958998,3.583082910341294,0.7061414820200298,image_stim_n.png,82.93984675599495,32,22
97.60289312998066,24,Monday,91.2793918849784,matilde,7.0,coffee,10,91.9720620510052,3,42,b,female,1,98.30583710799692,0.6926701660268009,98.05844992600032,180,faceWord_exp,11,pos,336,0.45555679601966403,-1.8894778219780863,0.7029439780162647,image_stim_p.png,92.97307891698438,31,21
105.03097976199933,24,Monday,101.31071921798866,matilde,7.0,park,11,102.00569177197758,3,42,b,female,1,105.72236136498395,0.6949725539889187,105.47558555100113,336,faceWord_exp,11,pos,180,0.44460578900179826,-1.9950971558262764,0.6913816029846203,image_stim_p.png,103.00607067998499,31,21
115.04777813499095,24,Monday,111.32706014197902,matilde,5.68,cafeteria,12,112.022167617979,3,42,b,female,1,115.73876962400391,0.6951074759999756,115.49207328099874,336,faceWord_exp,13,neu,180,0.4442951460077893,-0.4971407339658378,0.6909914890129585,image_stim_p.png,113.02284999898984,41,21
125.0656542039942,24,Monday,121.34311514798901,matilde,8.21,joy,13,122.03884556298726,3,42,b,female,1,125.75433508199058,0.695730414998252,125.49090707299183,336,faceWord_exp,11,pos,180,0.4252528689976316,-3.230607919269787,0.6886808779963758,image_stim_p.png,123.03900093497941,31,21
