gender,word_label,pause_trigger_t,correct_resp,word,rt,delay_frames_before,delay_frames_after,img,ID,duration_measured_word,age,duration_measured_img,img_trigger,word_trigger,word_score_warriner,no,onset_img,session,scan day,condition,response,key_t,offset_img,word_score_pc,pause_trigger,duration_frames,offset_word,onset_word
female,neu,2.67368645966053,1,spatula,0.6318862589541823,180,336,image_stim_p.png,2019102307,0.6893342263065279,25,0.6814437764696777,21,13,5.14,1,4.692028964636847,1,Wednesday,faceWord_exp,b,5.32391522359103,5.373472741106525,-0.18281188470513854,41,42,1.673242469318211,0.9839082430116832
female,neg,12.67420968785882,1,plot,0.7855780820827931,180,336,image_stim_n.png,2019102307,0.6975441952235997,25,0.6850072469096631,22,12,4.9,2,14.688965945737436,1,Wednesday,faceWord_exp,y,15.47454402782023,15.3739731926471,0.2016963621838916,32,42,11.673926419578493,10.976382224354893
female,neu,22.674673567758873,1,school,0.7016456509009004,336,180,image_stim_n.png,2019102307,0.6962613076902926,25,0.6844076674897224,22,13,5.41,3,27.290119037032127,1,Wednesday,faceWord_exp,y,27.991764687933028,27.97452670452185,0.26215401176465297,42,42,21.67436046502553,20.978099157335237
female,neu,32.67514835507609,1,bridge,0.6530024195089936,336,180,image_stim_n.png,2019102307,0.6959077834617347,25,0.6859619542956352,22,13,5.44,4,37.28904948243871,1,Wednesday,faceWord_exp,y,37.94205190194771,37.97501143673435,0.1935892361901769,42,42,31.674670680658892,30.978762897197157
female,pos,42.6755910620559,1,plum,0.5526308023836464,336,180,image_stim_p.png,2019102307,0.696681558387354,25,0.6854502747301012,21,11,6.15,5,47.28999135759659,1,Wednesday,faceWord_exp,b,47.84262215998024,47.97544163232669,-1.1648995537800455,31,42,41.67517145280726,40.97848989441991
female,pos,52.67598629021086,0,lake,0.8519674476701766,180,336,image_stim_p.png,2019102307,0.6968724355101585,25,0.6847448307089508,21,11,7.13,6,54.691038648365065,1,Wednesday,faceWord_exp,y,55.54300609603524,55.375783479074016,-1.5151286486205269,31,42,51.67560806451365,50.978735629003495
female,neu,62.67647679685615,0,beer,0.5689628403633833,180,336,image_stim_n.png,2019102307,0.6974877340253443,25,0.6853363900445402,22,13,5.67,7,64.69096422218718,1,Wednesday,faceWord_exp,b,65.25992706255056,65.37630061223172,-0.9222259722889368,42,42,61.675991743803024,60.97850400977768
female,neg,72.67679791967385,1,mouse,0.585102076176554,336,180,image_stim_n.png,2019102307,0.6976205462124199,25,0.6845196278300136,22,12,4.8,8,77.29222414060496,1,Wednesday,faceWord_exp,y,77.87732621678151,77.97674376843497,1.5906822936049958,32,42,71.67649604496546,70.97887549875304
female,neg,82.67741193505935,1,deceit,0.48552348162047565,336,180,image_stim_n.png,2019102307,0.6973520347382873,25,0.6852324500214309,22,12,2.89,9,87.2920310178306,1,Wednesday,faceWord_exp,y,87.77755449945107,87.97726346785203,4.314775126713813,32,42,81.6770096491091,80.97965761437081
female,neg,92.67776000546291,1,envy,0.4355893423780799,336,180,image_stim_n.png,2019102307,0.695362098980695,25,0.6852090314496309,22,12,3.05,10,97.2925013138447,1,Wednesday,faceWord_exp,y,97.72809065622278,97.97771034529433,3.3697994362845387,32,42,91.67735322820954,90.98199112922885
female,pos,102.6782023916021,1,pineapple,0.6185896510723978,336,180,image_stim_p.png,2019102307,0.6971348519437015,25,0.6848269561305642,21,11,6.9,11,107.29330492322333,1,Wednesday,faceWord_exp,b,107.91189457429573,107.9781318793539,-1.6708771386143015,31,42,101.67785367975011,100.98071882780641
female,pos,112.67873813118786,1,kiss,0.5521646765992045,336,180,image_stim_p.png,2019102307,0.6973812277428806,25,0.6851955577731133,21,11,7.78,12,117.29343869769946,1,Wednesday,faceWord_exp,b,117.84560337429866,117.97863425547257,-2.8785481086132907,31,42,111.67837305832654,110.98099183058366
female,pos,122.6791375298053,1,zoo,0.6018052820581943,336,180,image_stim_p.png,2019102307,0.6959267107304186,25,0.684774023713544,21,11,7.0,13,127.29426925443113,1,Wednesday,faceWord_exp,b,127.89607453648932,127.97904327814467,-2.1296901000704778,31,42,121.67877502343617,120.98284831270576
female,neu,132.67965690861456,1,tomato,0.6520756219979376,336,180,image_stim_n.png,2019102307,0.6976157343015075,25,0.6850781440734863,22,13,5.8,14,137.2944312596228,1,Wednesday,faceWord_exp,y,137.94650688162073,137.97950940369628,-1.3575770021145472,42,42,131.67921965522692,130.9816039209254
female,pos,142.68012143019587,1,fun,0.45177990663796663,180,336,image_stim_p.png,2019102307,0.6969430120661855,25,0.6847082593012601,21,11,8.37,15,144.69518565782346,1,Wednesday,faceWord_exp,b,145.14696556446142,145.37989391712472,-3.2613064969771037,31,42,141.67966107907705,140.98271806701086
female,neg,152.68056670343503,1,lonely,0.46894185966812074,180,336,image_stim_n.png,2019102307,0.6973411275539547,25,0.685168931260705,22,12,2.67,16,154.6951070614159,1,Wednesday,faceWord_exp,y,155.16404892108403,155.38027599267662,4.010420717126172,32,42,151.6801528686192,150.98281174106523
female,pos,162.68105753068812,1,limousine,0.6186371296644211,180,336,image_stim_p.png,2019102307,0.6970706912688911,25,0.6848895123694092,21,11,6.14,17,164.69583560316823,1,Wednesday,faceWord_exp,b,165.31447273283266,165.38072511553764,-1.4783411251765788,31,42,161.68058113963343,160.98351044836454
female,neg,172.68145307991654,1,aggressive,0.46876798500306904,180,336,image_stim_n.png,2019102307,0.6969898492097855,25,0.6850383647251874,22,12,3.08,18,174.69615351804532,1,Wednesday,faceWord_exp,y,175.1649215030484,175.3811918827705,2.166851165767892,32,42,171.68104149075225,170.98405164154246
female,pos,182.6819111853838,1,moral,0.48550583771429956,180,336,image_stim_p.png,2019102307,0.6971781600732356,25,0.685119848465547,21,11,6.85,19,184.69652949809097,1,Wednesday,faceWord_exp,b,185.18203533580527,185.38164934655651,-1.1443669013398097,31,42,181.68151210737415,180.9843339473009
female,neu,192.68233592738397,1,embassy,0.7024983430746943,180,336,image_stim_n.png,2019102307,0.6974161954130977,25,0.6853405602741987,22,13,5.3,20,194.6967864606995,1,Wednesday,faceWord_exp,y,195.3992848037742,195.3821270209737,-0.05916451699915906,42,42,191.68195609771647,190.98453990230337
female,pos,202.68282065936364,1,lemonade,0.735760715091601,336,180,image_stim_p.png,2019102307,0.6973084057681262,25,0.6850880892015994,21,11,7.05,21,207.29755972209387,1,Wednesday,faceWord_exp,b,208.03332043718547,207.98264781129546,-2.146343780688921,31,42,201.6823830853682,200.98507467960007
female,neu,212.6832348150201,1,whale,0.6186955156736076,180,336,image_stim_p.png,2019102307,0.6964127263054252,25,0.6849036277271807,21,13,5.81,22,214.69808570947498,1,Wednesday,faceWord_exp,b,215.3167812251486,215.38298933720216,-0.8455595735963974,41,42,211.68284375732765,210.98643103102222
female,pos,222.68365827389061,1,beach,0.6518430404830724,336,180,image_stim_p.png,2019102307,0.6974444258958101,25,0.6847502843011171,21,11,7.21,23,227.29883523168974,1,Wednesday,faceWord_exp,b,227.9506782721728,227.98358551599085,-2.8031613090757777,31,42,221.68335511581972,220.9859106899239
female,neg,232.6841167001985,1,avalanche,0.6021318587008864,336,180,image_stim_n.png,2019102307,0.697255794191733,25,0.6851798386778682,22,12,4.0,24,237.29885672521777,1,Wednesday,faceWord_exp,y,237.90098858391866,237.98403656389564,3.2148840110758776,32,42,231.6837692714762,230.98651347728446
female,neu,242.68459405377507,1,field,0.6355671428609639,180,336,image_stim_n.png,2019102307,0.6975666512735188,25,0.6851044499780983,22,13,5.73,25,244.69926465745084,1,Wednesday,faceWord_exp,y,245.3348318003118,245.38436910742894,-0.9990759838186469,42,42,241.68418759736232,240.9866209460888
female,pos,252.6850444599986,1,woman,0.4688254084903747,180,336,image_stim_p.png,2019102307,0.6971739896107465,25,0.6851394174154848,21,11,7.09,26,254.6997198755853,1,Wednesday,faceWord_exp,b,255.16854528407566,255.38485929300077,-1.7483058493195842,31,42,251.6846662343014,250.98749224469066
female,pos,262.6854804302566,1,oak,0.7191723559517413,180,336,image_stim_p.png,2019102307,0.6975935988593847,25,0.6852475276682526,21,11,6.47,27,264.7000467730686,1,Wednesday,faceWord_exp,b,265.41921912902035,265.38529430073686,-1.0543324261381863,31,42,261.68508905149065,260.98749545263126
female,pos,272.68598184385337,1,garden,0.6857123700901866,180,336,image_stim_p.png,2019102307,0.6971922754310071,25,0.685210314579308,21,11,7.25,28,274.70047793118283,1,Wednesday,faceWord_exp,b,275.386190301273,275.38568824576214,-2.3673221107876317,31,42,271.6855365706142,270.9883442951832
female,neg,282.68642230541445,1,tornado,1.0360478970687836,180,336,image_stim_n.png,2019102307,0.6973231628071517,25,0.6854939037002623,22,12,3.63,29,284.7007207784336,1,Wednesday,faceWord_exp,y,285.7367686755024,285.38621468213387,3.6605330306018913,32,42,281.6860261147376,280.98870295193046
female,pos,292.6868040598929,1,boat,0.6187109141610563,336,180,image_stim_p.png,2019102307,0.6976940098684281,25,0.6850033972878009,21,11,6.36,30,297.3017490776256,1,Wednesday,faceWord_exp,b,297.92045999178663,297.9867524749134,-1.0613549170130714,31,42,291.6864893529564,290.988795343088
female,pos,302.6871649622917,1,love,0.4854249956551939,180,336,image_stim_p.png,2019102307,0.6977382807526737,25,0.6851166405249387,21,11,8.0,31,304.7019873051904,1,Wednesday,faceWord_exp,b,305.1874123008456,305.38710394571535,-2.40140153221556,31,42,301.68689997983165,300.989161699079
female,pos,312.68778924341314,1,pie,0.41895125922746956,336,180,image_stim_p.png,2019102307,0.6976940098684281,25,0.6853184250649065,21,11,6.45,32,317.30241827084683,1,Wednesday,faceWord_exp,b,317.7213695300743,317.98773669591174,-2.2727319315779937,31,42,311.6873885614332,310.98969455156475
female,neg,322.68826435133815,1,victim,0.6691038007847965,180,336,image_stim_n.png,2019102307,0.6973414483945817,25,0.6853867559693754,22,12,2.05,33,324.70262987189926,1,Wednesday,faceWord_exp,y,325.37173367268406,325.38801662786864,3.457530661450998,32,42,321.6878739350941,320.9905324866995
female,neu,332.68863231129944,0,tourist,0.41886271769180894,336,180,image_stim_n.png,2019102307,0.6969385207630694,25,0.6851525702513754,22,13,5.71,34,337.30347178527154,1,Wednesday,faceWord_exp,b,337.72233450296335,337.9886243555229,-0.31568469709749714,42,42,331.68827333371155,330.9913348129485
female,neg,342.6891667677555,0,jury,0.4189541465602815,336,180,image_stim_n.png,2019102307,0.695961999008432,25,0.6853379940148443,22,12,4.23,35,347.3037117451895,1,Wednesday,faceWord_exp,b,347.7226658917498,347.98904973920435,1.7036686386059527,32,42,341.6887439505663,340.99278195155784
female,neg,352.68964925431646,1,gasp,0.585008081048727,336,180,image_stim_n.png,2019102307,0.6975672931876034,25,0.6846248507499695,22,12,4.5,36,357.30487625696696,1,Wednesday,faceWord_exp,y,357.8898843380157,357.98950110771693,1.3014161644429498,32,42,351.68924311874434,350.99167582555674
female,pos,362.69019846757874,1,happy,0.4855934164952487,336,180,image_stim_p.png,2019102307,0.6973866815678775,25,0.6850890514906496,21,11,8.47,37,367.3048425728921,1,Wednesday,faceWord_exp,b,367.79043598938733,367.98993162438273,-3.1501939707833047,31,42,361.68966080318205,360.9922741216142
female,neu,372.6906507986132,1,rocket,0.5181493822019547,180,336,image_stim_p.png,2019102307,0.6972853078041226,25,0.6844095925334841,21,13,5.8,38,374.7058763897512,1,Wednesday,faceWord_exp,b,375.22402577195317,375.3902859822847,-0.17528733847197087,41,42,371.6901567631867,370.99287145538256
female,neu,382.6909946985543,1,man,0.6520528451073915,336,180,image_stim_n.png,2019102307,0.6976879145950079,25,0.6849090815521777,22,13,5.42,39,387.3059381120838,1,Wednesday,faceWord_exp,y,387.9579909571912,387.990847193636,-0.277657621999038,42,42,381.6906642722897,380.9929763576947
female,neg,392.69143259339035,1,hospital,0.535751796560362,180,336,image_stim_n.png,2019102307,0.6972772877197713,25,0.6853447307366878,22,12,3.52,40,394.70588120189495,1,Wednesday,faceWord_exp,y,395.2416329984553,395.39122593263164,2.561630339716405,32,42,391.6910245330073,390.9937472452875
female,neg,402.6919077015482,1,meeting,0.8194419583305717,336,180,image_stim_n.png,2019102307,0.6972968569025397,25,0.6855368914548308,22,12,4.55,41,407.30623132525943,1,Wednesday,faceWord_exp,y,408.12567328359,407.99176821671426,0.7573178762670367,32,42,401.69146210723557,400.994165250333
female,neu,412.6923006840516,1,truck,0.9691067519597709,180,336,image_stim_p.png,2019102307,0.6973122553899884,25,0.6852209011558443,21,13,5.16,42,414.7068519492168,1,Wednesday,faceWord_exp,b,415.67595870117657,415.39207285037264,-0.5907285556577869,41,42,411.6919362528715,410.99462399748154
female,pos,422.6927610351704,1,sled,0.7184675536118448,180,336,image_stim_p.png,2019102307,0.697619583690539,25,0.6846604598686099,21,11,6.35,43,424.7079628871288,1,Wednesday,faceWord_exp,b,425.42643044074066,425.3926233469974,-1.9273821271493088,31,42,421.69239788712,420.9947783034295
female,neg,432.6932958124671,1,bribe,0.7523583769798279,180,336,image_stim_n.png,2019102307,0.6973087263759226,25,0.6851593072060496,22,12,3.32,44,434.7079786064569,1,Wednesday,faceWord_exp,y,435.4603369834367,435.39313791366294,2.3815246085651838,32,42,431.6928518221248,430.99554309574887
female,neu,442.69369360711426,1,famous,0.7192916944622993,180,336,image_stim_p.png,2019102307,0.6975631227251142,25,0.685441933805123,21,13,5.89,45,444.70807163906284,1,Wednesday,faceWord_exp,b,445.42736333352514,445.39351357286796,-0.8050043475134195,41,42,441.69333270471543,440.9957695819903
female,neu,452.6941895671189,1,keyboard,0.6523755721282214,336,180,image_stim_n.png,2019102307,0.6974864508956671,25,0.6851650816388428,22,13,5.17,46,457.3088811512571,1,Wednesday,faceWord_exp,y,457.9612567233853,457.9940462328959,-0.08455950357770388,42,42,451.6937632211484,450.99627677025273
female,neu,462.6946572966408,1,corkscrew,0.6853610917460173,180,336,image_stim_n.png,2019102307,0.6972506614401937,25,0.684802254429087,22,13,5.26,47,464.7095938452985,1,Wednesday,faceWord_exp,y,465.39495493704453,465.3943960997276,-0.3369766028281135,42,42,461.69423736678436,460.99698670534417
female,neu,472.6951000036206,1,treaty,0.9854853062424809,336,180,image_stim_n.png,2019102307,0.6973112931009382,25,0.6849636177066714,22,13,5.42,48,477.3100036380347,1,Wednesday,faceWord_exp,y,478.29548894427717,477.99496725574136,-0.7213913907893977,42,42,471.6946919434704,470.99738065036945
female,neg,482.69543716683984,1,hurricane,0.6023480794392526,180,336,image_stim_n.png,2019102307,0.6971480047795922,25,0.685303988866508,22,12,3.16,49,484.71000318881124,1,Wednesday,faceWord_exp,y,485.3123512682505,485.39530717767775,3.648586845460279,32,42,481.69509390858,480.9979459038004
female,neg,492.6959482047241,1,commander,0.6352132982574403,336,180,image_stim_n.png,2019102307,0.696905157295987,25,0.6847871765494347,22,12,4.73,50,497.3110982149374,1,Wednesday,faceWord_exp,y,497.9463115131948,497.9958853914868,0.98843671158419,32,42,491.6955609964207,490.9986558391247
female,neu,502.69645026000217,0,hamster,0.4854137673974037,180,336,image_stim_n.png,2019102307,0.6971678943373263,25,0.6850819936953485,22,13,5.88,51,504.71112407161854,1,Wednesday,faceWord_exp,b,505.19653783901595,505.3962060653139,-1.1856791528275217,42,42,501.696034821216,500.9988669268787
female,neu,512.6969016287476,1,noun,0.6685873093083501,336,180,image_stim_n.png,2019102307,0.6973587716929615,25,0.6848580739460886,22,13,5.22,52,517.3119169019628,1,Wednesday,faceWord_exp,y,517.9805042112712,517.9967749759089,0.11872473318936595,42,42,511.696480094688,510.99912132299505
female,neg,522.6974194033537,1,alligator,0.6187192550860345,180,336,image_stim_n.png,2019102307,0.6972134483512491,25,0.6849257631693035,22,12,4.23,53,524.7121727738995,1,Wednesday,faceWord_exp,y,525.3308920289855,525.3970985370688,1.9014187675556817,32,42,521.6970023605973,520.999788912246
female,neu,532.6976920850575,1,fiddle,0.6358167270664126,336,180,image_stim_n.png,2019102307,0.6973738493397832,25,0.6853652622085065,22,13,5.05,54,537.3123156591319,1,Wednesday,faceWord_exp,y,537.9481323861983,537.9976809213404,-1.0601571884744718,42,42,531.6973860398866,531.0000121905468
female,pos,542.6982300702948,1,new,0.6524236924014986,336,180,image_stim_p.png,2019102307,0.6976019395515323,25,0.6852164098527282,21,11,7.68,55,547.3129611131735,1,Wednesday,faceWord_exp,b,547.965384805575,547.9981775230262,-1.2313279950095668,31,42,541.6978707718663,541.0002688323148
female,neg,552.6987247474026,1,diplomat,0.7360058079939336,336,180,image_stim_n.png,2019102307,0.697424215497449,25,0.685399908805266,22,12,4.65,56,557.3132158298977,1,Wednesday,faceWord_exp,y,558.0492216378916,557.9986157387029,0.13451130194660302,32,42,551.6983327271882,551.0009085116908
female,pos,562.6991812488995,1,wealthy,0.7521639710757881,180,336,image_stim_p.png,2019102307,0.6974056088365614,25,0.6849937732331455,21,11,6.37,57,564.7139798523858,1,Wednesday,faceWord_exp,b,565.4661438234616,565.398973625619,-1.8465637543339983,31,42,561.6987609979697,561.0013553891331
female,neg,572.6996168980841,1,sandpaper,0.7689999891445041,336,180,image_stim_n.png,2019102307,0.6970084556378424,25,0.6852423949167132,22,12,4.95,58,577.3142593994271,1,Wednesday,faceWord_exp,y,578.0832593885716,577.9995017943438,0.5814463879932942,32,42,571.6992370684166,571.0022286127787
female,neg,582.7000358656514,1,policeman,0.668741294182837,336,180,image_stim_n.png,2019102307,0.6970081347972155,25,0.6850348359439522,22,12,4.21,59,587.3148807932157,1,Wednesday,faceWord_exp,y,587.9836220873985,587.9999156291597,0.397042668763988,32,42,581.6996630935464,581.0026549587492
female,neu,592.7004153747112,1,fence,0.7855293203610927,336,180,image_stim_p.png,2019102307,0.697206711396575,25,0.6850983547046781,21,13,5.05,60,597.3153331242502,1,Wednesday,faceWord_exp,b,598.1008624446113,598.0004314789549,0.3759356543037889,41,42,591.7001224823762,591.0029157709796
