onset_img,img_trigger,onset_word,offset_word,duration_frames,duration_measured_img,correct_resp,word_trigger,ID,word,delay_frames_after,rt,delay_frames_before,word_score_warriner,img,key_t,offset_img,word_label,no,pause_trigger,word_score_pc,pause_trigger_t,duration_measured_word,scan day,condition,age,session,response,gender
7.4063495000009425,21,1.0454724000010174,1.7372739999991609,42,0.6930580000007467,1,11,gr1nr2,dolphin,180,0.41261609999855864,336,6.67,image_stim_p.png,7.818965599999501,8.09940750000169,pos,1,31,-2.035068499528653,2.7380885999991733,0.6918015999981435,Monday,faceWord_exp,25,6,b,female
14.869777600000816,21,11.1200267000022,11.809972300001391,42,0.6892335999982606,1,11,gr1nr2,parade,336,0.47593849999975646,180,6.37,image_stim_p.png,15.345716100000573,15.559011199999077,pos,2,31,-2.3709211732995845,12.810788099999627,0.6899455999991915,Monday,faceWord_exp,25,6,b,female
24.98278290000235,21,21.175260800002434,21.87092230000053,42,0.6846998000000895,1,13,gr1nr2,escalator,336,0.3889318000001367,180,5.95,image_stim_p.png,25.371714700002485,25.667482700002438,neu,3,41,-0.1293625696653618,22.871728000001895,0.6956614999980957,Monday,faceWord_exp,25,6,b,female
35.06949950000126,22,31.290995600000315,31.979490500001702,42,0.687238200000138,1,12,gr1nr2,rumor,336,0.323384299997997,180,3.14,image_stim_n.png,35.392883799999254,35.756737700001395,neg,4,32,3.1728286127179004,32.97955300000103,0.6884949000013876,Monday,faceWord_exp,25,6,y,female
47.75021729999935,21,41.3766964000024,42.07000039999912,42,0.682101700000203,1,13,gr1nr2,audience,180,0.3015052000009746,336,5.89,image_stim_p.png,48.051722500000324,48.43231899999955,neu,5,41,-0.7656585604551551,43.07198540000172,0.693303999996715,Monday,faceWord_exp,25,6,b,female
55.229435600002034,21,51.45358610000039,52.14574720000019,42,0.6815430999995442,1,11,gr1nr2,sun,336,0.3691242999993847,180,6.92,image_stim_p.png,55.59855990000142,55.91097870000158,pos,6,31,-1.2017878999114775,53.1461304000004,0.6921610999997938,Monday,faceWord_exp,25,6,b,female
65.27252600000065,21,61.52283879999959,62.20475350000197,42,0.6776296999996703,1,11,gr1nr2,pumpkin,336,0.34356599999955506,180,7.0,image_stim_p.png,65.61609200000021,65.95015570000032,pos,7,31,-1.1380831950062478,63.205245600001945,0.6819147000023804,Monday,faceWord_exp,25,6,b,female
78.05402790000153,22,71.56608699999924,72.24518460000036,42,0.6859342999996443,1,12,gr1nr2,lost,180,0.3717614999986836,336,2.53,image_stim_n.png,78.42578940000021,78.73996220000117,neg,8,32,3.7741942061665816,73.24798329999976,0.6790976000011142,Monday,faceWord_exp,25,6,y,female
85.50288320000254,21,81.76383910000004,82.45163310000135,42,0.6812648999984958,1,13,gr1nr2,finger,336,0.3670916999981273,180,5.8,image_stim_p.png,85.86997490000067,86.18414810000104,neu,9,41,-0.3659926056186196,83.45460390000153,0.6877940000013041,Monday,faceWord_exp,25,6,b,female
98.14685989999998,22,91.79169520000141,92.47871440000017,42,0.69330710000213,1,12,gr1nr2,folly,180,0.6432439000018348,336,4.11,image_stim_n.png,98.79010380000182,98.84016700000211,neg,10,32,2.52891321026023,93.4796090000018,0.6870191999987583,Monday,faceWord_exp,25,6,y,female
108.23003199999948,22,101.88696370000253,102.5707997999998,42,0.6835399000010511,1,12,gr1nr2,woe,180,0.43664690000150586,336,3.38,image_stim_n.png,108.66667890000099,108.91357190000053,neg,11,32,4.673386290788297,103.57125960000121,0.6838360999972792,Monday,faceWord_exp,25,6,y,female
118.29316240000117,21,111.93389419999949,112.62887509999928,42,0.6812524999986636,1,11,gr1nr2,party,180,0.30064670000137994,336,7.18,image_stim_p.png,118.59380910000255,118.97441489999983,pos,12,31,-2.3202480308548075,113.62933619999967,0.6949808999997913,Monday,faceWord_exp,25,6,b,female
128.35963640000045,21,122.0082880000009,122.68713890000072,42,0.6870401000014681,1,11,gr1nr2,honeymoon,180,0.36001480000049924,336,7.53,image_stim_p.png,128.71965120000095,129.04667650000192,pos,13,31,-3.0889019952949432,123.68836020000163,0.6788508999998157,Monday,faceWord_exp,25,6,b,female
138.44610079999984,22,132.06595120000202,132.7638622000013,42,0.6775520000010147,1,12,gr1nr2,mayor,180,0.6989675000004354,336,4.59,image_stim_n.png,139.14506830000028,139.12365280000085,neg,14,32,0.3271241198863318,133.7632123000003,0.6979109999992943,Monday,faceWord_exp,25,6,y,female
145.89799119999952,21,142.14098849999937,142.83536309999909,42,0.6874951999998302,1,11,gr1nr2,cheese,336,0.37176430000181426,180,6.81,image_stim_p.png,146.26975550000134,146.58548639999935,pos,15,31,-1.5755240884938977,143.83534920000238,0.6943745999997191,Monday,faceWord_exp,25,6,b,female
158.55700210000214,22,152.19892860000255,152.8804452000004,42,0.6835556999976689,1,12,gr1nr2,lawyer,180,0.45431449999887263,336,3.94,image_stim_n.png,159.011316600001,159.2405577999998,neg,16,32,1.4290259416609457,153.8816805000024,0.681516599997849,Monday,faceWord_exp,25,6,y,female
168.62496420000025,21,162.2582954999998,162.95361709999997,42,0.6921440000005532,1,11,gr1nr2,forest,180,0.3279733999988821,336,6.68,image_stim_p.png,168.95293759999913,169.3171082000008,pos,17,31,-1.6320665929887423,163.9522551000009,0.6953216000001703,Monday,faceWord_exp,25,6,b,female
178.67303019999963,22,172.33045610000045,173.01028729999962,42,0.6828724000006332,1,13,gr1nr2,era,180,0.75117130000217,336,5.29,image_stim_n.png,179.4242015000018,179.35590260000026,neu,18,42,0.38949539348709145,174.0140618000005,0.6798311999991711,Monday,faceWord_exp,25,6,y,female
186.1402792000008,22,182.35946429999967,183.0541207000024,42,0.6780671000014991,1,13,gr1nr2,role,336,0.6306005000005825,180,5.1,image_stim_n.png,186.7708797000014,186.8183463000023,neu,19,42,0.07641955756997082,184.05481230000078,0.6946564000027138,Monday,faceWord_exp,25,6,y,female
196.22563079999964,21,192.4499648000019,193.145539000001,42,0.6836060000023281,1,11,gr1nr2,camera,336,0.38691409999955795,180,6.61,image_stim_p.png,196.6125448999992,196.90923680000196,pos,20,31,-1.0219663684796234,194.1460399000025,0.6955741999991005,Monday,faceWord_exp,25,6,b,female
206.31634100000156,22,202.52614760000142,203.22145150000142,42,0.6855447999987518,1,12,gr1nr2,bee,336,0.6717992999983835,180,3.68,image_stim_n.png,206.98814029999994,207.0018858000003,neg,21,32,1.5036737146000605,204.22340059999988,0.695303899999999,Monday,faceWord_exp,25,6,y,female
