scan day,pause_trigger_t,session,onset_img,duration_frames,gender,condition,word,response,duration_measured_word,key_t,correct_resp,no,onset_word,delay_frames_after,img,ID,word_trigger,img_trigger,duration_measured_img,pause_trigger,word_score_pc,offset_img,word_label,rt,word_score_warriner,offset_word,age,delay_frames_before
Monday,2.682509802049026,3,4.701185941346921,42,female,faceWord_exp,jam,b,0.6891346875345334,5.38303328701295,1,1,0.9931502322433516,336,image_stim_p.png,2019102103,13,21,0.6813116060802713,41,-1.343270424679961,5.382497547427192,neu,0.6818473456660286,5.81,1.682284919777885,25,180
Monday,12.683100719586946,3,14.699273639707826,42,female,faceWord_exp,dusty,y,0.6952427605865523,15.216635773307644,1,2,10.987497056601569,336,image_stim_n.png,2019102103,12,22,0.6836832964327186,32,1.8802224749820768,15.382956936140545,neg,0.5173621335998178,3.95,11.682739817188121,25,180
Monday,22.683536369004287,3,24.699761259020306,42,female,faceWord_exp,trial,y,0.6966722550569102,25.150292603648268,1,3,20.986524063628167,336,image_stim_n.png,2019102103,12,22,0.6836868252139539,32,2.3068979902815,25.38344808423426,neg,0.4505313446279615,3.28,21.683196318685077,25,180
Monday,32.684089431888424,3,37.29921089077834,42,female,faceWord_exp,island,b,0.6964412775123492,37.73437837837264,1,4,30.987223412375897,180,image_stim_p.png,2019102103,11,21,0.6849103646818548,31,-1.7760144816699572,37.984121255460195,pos,0.435167487594299,7.18,31.683664689888246,25,336
Monday,42.68453855486587,3,47.29963242483791,42,female,faceWord_exp,agreement,b,0.6959161242702976,47.7513966121478,1,5,40.98817683639936,180,image_stim_p.png,2019102103,11,21,0.6848680187249556,31,-1.2126784285084091,47.984500443562865,pos,0.451764187309891,6.75,41.68409296066966,25,336
Monday,52.684949502465315,3,57.29970685089938,42,female,faceWord_exp,park,b,0.6960723550291732,57.935241272090934,1,6,50.98851720744278,180,image_stim_p.png,2019102103,11,21,0.6852693422697484,31,-1.9950971558262764,57.98497619316913,pos,0.6355344211915508,7.0,51.684589562471956,25,336
Monday,62.68532227457035,3,67.30040202918462,42,female,faceWord_exp,foot,y,0.6969600145239383,67.85240855044685,1,7,60.98810401430819,180,image_stim_n.png,2019102103,12,22,0.6849328208481893,32,0.41231466195915456,67.98533485003281,neg,0.5520065212622285,4.68,61.68506402883213,25,336
Monday,72.68585031491239,3,77.30072924739216,42,female,faceWord_exp,glass,y,0.6974562954856083,77.85280891158618,1,8,70.98803953302559,180,image_stim_n.png,2019102103,13,22,0.6850528008071706,42,0.2046331385026182,77.98578204819933,neu,0.5520796641940251,5.48,71.6854958285112,25,336
Monday,82.6862930218922,3,87.30140870634932,42,female,faceWord_exp,egg,y,0.697692085057497,87.95326746616047,1,9,80.98825126246084,180,image_stim_n.png,2019102103,13,22,0.6848275976954028,42,-0.6884171372613734,87.98623630404472,neu,0.651858759811148,5.95,81.68594334751833,25,336
Monday,92.68680085171945,3,94.70176980132237,42,female,faceWord_exp,family,b,0.6975117942783982,95.47047753958032,1,10,90.98891339811962,336,image_stim_p.png,2019102103,11,21,0.684821181697771,31,-1.6019047514101912,95.38659098302014,pos,0.7687077382579446,7.25,91.68642519239802,25,180
Monday,102.68725735321641,3,104.70231612736825,42,female,faceWord_exp,faucet,b,0.6967287161387503,105.35411200998351,1,11,100.99015746894293,336,image_stim_p.png,2019102103,13,21,0.6847028057090938,41,-0.123291752025302,105.38701893307734,neu,0.6517958826152608,5.55,101.68688618508168,25,180
Monday,112.68767664162442,3,117.30207822052762,42,female,faceWord_exp,sum,y,0.6976449271896854,117.78798826888669,1,12,110.98967594490387,180,image_stim_n.png,2019102103,13,22,0.6855317584704608,42,0.1511721542964875,117.98760997899808,neu,0.4859100483590737,5.71,111.68732087209355,25,336
