no,img_trigger,session,duration_measured_word,duration_frames,offset_img,word_label,pause_trigger,offset_word,word_trigger,correct_resp,duration_measured_img,delay_frames_before,gender,delay_frames_after,age,condition,scan day,ID,img,onset_word,word,key_t,pause_trigger_t,response,word_score_pc,onset_img,rt,word_score_warriner
1,22,4,0.6898240913869813,42,7.984346458571963,neu,42,1.6840535020455718,13,1,0.681534563540481,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_n.png,0.9942294106585905,shoulder,7.90147684479598,2.6844503342872486,y,0.12602488928311428,7.302811895031482,0.5986649497644976,5.1
2,22,4,0.6961265705758706,42,17.98479205276817,neg,32,11.684600790496916,12,1,0.6860787260811776,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_n.png,10.988474219921045,court,17.751928502111696,12.684917422244325,y,2.0765857872261098,17.298713326686993,0.45321517542470247,3.52
3,22,4,0.6961147008696571,42,25.385106631321833,neg,32,21.68499986839015,12,1,0.6840499732643366,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,20.988885167520493,insult,25.285652508377098,22.685415628016926,y,4.2176174504439885,24.701056658057496,0.5845958503196016,2.62
4,21,4,0.6961243249243125,42,35.38559264666401,pos,31,31.68550224462524,11,1,0.6859619541792199,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_p.png,30.989377919700928,bread,35.16934279818088,32.685826896340586,b,-1.5215329943370883,34.69963069248479,0.46971210569608957,6.52
5,22,4,0.6956931668100879,42,47.98624528653454,neg,32,41.685893302434124,12,1,0.6856456431560218,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_n.png,40.990200135624036,empty,47.7865626240382,42.6862080093706,y,2.8496222967354625,47.30059964337852,0.4859629806596786,3.78
6,22,4,0.6964496184373274,42,55.38664840650745,neg,32,51.6863295934163,12,1,0.6851961993379518,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,50.989879974978976,flood,55.30361101322342,52.686820099828765,y,3.803034067475641,54.701452207169496,0.6021588060539216,2.76
7,22,4,0.6971508917631581,42,65.38696985028218,neu,42,61.686762676225044,13,1,0.6861082399263978,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,60.989611784461886,baseball,65.23750106664374,62.687239388236776,y,-0.4066038871991289,64.70086161035579,0.5366394562879577,5.79
8,21,4,0.6974646364105865,42,75.38743790064473,neu,41,71.68727948854212,13,1,0.6855490817688406,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_p.png,70.98981485213153,bell,75.3711658527609,72.68772829079535,b,-0.6996261236875504,74.70188881887589,0.6692770338850096,5.67
9,22,4,0.6967412274098024,42,85.38793450244702,neg,32,81.68770840100478,12,1,0.6851214525522664,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_n.png,80.99096717359498,pig,85.38844971067738,82.68815046641976,y,0.060511318752979076,84.70281304989476,0.6856366607826203,4.83
10,22,4,0.6970328367315233,42,97.98846844548825,neg,32,91.68821975972969,12,1,0.6847496427362785,336,male,180,25,faceWord_exp,Monday,2019102101,image_stim_n.png,90.99118692299817,saw,97.80556758563034,92.68863455683459,y,-0.10198134801944247,97.30371880275197,0.5018487828783691,4.16
11,21,4,0.6975515737431124,42,105.3888016307028,neu,41,101.68870577495545,13,1,0.685098675545305,180,male,336,25,faceWord_exp,Monday,2019102101,image_stim_p.png,100.99115420121234,mouth,105.1892662163591,102.68905352451839,b,-0.05436507667908295,104.7037029551575,0.4855632612016052,5.59
