word_trigger,session,offset_word,rt,age,onset_img,word_label,scan day,img_trigger,duration_measured_img,no,gender,word,duration_measured_word,pause_trigger_t,delay_frames_after,correct_resp,key_t,offset_img,word_score_warriner,word_score_pc,onset_word,duration_frames,response,condition,delay_frames_before,pause_trigger,ID,img
11,5,1.674921868601814,0.566297295037657,25,7.292706306325272,pos,Monday,21,0.6824597569648176,1,female,tea,0.6903723422437906,2.6752478036796674,180,1,7.859003601362929,7.975166063290089,6.56,-1.410303556989907,0.9845495263580233,42,b,faceWord_exp,336,31,2019102103,image_stim_p.png
11,5,11.675398901454173,0.5693141185911372,25,14.689863229170442,pos,Monday,21,0.6856828563613817,2,female,cash,0.6957823499105871,12.675608064513654,336,1,15.259177347761579,15.375546085531823,7.51,-1.6872526925643307,10.979616551543586,42,b,faceWord_exp,180,31,2019102103,image_stim_p.png
11,5,21.67583583400119,0.46800062619149685,25,27.29183853638824,pos,Monday,21,0.6842719684354961,3,female,television,0.6949569259304553,22.67624196957331,180,1,27.759839162579738,27.976110504823737,7.18,-1.295378487470534,20.980878908070736,42,b,faceWord_exp,336,31,2019102103,image_stim_p.png
11,5,31.67629265622236,0.46927260677330196,25,37.29106989444699,pos,Monday,21,0.6855282296892256,4,female,penguin,0.6954400539398193,32.676639122655615,180,1,37.76034250122029,37.97659812413622,6.65,-1.2194148821621404,30.98085260228254,42,b,faceWord_exp,336,31,2019102103,image_stim_p.png
12,5,41.67673600488342,0.6697049839422107,25,44.69088883372024,neg,Monday,22,0.686044400325045,5,female,dread,0.6973417692352086,42.67731216549873,336,1,45.36059381766245,45.37693323404528,3.0,4.006417686109669,40.979394235648215,42,y,faceWord_exp,180,32,2019102103,image_stim_n.png
13,5,51.67729516304098,0.6030705258017406,25,57.291483729262836,neu,Monday,22,0.685997884022072,6,female,mushroom,0.6962173576466739,52.67756110802293,180,1,57.89455425506458,57.97748161328491,5.61,0.08756588783899029,50.98107780539431,42,y,faceWord_exp,336,42,2019102103,image_stim_n.png
13,5,61.67772824596614,0.603139819111675,25,67.29183853638824,neu,Monday,21,0.6861050319857895,7,female,ticket,0.6970854483079165,62.67826013593003,180,1,67.89497835549992,67.97794356837403,5.28,-0.7502239645266248,60.98064279765822,42,b,faceWord_exp,336,41,2019102103,image_stim_p.png
13,5,71.67812219099142,0.8864382811589167,25,74.69236452365294,neu,Monday,22,0.6859266659012064,8,female,number,0.6968422802165151,72.67856650194153,336,1,75.57880280481186,75.37829118955415,5.59,0.2374341841762725,70.9812799107749,42,y,faceWord_exp,180,42,2019102103,image_stim_n.png
11,5,81.67862617119681,0.6021841494366527,25,84.69360795279499,pos,Monday,21,0.6851734224474058,9,female,drum,0.6975182103924453,82.67899220646359,336,1,85.29579210223164,85.3787813752424,6.05,-1.4373817092238501,80.98110796080437,42,b,faceWord_exp,180,31,2019102103,image_stim_p.png
11,5,91.6790159457596,0.6195770801277831,25,97.29354584554676,pos,Monday,21,0.6857694728532806,10,female,cherry,0.69682495680172,92.67940283322241,180,1,97.91312292567454,97.97931531840004,7.05,-1.7441234463665167,90.98219098895788,42,b,faceWord_exp,336,31,2019102103,image_stim_p.png
