delay_frames_before,ID,duration_measured_word,duration_measured_img,offset_img,word_score_warriner,word_trigger,rt,key_t,scan day,word_label,gender,word_score_pc,onset_word,delay_frames_after,response,offset_word,onset_img,duration_frames,condition,word,correct_resp,pause_trigger_t,img,age,session,pause_trigger,img_trigger,no
336,mikkel,0.6890597029999981,0.6949409789999663,7.997513497,2.81,12,0.3819382739999355,7.684510791999969,Monday,neg,male,3.6887696102955196,0.9925615439999547,180,y,1.6816212469999527,7.302572518000034,42,faceWord_exp,malice,1,2.682603257999972,image_stim_n.png,,3,32,22,1
336,mikkel,0.6964406879999387,0.6860672110000223,17.998421001999986,4.7,12,0.48898028200005683,17.80133407300002,Monday,neg,male,0.33736940436804663,11.001483319000045,180,y,11.697924006999983,17.312353790999964,42,faceWord_exp,radish,1,12.69850403800001,image_stim_n.png,,3,32,22,2
336,mikkel,0.6961326929999814,0.7117282170000863,28.02454603900003,7.48,11,0.33934594100003324,27.652163762999976,Monday,pos,male,-2.2287379941341,21.002259880999986,180,b,21.698392573999968,27.312817821999943,42,faceWord_exp,hope,1,22.69861409500004,image_stim_p.png,,3,31,21,3
336,mikkel,0.6961540629999945,0.685203662000049,38.01424437100002,3.23,12,0.4425956430000042,37.77163635199997,Monday,neg,male,3.9847946241932393,31.018716914000038,180,y,31.714870977000032,37.32904070899997,42,faceWord_exp,snub,1,32.71435266100002,image_stim_n.png,,3,32,22,4
180,mikkel,0.6965191210000512,0.6846566449999045,45.414984156999935,5.7,13,0.4873375399999986,45.21766505200003,Monday,neu,male,0.07332602516344529,41.018167965999965,336,y,41.714687087000016,44.73032751200003,42,faceWord_exp,jungle,1,42.71480646099997,image_stim_n.png,,3,42,22,5
180,mikkel,0.6959370729999819,0.6869935059999079,55.41464782699995,6.84,11,0.5220814339999151,55.24973575499996,Monday,pos,male,-1.728066945394655,51.018151612999986,336,b,51.71408868599997,54.727654321000045,42,faceWord_exp,computer,1,52.71437426199998,image_stim_p.png,,3,31,21,6
180,mikkel,0.695775006999952,0.6843459980000262,65.41398759200001,3.47,12,0.4707150689999935,65.20035666299998,Monday,neg,male,3.583082910341294,61.018812517000015,336,y,61.71458752399997,64.72964159399999,42,faceWord_exp,cyclone,1,62.71522158100004,image_stim_n.png,,3,32,22,7
336,mikkel,0.695644590000029,0.6840467250000302,78.01351825500001,7.23,11,0.3211135669999976,77.65058509699998,Monday,pos,male,-2.484088237918995,71.018867602,180,b,71.71451219200003,77.32947152999998,42,faceWord_exp,butterfly,1,72.71527490699998,image_stim_p.png,,3,31,21,8
336,mikkel,0.6969171750000669,0.6857199060000312,88.01431775000003,5.89,13,0.44200885099996867,87.77060669499997,Monday,neu,male,-1.0048841857254538,81.01749849199996,180,y,81.71441566700003,87.328597844,42,faceWord_exp,gum,1,82.71503810299998,image_stim_n.png,,3,42,22,9
180,mikkel,0.6953079210001079,0.6976734739999984,95.42486775600003,5.48,13,0.43481341699998666,95.16200769900001,Monday,neu,male,0.2046331385026182,91.01851445599993,336,b,91.71382237700004,94.72719428200003,42,faceWord_exp,glass,1,92.71403103800003,image_stim_p.png,,3,41,21,10
