img_trigger,offset_word,pause_trigger_t,rt,word_score_warriner,key_t,session,onset_word,response,duration_measured_word,gender,duration_frames,delay_frames_after,word,onset_img,delay_frames_before,word_score_pc,word_label,scan day,pause_trigger,condition,age,no,img,offset_img,duration_measured_img,ID,correct_resp,word_trigger
21,102.00436870200792,103.0048037640081,0.4737567439879058,6.81,108.1062934799993,6,101.3105682710011,b,0.6938004310068209,female,42,180,cheese,107.63253673601139,336,-1.5755240884938977,pos,Monday,31,faceWord_exp,23,11,image_stim_p.png,108.33755711901176,0.7050203830003738,K,1,11
22,112.0375187160098,113.03797375501017,0.4760856319917366,4.55,118.13940378199914,6,111.3427176890109,y,0.6948010269989027,female,42,180,law,117.6633181500074,336,0.7240429444440241,neg,Monday,32,faceWord_exp,23,12,image_stim_n.png,118.35410718500498,0.6907890349975787,K,1,12
21,122.05404897501285,123.05450335200294,0.5764547260041581,7.48,125.65629137800715,6,121.35806656000204,y,0.6959824150108034,female,42,336,home,125.079836652003,180,-2.2232275900644445,pos,Monday,31,faceWord_exp,23,13,image_stim_p.png,125.77068578101171,0.6908491290087113,K,0,11
22,132.0706429890124,133.07104898800026,0.5093346689973259,5.42,138.20584373400197,6,131.3750964760111,y,0.6955465130013181,female,42,180,scooter,137.69650906500465,336,-0.9209473384247756,neu,Monday,42,faceWord_exp,23,14,image_stim_n.png,138.3871635730029,0.6906545079982607,K,1,13
22,142.08712751801067,143.08757695399981,0.5099859780020779,3.94,148.22273633501027,6,141.3915342570108,y,0.6955932609998854,female,42,180,lawyer,147.7127503570082,336,1.4290259416609457,neg,Monday,32,faceWord_exp,23,15,image_stim_n.png,148.40370506500767,0.6909547079994809,K,1,12
21,152.10365126900433,153.10418568301247,0.5098682730022119,6.73,158.23934905900387,6,151.40762415301288,b,0.6960271159914555,female,42,180,read,157.72948078600166,336,-1.87678309604286,pos,Monday,31,faceWord_exp,23,16,image_stim_p.png,158.4202445460105,0.6907637600088492,K,1,11
21,162.1202414920117,163.12073078400863,0.5097322399960831,6.67,168.25542740800302,6,161.4258799560048,b,0.6943615360069089,female,42,180,dolphin,167.74569516800693,336,-2.035068499528653,pos,Monday,31,faceWord_exp,23,17,image_stim_p.png,168.4367946810089,0.6910995130019728,K,1,11
22,172.13672515501094,173.13717731900397,0.5575228149973555,5.84,175.72224064001057,6,171.44318983401172,y,0.6935353209992172,female,42,336,soccer,175.1647178250132,180,-0.6912617476649511,neu,Monday,42,faceWord_exp,23,18,image_stim_n.png,175.85335050700814,0.6886326819949318,K,1,13
21,182.15325006800413,183.15370064500894,0.6763973279885249,7.0,188.45525520500087,6,181.45771411100577,b,0.6955359569983557,female,42,180,pumpkin,187.77885787701234,336,-1.1380831950062478,pos,Monday,31,faceWord_exp,23,19,image_stim_p.png,188.4697061170009,0.6908482399885543,K,1,11
21,192.16980808200606,193.17022112100676,0.40959270199527964,7.11,195.60531541300588,6,191.47578663400782,b,0.6940214479982387,female,42,336,blueberry,195.1957227110106,180,-1.4048581699918157,pos,Monday,31,faceWord_exp,23,20,image_stim_p.png,195.8864205120044,0.690697800993803,K,1,11
