condition,offset_img,word_trigger,word_score_pc,correct_resp,pause_trigger_t,duration_measured_word,img,onset_img,gender,word,age,word_label,duration_measured_img,pause_trigger,response,key_t,word_score_warriner,img_trigger,onset_word,duration_frames,offset_word,delay_frames_after,ID,rt,no,session,delay_frames_before,scan day
faceWord_exp,5.435162100000525,12,0.397042668763988,1,2.6878647000003184,0.6832545999996,image_stim_n.png,4.757320200000322,female,policeman,25,neg,0.6778419000002032,32,y,4.336763299999802,4.21,22,1.0049094000005425,42,1.6881640000001426,336,gr1nr2,-0.4205569000005198,1,1,180,Monday
faceWord_exp,15.493533599999864,12,3.2148840110758776,1,12.729625699999815,0.6934273000006215,image_stim_n.png,14.810839900000246,female,avalanche,25,neg,0.6826936999996178,32,y,15.544160399999782,4.0,22,11.036597999999685,42,11.730025300000307,336,gr1nr2,0.733320499999536,2,1,180,Monday
faceWord_exp,28.186165199999778,13,-0.5907285556577869,1,22.78785549999975,0.694194100000459,image_stim_p.png,27.50913750000018,female,truck,25,neu,0.6770276999995986,41,b,28.20618259999992,5.16,21,21.09424349999972,42,21.78843760000018,180,gr1nr2,0.6970450999997411,3,1,336,Monday
faceWord_exp,38.19217759999992,12,2.561630339716405,1,32.880212900000515,0.6882934000004752,image_stim_n.png,37.51265979999971,female,hospital,25,neg,0.6795178000002124,32,y,38.42646429999968,3.52,22,31.192124899999726,42,31.8804183000002,180,gr1nr2,0.9138044999999693,4,1,336,Monday
faceWord_exp,48.20098909999979,13,-0.9222259722889368,1,42.88951720000023,0.6926064999997834,image_stim_n.png,47.51548819999971,female,beer,25,neu,0.6855009000000791,42,y,48.46878670000024,5.67,22,41.1965809000003,42,41.88918740000008,180,gr1nr2,0.9532985000005283,5,1,336,Monday
faceWord_exp,58.19281690000025,11,-2.40140153221556,1,52.89684070000021,0.6947793999997884,image_stim_p.png,57.514217500000086,female,love,25,pos,0.6785994000001665,31,b,57.99465640000017,8.0,21,51.20267590000003,42,51.89745529999982,180,gr1nr2,0.48043890000008105,6,1,336,Monday
faceWord_exp,65.58640530000048,11,-1.1648995537800455,1,62.890300000000025,0.6922746999998708,image_stim_p.png,64.90912860000026,female,plum,25,pos,0.6772767000002204,31,b,65.2868639999997,6.15,21,61.196661900000436,42,61.88893660000031,336,gr1nr2,0.3777353999994375,7,1,180,Monday
faceWord_exp,78.2118502000003,13,-1.1856791528275217,1,72.89778230000047,0.7041375999997399,image_stim_p.png,77.52797329999976,female,hamster,25,neu,0.6838769000005414,41,b,77.8649131000002,5.88,21,71.19356100000005,42,71.89769859999979,180,gr1nr2,0.33693980000043666,8,1,336,Monday
faceWord_exp,85.62019320000036,13,0.3759356543037889,1,82.90550549999989,0.6903234000001248,image_stim_p.png,84.93927230000008,female,fence,25,neu,0.6809209000002738,41,b,85.78621600000042,5.05,21,81.21627259999968,42,81.90659599999981,336,gr1nr2,0.8469437000003381,9,1,180,Monday
faceWord_exp,95.64498100000037,12,0.98843671158419,1,92.91428629999973,0.6921625999993921,image_stim_n.png,94.96217849999994,female,commander,25,neg,0.6828025000004345,32,y,95.5295956,4.73,22,91.22201440000026,42,91.91417699999965,336,gr1nr2,0.567417100000057,10,1,180,Monday
faceWord_exp,108.26813279999988,11,-3.2613064969771037,1,102.9413338000004,0.6962680999995428,image_stim_p.png,107.5820550999997,female,fun,25,pos,0.686077700000169,31,b,107.90178370000012,8.37,21,101.24316420000014,42,101.93943229999968,180,gr1nr2,0.3197286000004169,11,1,336,Monday
faceWord_exp,118.3095099000002,13,-0.8455595735963974,1,112.96399490000022,0.6929785000002084,image_stim_p.png,117.62479280000025,female,whale,25,neu,0.6847170999999435,41,b,118.07734729999993,5.81,21,111.27137099999982,42,111.96434950000003,180,gr1nr2,0.45255449999967823,12,1,336,Monday
faceWord_exp,128.36950960000013,12,1.7036686386059527,1,123.00594809999984,0.6777305999994496,image_stim_n.png,127.67798060000041,female,jury,25,neg,0.6915289999997185,32,y,128.23828630000025,4.23,22,121.32833550000032,42,122.00606609999977,180,gr1nr2,0.5603056999998444,13,1,336,Monday
faceWord_exp,135.76260420000017,13,-0.7213913907893977,1,133.06491749999986,0.692308900000171,image_stim_n.png,135.0879758000001,female,treaty,25,neu,0.6746284000000742,42,y,136.17954100000043,5.42,22,131.37213729999985,42,132.06444620000002,336,gr1nr2,1.091565200000332,14,1,180,Monday
