word_score_warriner,delay_frames_after,duration_frames,img,response,age,pause_trigger,duration_measured_img,word_score_pc,offset_word,key_t,word_trigger,session,ID,pause_trigger_t,onset_word,rt,offset_img,correct_resp,word_label,onset_img,img_trigger,no,duration_measured_word,scan day,condition,gender,word,delay_frames_before
7.0,180,42,image_stim_p.png,b,23,31,0.6914637110021431,-2.1296901000704778,392.93450742200366,398.91972217999864,11,1,K,393.9349285520002,392.2398018219974,0.36010642600012943,399.25107946500066,1,pos,398.5596157539985,21,40,0.694705600006273,Monday,faceWord_exp,female,zoo,336
5.17,180,42,image_stim_p.png,b,23,41,0.6908802609978011,-0.08455950357770388,402.95084271999076,408.93661286598945,13,1,K,403.9515790269943,402.2555447039922,0.35985354699369054,409.26763957999356,1,neu,408.57675931899576,21,41,0.69529801599856,Monday,faceWord_exp,female,keyboard,336
4.95,336,42,image_stim_n.png,y,23,32,0.6908850740001071,0.5814463879932942,412.9675872660009,416.55304631899344,12,1,K,413.96801825400325,412.27218056999845,0.5597847489989363,416.6841466439946,1,neg,415.9932615699945,22,42,0.6954066960024647,Monday,faceWord_exp,female,sandpaper,180
7.21,180,42,image_stim_p.png,b,23,31,0.6906473990093218,-2.8031613090757777,422.983827131,429.31951135899,11,1,K,423.9845596959931,422.2886193739978,0.7094756629958283,429.3006830950035,1,pos,428.61003569599416,21,43,0.6952077570022084,Monday,faceWord_exp,female,beach,336
5.88,336,42,image_stim_n.png,y,23,42,0.6905102839955362,-1.1856791528275217,433.00059104699176,436.55279241300013,13,1,K,434.00105385200004,432.305082056002,0.5262605570023879,436.7170421399933,1,neu,436.02653185599775,22,44,0.6955089909897652,Monday,faceWord_exp,female,hamster,180
6.35,336,42,image_stim_p.png,b,23,31,0.6887316149950493,-1.9273821271493088,443.01696114899823,446.70266420498956,11,1,K,444.0175872569962,442.32342688199424,0.6576257089909632,446.73377011099365,1,pos,446.0450384959986,21,45,0.6935342670039972,Monday,faceWord_exp,female,sled,180
5.71,180,42,image_stim_p.png,b,23,41,0.6909729269973468,-0.31568469709749714,453.03375602400047,459.2688571339968,13,1,K,454.03412029499304,452.3382598320022,0.6096014990034746,459.35022856199066,1,neu,458.6592556349933,21,46,0.6954961919982452,Monday,faceWord_exp,female,tourist,336
5.22,180,42,image_stim_p.png,b,23,41,0.6907079390075523,0.11872473318936595,463.050211668,469.0855976539897,13,1,K,464.05065540499345,462.35405784899194,0.40978481799538713,469.36652077500185,1,neu,468.6758128359943,21,47,0.6961538190080319,Monday,faceWord_exp,female,noun,336
2.67,180,42,image_stim_n.png,y,23,32,0.6909397599956719,4.010420717126172,473.0667708539986,479.3519863160036,12,1,K,474.0669825090008,472.371130073996,0.6596161380002741,479.383309937999,1,neg,478.69237017800333,22,48,0.6956407800025772,Monday,faceWord_exp,female,lonely,336
3.08,336,42,image_stim_n.png,y,23,32,0.6907564340071985,2.166851165767892,483.08326418600336,486.7851945220027,12,1,K,484.0836396569939,482.38798880099785,0.6763829420087859,486.7995680140011,1,neg,486.1088115799939,22,49,0.695275385005516,Monday,faceWord_exp,female,aggressive,180
