img_trigger,age,word,gender,offset_word,duration_measured_word,word_score_warriner,word_score_pc,condition,session,onset_img,delay_frames_before,delay_frames_after,pause_trigger_t,duration_frames,offset_img,onset_word,rt,pause_trigger,no,key_t,duration_measured_img,img,correct_resp,response,word_label,ID,scan day,word_trigger
22,25,shame,male,1.683726986993861,0.67758563899406,2.62,4.2618443246155895,faceWord_exp,3,7.326548657998501,336,180,2.6837297469974146,42,8.010808428000018,1.006141347999801,0.5025643979970482,32,1,7.829113055995549,0.6842597700015176,image_stim_n.png,1,y,neg,60,Monday,12
21,25,harp,male,11.723842516999866,0.6896655279997503,5.4,-1.7878104403788575,faceWord_exp,3,17.35321144699992,336,180,12.723850637994474,42,18.034190497994132,11.034176989000116,0.432529996993253,41,2,17.785741443993174,0.6809790509942104,image_stim_p.png,1,b,neu,60,Monday,13
21,25,saxophone,male,21.746968733998074,0.6892420119984308,6.32,-1.100912149643323,faceWord_exp,3,24.779295375999936,180,336,22.74732611899526,42,25.45968730999448,21.057726721999643,0.43104635599593166,31,3,25.210341731995868,0.6803919339945423,image_stim_p.png,1,b,pos,60,Monday,11
22,25,tax,male,31.770457481994526,0.6904234030007501,3.0,3.4211910580769755,faceWord_exp,3,37.40219806699315,336,180,32.77021703399805,42,38.08083394399728,31.080034078993776,0.4301080260047456,32,4,37.8323060929979,0.6786358770041261,image_stim_n.png,0,b,neg,60,Monday,12
21,25,coffee,male,41.79370307699719,0.6888788400028716,7.0,-1.8894778219780863,faceWord_exp,3,44.82756712999981,180,336,42.79391304299497,42,45.506502194999484,41.10482423699432,0.44693971399829024,31,5,45.2745068439981,0.6789350649996777,image_stim_p.png,0,y,pos,60,Monday,11
21,25,car,male,51.817086136994476,0.6914012529960019,6.63,-1.4106928476010352,faceWord_exp,3,57.45159117000003,336,180,52.817275826993864,42,58.1275682619962,51.125684883998474,0.47712125399993965,31,6,57.92871242399997,0.6759770919961738,image_stim_p.png,1,b,pos,60,Monday,11
22,25,cyclone,male,61.840621646995714,0.6898461329983547,3.47,3.583082910341294,faceWord_exp,3,67.47297719799826,336,180,62.84062452299986,42,68.15086949899705,61.15077551399736,0.4627004389985814,32,7,67.93567763699684,0.677892300998792,image_stim_n.png,1,y,neg,60,Monday,12
21,25,cafeteria,male,71.86384454099607,0.690398209997511,5.68,-0.4971407339658378,faceWord_exp,3,77.49485209099657,336,180,72.86374580599659,42,78.17410288699466,71.17344633099856,0.4974649900032091,41,8,77.99231708099978,0.6792507959980867,image_stim_p.png,1,b,neu,60,Monday,13
21,25,joy,male,81.8872652009959,0.69221174899576,8.21,-3.230607919269787,faceWord_exp,3,84.92113917099778,180,336,82.88706980999996,42,85.6000182469943,81.19505345200014,0.44694490999972913,31,9,85.3680840809975,0.6788790759965195,image_stim_p.png,1,b,pos,60,Monday,11
21,25,island,male,91.91060517399455,0.6896357660007197,7.18,-1.7760144816699572,faceWord_exp,3,97.54331329900015,336,180,92.91020137699525,42,98.22102126199752,91.22096940799383,0.4445987699946272,31,10,97.98791206899477,0.6777079629973741,image_stim_p.png,1,b,pos,60,Monday,11
21,25,spiritual,male,101.93390760599868,0.6911628849993576,5.82,-1.5026706526379858,faceWord_exp,3,104.96221195299586,180,336,102.93395987899567,42,105.64674719399773,101.24274472099933,0.33614759700139984,41,11,105.29835954999726,0.6845352410018677,image_stim_p.png,1,b,neu,60,Monday,13
21,25,witness,male,111.95725359999778,0.689203540001472,5.61,0.5990623206044929,faceWord_exp,3,114.9924456039953,180,336,112.95716836499923,42,115.67011473199818,111.26805005999631,0.5457312479993561,41,12,115.53817685199465,0.6776691280028899,image_stim_p.png,1,b,neu,60,Monday,13
21,25,patent,male,121.9806336939946,0.6900526959943818,5.34,-0.1793860699809707,faceWord_exp,3,125.01349831900006,180,336,122.98044356599712,42,125.69348358099523,121.29058099800022,0.4146015999940573,41,13,125.42809991899412,0.6799852619951707,image_stim_p.png,1,b,neu,60,Monday,13
22,25,criminal,male,132.00399484700029,0.6856793350016233,2.11,3.6129749181587063,faceWord_exp,3,135.0401179249966,180,336,133.00383977599995,42,135.71681769699353,131.31831551199866,0.577853271002823,32,14,135.61797119599942,0.6766997719969368,image_stim_n.png,1,y,neg,60,Monday,12
22,25,grievance,male,142.02728195099917,0.6877008200026467,3.45,3.6017940902369654,faceWord_exp,3,145.05985136399977,180,336,143.02715944099327,42,145.74013673299487,141.33958113099652,0.5148957529963809,32,15,145.57474711699615,0.6802853689951007,image_stim_n.png,1,y,neg,60,Monday,12
22,25,foot,male,152.05054247299995,0.6912131290009711,4.68,0.41231466195915456,faceWord_exp,3,155.084635151994,180,336,153.0500459219984,42,155.76359664199845,151.35932934399898,0.49679771400406025,32,16,155.58143286599807,0.6789614900044398,image_stim_n.png,1,y,neg,60,Monday,12
