session,condition,word_score_pc,img,ID,word_label,word_score_warriner,pause_trigger_t,duration_measured_img,key_t,age,delay_frames_after,scan day,offset_word,onset_word,response,onset_img,delay_frames_before,gender,pause_trigger,word_trigger,no,img_trigger,duration_measured_word,offset_img,rt,duration_frames,word,correct_resp
6,faceWord_exp,3.2726955917764444,image_stim_n.png,2019102307,neg,2.79,2.684842033777386,0.6823186040855944,5.218656826997176,25,336,Wednesday,1.6844609207473695,0.9957869052886963,y,4.702323505887762,180,female,32,12,1,22,0.6886740154586732,5.384642109973356,0.5163333211094141,42,gunshot,1
6,faceWord_exp,0.8985553834191027,image_stim_n.png,2019102307,neg,4.32,12.685423006536439,0.6854457834269851,17.835770146455616,25,180,Wednesday,11.68495559785515,10.988831914495677,y,17.299794429913163,336,female,32,12,2,22,0.6961236833594739,17.98524021334015,0.5359757165424526,42,crow,1
6,faceWord_exp,-1.4048581699918157,image_stim_p.png,2019102307,pos,7.11,22.6859045305755,0.6841834268998355,25.219178130617365,25,336,Wednesday,21.68544032983482,20.989589649019763,b,24.701386122033,180,female,31,11,3,21,0.695850680815056,25.385569548932835,0.5177920085843652,42,blueberry,1
6,faceWord_exp,2.6698720582687456,image_stim_n.png,2019102307,neg,2.86,32.686277623521164,0.6856440394185483,37.803254281170666,25,180,Wednesday,31.68587597925216,30.989013488404453,y,37.30052393395454,336,female,32,12,4,22,0.6968624908477068,37.986167973373085,0.5027303472161293,42,fee,1
6,faceWord_exp,0.3271241198863318,image_stim_n.png,2019102307,neg,4.59,42.68665232043713,0.6846938233356923,45.6703831597697,25,336,Wednesday,41.68638926255517,40.99062423617579,y,44.70180637273006,180,female,32,12,5,22,0.6957650263793766,45.386500196065754,0.9685767870396376,42,mayor,1
6,faceWord_exp,4.673386290788297,image_stim_n.png,2019102307,neg,3.38,52.68715277174488,0.6855744251515716,55.4208112701308,25,336,Wednesday,51.68678898201324,50.98920404491946,y,54.701378422789276,180,female,32,12,6,22,0.6975849370937794,55.38695284794085,0.7194328473415226,42,woe,1
6,faceWord_exp,0.06851316647377265,image_stim_p.png,2019102307,neu,5.24,62.68761889729649,0.6858865655958652,65.45460777753033,25,336,Wednesday,61.68725639092736,60.9898992232047,b,64.70152759575285,180,female,41,13,7,21,0.6973571677226573,65.38741416134872,0.7530801817774773,42,analogy,1
6,faceWord_exp,-2.2232275900644445,image_stim_p.png,2019102307,pos,7.48,72.68809881736524,0.6854624652769417,75.5217256846372,25,336,Wednesday,71.68778058164753,70.99015073198825,b,74.70238862861879,180,female,31,11,8,21,0.697629849659279,75.38785109389573,0.8193370560184121,42,home,1
6,faceWord_exp,3.1728286127179004,image_stim_n.png,2019102307,neg,3.14,82.68849757430144,0.6858968313317746,85.42225552140735,25,336,Wednesday,81.68816971452907,80.990712456638,y,84.70242167124525,180,female,32,12,9,22,0.6974572578910738,85.38831850257702,0.7198338501621038,42,rumor,1
6,faceWord_exp,-0.15774590184623308,image_stim_n.png,2019102307,neu,5.65,92.68898391048424,0.6862551672384143,95.35583150945604,25,336,Wednesday,91.68860696791671,90.99111281777732,y,94.70253651845269,180,female,42,13,10,22,0.6974941501393914,95.3887916856911,0.6532949910033494,42,comb,1
