word_trigger,img,delay_frames_after,word_score_warriner,age,delay_frames_before,scan day,condition,pause_trigger_t,offset_word,no,ID,word,pause_trigger,word_score_pc,duration_measured_word,duration_measured_img,key_t,duration_frames,word_label,offset_img,gender,session,rt,img_trigger,response,correct_resp,onset_img,onset_word
11,image_stim_p.png,336,6.81,24,180,Monday,faceWord_exp,2.669288582634181,1.668887579930015,1,2019102102,cheese,31,-1.5755240884938977,0.6895966426236555,0.6817129295086488,5.4196403422392905,42,pos,5.3690867339028046,female,6,0.7322665378451347,21,b,1,4.687373804394156,0.9792909373063594
12,image_stim_n.png,336,2.29,24,180,Monday,faceWord_exp,12.669771069078706,11.669356271973811,2,2019102102,guilt,32,4.2219398121868315,0.6955417483113706,0.6856177333975211,15.203306764480658,42,neg,15.369573390809819,female,6,0.5193511070683599,22,y,1,14.683955657412298,10.97381452366244
11,image_stim_p.png,336,7.0,24,180,Monday,faceWord_exp,22.670280502992682,21.66991318447981,3,2019102102,pumpkin,31,-1.1380831950062478,0.6954134274274111,0.6836515369359404,25.170385084464215,42,pos,25.370010323356837,female,6,0.4840262980433181,21,b,1,24.686358786420897,20.9744997570524
12,image_stim_n.png,180,4.32,24,336,Monday,faceWord_exp,32.670630818931386,31.6703687235713,4,2019102102,crow,32,0.8985553834191027,0.6968563954578713,0.6857585655525327,37.78761870472226,42,neg,37.97060425649397,female,6,0.5027730137808248,22,y,1,37.28484569094144,30.97351232811343
13,image_stim_n.png,336,5.49,24,180,Monday,faceWord_exp,42.671234568580985,41.67084607714787,5,2019102102,table,42,0.1576901893660491,0.6960441244300455,0.6855445905821398,45.27127223077696,42,neu,45.37092525116168,female,6,0.5858915701974183,22,y,1,44.68538066057954,40.974801952717826
11,image_stim_p.png,336,6.21,24,180,Monday,faceWord_exp,52.67156563641038,51.67130610742606,6,2019102102,handshake,31,-1.283661754694624,0.697206711396575,0.685249131754972,55.305074512725696,42,pos,55.37137309089303,female,6,0.6189505535876378,21,b,1,54.68612395913806,50.97409939602949
11,image_stim_p.png,180,6.37,24,336,Monday,faceWord_exp,62.67213249381166,61.67171031818725,7,2019102102,parade,31,-2.3709211732995845,0.6974364058114588,0.6847939135041088,67.78899205883499,42,pos,67.97197889373638,female,6,0.5018070786027238,21,b,1,67.28718498023227,60.97427391237579
12,image_stim_n.png,336,4.55,24,180,Monday,faceWord_exp,72.67264289001469,71.67211773688905,8,2019102102,law,32,0.7240429444440241,0.697497358196415,0.6854528411058709,75.4062542305328,42,neg,75.37230726680718,female,6,0.7193998048314825,22,y,1,74.68685442570131,70.97462037869263
12,image_stim_n.png,180,2.79,24,336,Monday,faceWord_exp,82.67297780746594,81.67257808800787,9,2019102102,gunshot,32,3.2726955917764444,0.6972272427519783,0.684682915918529,87.80659351090435,42,neg,87.97284056828357,female,6,0.5184358585393056,22,y,1,87.28815765236504,80.97535084525589
12,image_stim_n.png,336,3.19,24,180,Monday,faceWord_exp,92.67350263986737,91.67304549680557,10,2019102102,old,32,1.5556418242275696,0.6978739799233153,0.6849543146090582,95.32361206540372,42,neg,95.37321994896047,female,6,0.6353464310523123,22,y,1,94.68826563435141,90.97517151688226
13,image_stim_p.png,180,5.42,24,336,Monday,faceWord_exp,102.67390203848481,101.67351803835481,11,2019102102,scooter,41,-0.9209473384247756,0.6973035937407985,0.6848888709209859,107.79087580915075,42,neu,107.97383184696082,female,6,0.5019328331109136,21,b,1,107.28894297603983,100.97621444461402
13,image_stim_n.png,180,5.64,24,336,Monday,faceWord_exp,112.6743765049614,111.67397710622754,12,2019102102,big,42,0.6345811289687322,0.6976952931145206,0.6857312973588705,118.0581242183689,42,neu,117.97423669928685,female,6,0.769618816440925,22,y,1,117.28850540192798,110.97628181311302
12,image_stim_n.png,180,3.38,24,336,Monday,faceWord_exp,122.6748323647771,121.67441949236672,13,2019102102,woe,32,4.673386290788297,0.6976253582397476,0.6852176932152361,127.77513244317379,42,neg,127.97472688509151,female,6,0.48562325129751116,22,y,1,127.28950919187628,120.97679413412698
12,image_stim_n.png,180,2.53,24,336,Monday,faceWord_exp,132.6752968863584,131.67487406905275,14,2019102102,lost,32,3.7741942061665816,0.6976577593013644,0.6858063651015982,137.90897046239115,42,neg,137.97523150686175,female,6,0.6195453206310049,22,y,1,137.28942514176015,130.97721630975138
13,image_stim_n.png,336,5.33,24,180,Monday,faceWord_exp,142.67580022488255,141.67542071593925,15,2019102102,prairie,42,-1.1818642926883074,0.6973991927225143,0.6847185249207541,145.39271605864633,42,neu,145.37552940368187,female,6,0.7019051798852161,22,y,1,144.6908108787611,140.97802152321674
13,image_stim_n.png,180,5.65,24,336,Monday,faceWord_exp,152.67615759850014,151.6758230018895,16,2019102102,comb,42,-0.15774590184623308,0.6975178895518184,0.6855542146367952,158.09340571903158,42,neu,157.97608933178708,female,6,0.8028706018812954,22,y,1,157.29053511715028,150.9783051123377
13,image_stim_n.png,180,5.1,24,336,Monday,faceWord_exp,162.6766320648603,161.67627789929975,17,2019102102,role,42,0.07641955756997082,0.6976895186817273,0.6853822646662593,167.9771624150453,42,neu,167.9765689310152,female,6,0.6859757486963645,22,y,1,167.29118666634895,160.97858838061802
11,image_stim_p.png,336,7.18,24,180,Monday,faceWord_exp,172.6769923256943,171.6767417791998,18,2019102102,party,31,-2.3202480308548075,0.6966469116741791,0.6854313474614173,175.110726790037,42,pos,175.37695440696552,female,6,0.4192037305328995,21,b,1,174.6915230595041,170.98009486752562
