offset_word,ID,word_label,img_trigger,gender,offset_img,delay_frames_after,img,session,word_score_pc,onset_img,rt,condition,pause_trigger_t,age,word,duration_frames,scan day,word_score_warriner,key_t,duration_measured_img,word_trigger,duration_measured_word,onset_word,no,response,delay_frames_before,pause_trigger,correct_resp
1.6828822999959812,74,neg,22,male,8.032471199985594,180,image_stim_n.png,5,4.006417686109669,7.346161400026176,0.48793969996040687,faceWord_exp,2.6838122000335716,23,dread,42,Monday,3.0,7.834101099986583,0.6863097999594174,12,0.6853344999835826,0.9975478000123985,1,y,336,32,1
11.732056199980434,74,neg,22,male,15.481573200027924,336,image_stim_n.png,5,0.1828236131989572,14.793679199996404,0.5729058000142686,faceWord_exp,12.733069200010505,23,cab,42,Monday,4.81,15.366585000010673,0.6878940000315197,12,0.6914916999521665,11.040564500028268,2,y,180,32,1
21.78063980001025,74,neg,22,male,25.513153499981854,336,image_stim_n.png,5,2.9843905620469613,24.826496099994984,0.722775400034152,faceWord_exp,22.78182289999677,23,mosquito,42,Monday,3.12,25.549271500029135,0.6866573999868706,12,0.6813634000136517,21.099276399996597,3,y,180,32,1
31.81277700001374,74,neg,22,male,35.561968700028956,336,image_stim_n.png,5,3.693241029119933,34.88323470001342,0.34764069999800995,faceWord_exp,32.813241600000765,23,jealousy,42,Monday,2.58,35.23087540001143,0.6787340000155382,12,0.6887246000114828,31.124052400002256,4,y,180,32,1
41.86138000001665,74,neu,21,male,45.57768320001196,336,image_stim_p.png,5,0.16108323717668446,44.8953346000053,0.5172478000167757,faceWord_exp,42.86234579997836,23,desk,42,Monday,5.56,45.412582400022075,0.6823486000066623,13,0.6909984000376426,41.17038159997901,5,b,180,41,1
51.87644020002335,74,pos,21,male,55.57597469998291,336,image_stim_p.png,5,-1.7441234463665167,54.89874570001848,0.6286485000164248,faceWord_exp,52.87790710001718,23,cherry,42,Monday,7.05,55.527394200034905,0.6772289999644272,11,0.6909533000434749,51.18548689997988,6,b,180,31,1
61.87513050000416,74,pos,21,male,65.60807509999722,336,image_stim_p.png,5,-1.2397352233188434,64.92354970000451,0.4862066999776289,faceWord_exp,62.876063900010195,23,wit,42,Monday,7.25,65.40975639998214,0.6845253999927081,11,0.6990195999969728,61.17611090000719,7,b,180,31,1
71.9073104999843,74,neu,22,male,75.62336179998238,336,image_stim_n.png,5,-1.4097678477610591,74.93760800000746,0.5518607000121847,faceWord_exp,72.90782309998758,23,mandolin,42,Monday,5.7,75.48946870001964,0.6857537999749184,13,0.6893576000002213,71.21795289998408,8,y,180,42,1
81.92306450003525,74,neu,21,male,88.23887810000451,180,image_stim_p.png,5,-0.41434578466507305,87.5554153000121,0.41899049998028204,faceWord_exp,82.92403360002209,23,engineer,42,Monday,5.79,87.97440579999238,0.6834627999924123,13,0.6894491000566632,81.23361539997859,9,b,336,41,1
91.93638460000511,74,neu,22,male,95.65414040000178,336,image_stim_n.png,5,0.002541127499528235,94.97200240002712,0.5836888999911025,faceWord_exp,92.93860090000089,23,umbrella,42,Monday,5.84,95.55569130001822,0.6821379999746569,13,0.6947729000239633,91.24161169998115,10,y,180,42,1
