delay_frames_before,scan day,offset_word,onset_img,no,duration_measured_img,duration_frames,ID,word_score_pc,pause_trigger,word,pause_trigger_t,delay_frames_after,key_t,img,word_score_warriner,rt,response,correct_resp,word_trigger,img_trigger,offset_img,word_label,session,onset_word,duration_measured_word,age,condition,gender
180,Monday,101.67660447605886,104.6911563827889,11,0.6856215830193833,42,2019102102,-2.40140153221556,31,love,102.67695639596786,336,105.36055756709538,image_stim_p.png,8.0,0.66940118430648,b,1,11,21,105.37677796580829,pos,1,100.98028221610002,0.6963222599588335,24,faceWord_exp,female
336,Monday,111.67705135338474,117.29160050128121,12,0.6858275380218402,42,2019102102,-1.8465637543339983,31,wealthy,112.67734937858768,180,117.76107777981088,image_stim_p.png,6.37,0.46947727852966636,b,1,11,21,117.97742803930305,pos,1,110.98087313375436,0.696178219630383,24,faceWord_exp,female
180,Monday,121.67752646142617,124.69250760145951,13,0.6851824049372226,42,2019102102,-1.5151286486205269,31,lake,122.67791623598896,336,125.29472190630622,image_stim_p.png,7.13,0.6022143048467115,b,1,11,21,125.37769000639673,pos,1,120.98068835167214,0.6968381097540259,24,faceWord_exp,female
180,Monday,131.6780471233651,134.69195485929959,14,0.6861701548332348,42,2019102102,-0.8455595735963974,42,whale,132.6784208578756,336,135.27847167290747,image_stim_n.png,5.81,0.5865168136078864,y,1,13,22,135.37812501413282,neu,1,130.98051704326645,0.6975300800986588,24,faceWord_exp,female
336,Monday,141.67841989547014,147.29300336912274,15,0.6857098035980016,42,2019102102,0.1935892361901769,41,bridge,142.67874037683941,180,147.8791037814226,image_stim_p.png,5.44,0.5861004122998565,b,1,13,21,147.97871317272075,neu,1,140.9818101967685,0.6966096987016499,24,faceWord_exp,female
180,Monday,151.67889468267094,154.69343311572447,16,0.6856276782928035,42,2019102102,0.13451130194660302,32,diplomat,152.67929761018604,336,155.34611280821264,image_stim_n.png,4.65,0.6526796924881637,y,1,12,22,155.37906079401728,neg,1,150.9816286227433,0.6972660599276423,24,faceWord_exp,female
180,Monday,161.67939705878962,164.69377252436243,17,0.6857389967190102,42,2019102102,-0.31568469709749714,42,tourist,162.67985323944595,336,165.29652577685192,image_stim_n.png,5.71,0.6027532524894923,y,1,13,22,165.37951152108144,neu,1,160.98199818690773,0.6973988718818873,24,faceWord_exp,female
180,Monday,171.67978747503366,174.694695151411,18,0.6852523396955803,42,2019102102,-2.8785481086132907,31,kiss,172.68005983612966,336,175.39719285280444,image_stim_p.png,7.78,0.7024977013934404,b,1,11,21,175.37994749110658,pos,1,170.9822529037483,0.6975345712853596,24,faceWord_exp,female
336,Monday,181.68021221715026,187.29509852803312,19,0.6854201193200424,42,2019102102,3.6605330306018913,32,tornado,182.6806321471231,180,187.83104344760068,image_stim_n.png,3.63,0.5359449195675552,y,1,12,22,187.98051864735316,neg,1,180.98311329516582,0.6970989219844341,24,faceWord_exp,female
336,Monday,191.68068090907764,197.29545461840462,20,0.6855384953087196,42,2019102102,-1.3575770021145472,41,tomato,192.68111655837856,180,197.8146491739899,image_stim_p.png,5.8,0.5191945555852726,b,1,13,21,197.98099311371334,neu,1,190.98322365118656,0.6974572578910738,24,faceWord_exp,female
180,Monday,201.68113003205508,204.69606786384247,21,0.685247206944041,42,2019102102,4.314775126713813,32,deceit,202.68149863381404,336,205.21496214857325,image_stim_n.png,2.89,0.5188942847307771,y,1,12,22,205.3813150707865,neg,1,200.9837548994692,0.6973751325858757,24,faceWord_exp,female
180,Monday,211.6815830047708,214.6962661196012,22,0.6856090717483312,42,2019102102,0.7573178762670367,32,meeting,212.68198817782104,336,215.36569360957947,image_stim_n.png,4.55,0.6694274899782613,y,1,12,22,215.38187519134954,neg,1,210.98424540599808,0.6973375987727195,24,faceWord_exp,female
336,Monday,221.68205618788488,227.2967426390387,23,0.6856084301834926,42,2019102102,-1.2313279950095668,31,new,222.6824652106734,180,227.98287205200177,image_stim_p.png,7.68,0.6861294129630551,b,1,11,21,227.9823510692222,pos,1,220.98428326065186,0.697772927233018,24,faceWord_exp,female
180,Monday,231.68252295500133,234.69658980891109,24,0.686090916628018,42,2019102102,-1.0601571884744718,41,fiddle,232.68294320593122,336,235.2664091909537,image_stim_p.png,5.05,0.5698193820426241,b,1,13,21,235.3826807255391,neu,1,230.98498228855897,0.6975406664423645,24,faceWord_exp,female
180,Monday,241.6829518675804,244.69851430109702,25,0.6846238883445039,42,2019102102,-2.146343780688921,31,lemonade,242.68324668472633,336,245.36688635207247,image_stim_p.png,7.05,0.6683720509754494,b,1,11,21,245.38313818944152,pos,1,240.9854339780286,0.6975178895518184,24,faceWord_exp,female
336,Monday,251.6833942537196,257.29957147256937,26,0.6841231160797179,42,2019102102,-1.0543324261381863,31,oak,252.6837458529044,180,257.717406019452,image_stim_p.png,6.47,0.4178345468826592,b,1,11,21,257.9836945886491,pos,1,250.98574740171898,0.6976468520006165,24,faceWord_exp,female
180,Monday,261.6838722489774,264.69885338901076,27,0.6852577934041619,42,2019102102,-0.277657621999038,42,man,262.684211978456,336,265.38470338319894,image_stim_n.png,5.42,0.6858499941881746,y,1,13,22,265.3841111824149,neu,1,260.9863700787537,0.6975021702237427,24,faceWord_exp,female
336,Monday,271.68434479052667,277.29857602342963,28,0.686020981753245,42,2019102102,3.2148840110758776,32,avalanche,272.68471692106687,180,277.8684037462808,image_stim_n.png,4.0,0.569827722851187,y,1,12,22,277.9845970051829,neg,1,270.98706589860376,0.697278891922906,24,faceWord_exp,female
336,Monday,281.68478140223306,287.30014250043314,29,0.6849215927068144,42,2019102102,-0.3369766028281135,42,corkscrew,282.68514455028344,180,287.7854167188052,image_stim_n.png,5.26,0.4852742183720693,b,0,13,22,287.98506409313995,neu,1,280.9878021395998,0.6969792626332492,24,faceWord_exp,female
336,Monday,291.6852228260832,297.3007189818891,30,0.6848198984516785,42,2019102102,-1.0613549170130714,31,boat,292.68561516702175,180,298.0027066079201,image_stim_p.png,6.36,0.7019876260310411,b,1,11,21,297.98553888034075,pos,1,290.98763564322144,0.6975871828617528,24,faceWord_exp,female
336,Monday,301.68569536763243,307.2999930065125,31,0.685963878990151,42,2019102102,-1.7483058493195842,31,woman,302.6861098440131,180,307.8362343473127,image_stim_p.png,7.09,0.5362413408001885,b,1,11,21,307.9859568855027,pos,1,300.98824709211476,0.6974482755176723,24,faceWord_exp,female
336,Monday,311.6861156184459,317.30076389410533,32,0.6856735530309379,42,2019102102,0.3759356543037889,41,fence,312.6865005809814,180,317.73676097614225,image_stim_p.png,5.05,0.4359970820369199,y,0,13,21,317.98643744713627,neu,1,310.9886830622563,0.6974325561895967,24,faceWord_exp,female
180,Monday,321.68657051585615,324.7017447788967,33,0.6849985852604732,42,2019102102,-3.1501939707833047,31,happy,322.68699237075634,336,325.2871034966083,image_stim_p.png,8.47,0.5853587177116424,b,1,11,21,325.38674336415716,pos,1,320.9892005161382,0.697369999717921,24,faceWord_exp,female
336,Monday,331.68706743849907,337.30254434619565,34,0.6848378633148968,42,2019102102,-2.1296901000704778,31,zoo,332.6873914486496,180,337.8543436292093,image_stim_p.png,7.0,0.5517992830136791,b,1,11,21,337.98738220951054,pos,1,330.9911092889961,0.6959581495029852,24,faceWord_exp,female
336,Monday,341.68753356393427,347.30216515797656,35,0.6856231871061027,42,2019102102,-2.8031613090757777,31,beach,342.68796536372975,180,347.75482342089526,image_stim_p.png,7.21,0.45265826291870326,b,1,11,21,347.98778834508266,pos,1,340.9902270830935,0.6973064808407798,24,faceWord_exp,female
336,Monday,351.68798044137657,357.30248435609974,36,0.685836520511657,42,2019102102,1.5906822936049958,32,mouse,352.68844015093055,180,357.82201928284485,image_stim_n.png,4.8,0.5195349267451093,y,1,12,22,357.9883208766114,neg,1,350.99053986521903,0.6974405761575326,24,faceWord_exp,female
336,Monday,361.6884218651103,367.30406238196883,37,0.6846517981030047,42,2019102102,0.5814463879932942,32,sandpaper,362.68883024633396,180,367.93903924897313,image_stim_n.png,4.95,0.6349768670042977,y,1,12,22,367.98871418007184,neg,1,360.9913027327275,0.6971191323827952,24,faceWord_exp,female
180,Monday,371.68886104330886,374.70409369224217,38,0.6849289712263271,42,2019102102,-1.1443669013398097,31,moral,372.6892540259287,336,375.3393631307408,image_stim_p.png,6.85,0.6352694384986535,b,1,11,21,375.3890226634685,pos,1,370.9914878355339,0.6973732077749446,24,faceWord_exp,female
180,Monday,381.68930952472147,384.7046066549374,39,0.6848956077592447,42,2019102102,-0.9222259722889368,42,beer,382.6896588782547,336,385.3731994177215,image_stim_n.png,5.67,0.6685927627841011,y,1,13,22,385.3895022626966,neu,1,380.9917412692448,0.6975682554766536,24,faceWord_exp,female
180,Monday,391.68979008635506,394.7040048300987,40,0.6859491220675409,42,2019102102,0.2016963621838916,32,plot,392.6901631793007,336,395.35693057777826,image_stim_n.png,4.9,0.6529257476795465,y,1,12,22,395.38995395216625,neg,1,390.99220322433393,0.6975868620211259,24,faceWord_exp,female
336,Monday,401.6902449838817,407.30565548548475,41,0.6848712267819792,42,2019102102,-1.4783411251765788,31,limousine,402.69061230227817,180,407.8076107746456,image_stim_p.png,6.14,0.5019552891608328,b,1,11,21,407.9905267122667,pos,1,400.9932018815307,0.6970431023510173,24,faceWord_exp,female
336,Monday,411.6907008436974,417.3061225734418,42,0.6848927205428481,42,2019102102,0.26215401176465297,42,school,412.691081956611,180,417.8913231357001,image_stim_n.png,5.41,0.585200562258251,y,1,13,22,417.9910152939847,neu,1,410.9934014204191,0.6972994232783094,24,faceWord_exp,female
180,Monday,421.6911547787022,424.7063919189386,43,0.6849392368458211,42,2019102102,-0.8050043475134195,42,famous,422.69152787164785,336,425.3749987970805,image_stim_n.png,5.89,0.6686068781418726,y,1,13,22,425.3913311557844,neu,1,420.99399971647654,0.6971550622256473,24,faceWord_exp,female
180,Monday,431.69159106968436,434.7065311470069,44,0.6852022947277874,42,2019102102,-0.7213913907893977,42,treaty,432.6919532553293,336,435.3089122689562,image_stim_n.png,5.42,0.6023811219492927,y,1,13,22,435.3917334417347,neu,1,430.9942932504928,0.69729781919159,24,faceWord_exp,female
336,Monday,441.69204789202195,447.307306333445,45,0.6850236078025773,42,2019102102,-0.9990759838186469,42,field,442.6925011854619,180,447.8093623544555,image_stim_n.png,5.73,0.5020560210105032,b,0,13,22,447.9923299412476,neu,1,440.99473242857493,0.697315463447012,24,faceWord_exp,female
336,Monday,451.69249958137516,457.30777470453177,46,0.6850239286432043,42,2019102102,-0.17528733847197087,42,rocket,452.692863691831,180,457.92649492202327,image_stim_n.png,5.8,0.6187202174915001,y,1,13,22,457.99279863317497,neu,1,450.9949415916344,0.6975579897407442,24,faceWord_exp,female
180,Monday,461.6929589700885,464.70803410513327,47,0.6851147157140076,42,2019102102,0.11872473318936595,42,noun,462.6933323837584,336,465.37687548971735,image_stim_n.png,5.22,0.6688413845840842,y,1,13,22,465.3931488208473,neu,1,460.99537435371894,0.6975846163695678,24,faceWord_exp,female
180,Monday,471.6935126746539,474.7086089826189,48,0.6849892820464447,42,2019102102,-0.05916451699915906,41,embassy,472.69386331143323,336,475.47756694664713,image_stim_p.png,5.3,0.7689579640282318,b,1,13,21,475.39359826466534,neu,1,470.99616577266715,0.697346901986748,24,faceWord_exp,female
336,Monday,481.69402788288426,487.30901877535507,49,0.6851548159029335,42,2019102102,3.3697994362845387,32,envy,482.69442375272047,180,487.96129297395237,image_stim_n.png,3.05,0.6522741985972971,y,1,12,22,487.994173591258,neg,1,480.9962716373848,0.6977562454994768,24,faceWord_exp,female
336,Monday,491.6943891061237,497.30978035961743,50,0.6848275976954028,42,2019102102,0.397042668763988,32,policeman,492.6946627503494,180,497.9284585521091,image_stim_n.png,4.21,0.6186781924916431,y,1,12,22,497.99460795731284,neg,1,490.9970149359433,0.6973741701804101,24,faceWord_exp,female
180,Monday,501.6948019785341,504.7103470887523,51,0.6846136226085946,42,2019102102,3.457530661450998,32,victim,502.69528350257315,336,505.27867955272086,image_stim_n.png,2.05,0.5683324639685452,y,1,12,22,505.3949607113609,neg,1,500.9974165802123,0.697385398321785,24,faceWord_exp,female
336,Monday,511.6952655375935,517.3101999688661,52,0.6853155378485098,42,2019102102,2.166851165767892,32,aggressive,512.6956120039104,180,517.8292453514878,image_stim_n.png,3.08,0.5190453826216981,y,1,12,22,517.9955155067146,neg,1,510.9982808212517,0.6969847163418308,24,faceWord_exp,female
180,Monday,521.6956825804664,524.7107891541673,53,0.6850810314062983,42,2019102102,-1.6708771386143015,31,pineapple,522.6961467812071,336,525.2463183141081,image_stim_p.png,6.9,0.5355291599407792,b,1,11,21,525.3958701855736,pos,1,520.9984527712222,0.6972298092441633,24,faceWord_exp,female
336,Monday,531.6961984302616,537.311054906575,54,0.6853793774498627,42,2019102102,-0.08455950357770388,41,keyboard,532.6966404956765,180,537.9468280045548,image_stim_p.png,5.17,0.6357730979798362,b,1,13,21,537.9964342840249,neu,1,530.999053954496,0.6971444757655263,24,faceWord_exp,female
180,Monday,541.6966388917062,544.7116357510677,55,0.6851609110599384,42,2019102102,-2.2727319315779937,31,pie,542.6970267414581,336,545.4305739215342,image_stim_p.png,6.45,0.718938170466572,b,1,11,21,545.3967966621276,pos,1,540.9989314080449,0.697707483661361,24,faceWord_exp,female
336,Monday,551.6970809570048,557.3122377041727,56,0.6850941843586043,42,2019102102,2.3815246085651838,32,bribe,552.6974951126613,180,557.9644602535991,image_stim_n.png,3.32,0.6522225494263694,y,1,12,22,557.9973318885313,neg,1,550.9995900149224,0.6974909420823678,24,faceWord_exp,female
180,Monday,561.6975406665588,564.7126892652595,57,0.6849828660488129,42,2019102102,2.561630339716405,32,hospital,562.6979349324247,336,565.3313883099472,image_stim_n.png,3.52,0.6186990446876734,y,1,12,22,565.3976721313084,neg,1,561.0002669075038,0.6972737590549514,24,faceWord_exp,female
336,Monday,571.6979737494839,577.3134625268867,58,0.684831126476638,42,2019102102,-0.5907285556577869,41,truck,572.6983462007483,180,578.1153967072023,image_stim_p.png,5.16,0.8019341803155839,b,1,13,21,577.9982936533634,neu,1,571.0007481107023,0.6972256387816742,24,faceWord_exp,female
336,Monday,581.6984530278714,587.313851339044,59,0.6849103646818548,42,2019102102,-1.9273821271493088,31,sled,582.6987991734641,180,587.8491450302536,image_stim_p.png,6.35,0.5352936912095174,b,1,11,21,587.9987617037259,pos,1,581.0008427472785,0.6976102805929258,24,faceWord_exp,female
336,Monday,591.6989582913229,597.314202296664,60,0.6850370814790949,42,2019102102,-0.18281188470513854,42,spatula,592.6993843165692,180,597.9161708670435,image_stim_n.png,5.14,0.6019685703795403,y,1,13,22,597.9992393781431,neu,1,591.0017326525412,0.6972256387816742,24,faceWord_exp,female
