offset_img,duration_measured_img,gender,session,no,onset_word,img_trigger,pause_trigger_t,word,scan day,word_trigger,response,word_label,delay_frames_before,word_score_warriner,key_t,correct_resp,ID,rt,onset_img,pause_trigger,condition,delay_frames_after,offset_word,word_score_pc,age,duration_measured_word,duration_frames,img
7.972867515753023,0.6813128892099485,female,5,1,0.9840869297040626,22,2.6729361033067107,hairbrush,Monday,13,y,neu,336,5.95,7.9733256213366985,1,2019102102,0.6817709947936237,7.291554626543075,42,faceWord_exp,180,1.6725922033656389,-0.4963231956276321,24,0.6885052736615762,42,image_stim_n.png
15.373262936598621,0.685665212222375,female,5,2,10.977310304879211,22,12.673380093532614,vice,Monday,12,y,neg,180,3.81,15.340305968304165,1,2019102102,0.6527082439279184,14.687597724376246,32,faceWord_exp,336,11.673073406680487,2.1399531488678094,24,0.6957631018012762,42,image_stim_n.png
27.973857511300594,0.6840945647563785,female,5,3,20.9775695130229,21,22.67379874025937,stapler,Monday,13,b,neu,336,5.25,27.874210906913504,1,2019102102,0.5844479603692889,27.289762946544215,41,faceWord_exp,180,21.673487562220544,0.19443075193465506,24,0.695918049197644,42,image_stim_p.png
37.974238624214195,0.6848173320759088,female,5,4,30.97656732716132,21,32.67441275564488,bed,Monday,11,b,pos,336,7.16,37.791290927212685,1,2019102102,0.5018696350743994,37.289421292138286,31,faceWord_exp,180,31.673970369505696,-1.962809513975644,24,0.6974030423443764,42,image_stim_p.png
47.97471469466109,0.6856324903201312,female,5,5,40.97711974848062,21,42.67479418939911,theater,Monday,11,b,pos,336,6.14,47.84173610433936,1,2019102102,0.5526538999984041,47.28908220434096,31,faceWord_exp,180,41.67440633964725,-1.8816288507581482,24,0.6972865911666304,42,image_stim_p.png
57.97529406333342,0.6855930316960439,female,5,6,50.979008310707286,21,52.675211873836815,tangerine,Monday,11,b,pos,336,6.81,58.009388596052304,1,2019102102,0.7196875644149259,57.28970103163738,31,faceWord_exp,180,51.674895242089406,-1.178487968131687,24,0.6958869313821197,42,image_stim_p.png
67.9756527201971,0.6855635178508237,female,5,7,60.97880203498062,21,62.67572034522891,mushroom,Monday,13,b,neu,336,5.61,67.87603498797398,1,2019102102,0.5859457856277004,67.29008920234628,41,faceWord_exp,180,61.67532190901693,0.08756588783899029,24,0.6965198740363121,42,image_stim_p.png
77.97608163265977,0.6850534424884245,female,5,8,70.98000215587672,21,72.67615920258686,friendly,Monday,11,b,pos,336,7.84,77.72647990856785,1,2019102102,0.4354517183965072,77.29102819017135,31,faceWord_exp,180,71.6757832224248,-2.9544920916265727,24,0.6957810665480793,42,image_stim_p.png
87.9765349260997,0.685730334953405,female,5,9,80.97863970906474,22,82.67659485188778,dead,Monday,12,y,neg,336,2.02,87.72686487110332,1,2019102102,0.4360602799570188,87.2908045911463,32,faceWord_exp,180,81.67625897203106,4.0294120701769724,24,0.6976192629663274,42,image_stim_n.png
95.37687260250095,0.6857935331063345,female,5,10,90.97913374437485,21,92.67713059158996,clue,Monday,13,b,neu,180,5.38,95.32733850344084,1,2019102102,0.6362594340462238,94.69107906939462,41,faceWord_exp,336,91.67678989970591,0.07992973296861662,24,0.6976561553310603,42,image_stim_p.png
107.97743926732801,0.6857348261401057,female,5,11,100.97995724354405,22,102.67750111804344,curse,Monday,12,y,neg,336,2.9,107.96122656785883,1,2019102102,0.6695221266709268,107.2917044411879,32,faceWord_exp,180,101.67711551382672,3.659937177091274,24,0.6971582702826709,42,image_stim_n.png
115.37780677829869,0.6858143850695342,female,5,12,110.97994890261907,21,112.67801825108472,drum,Monday,11,b,pos,180,6.05,115.34503459208645,1,2019102102,0.6530421988572925,114.69199239322916,31,faceWord_exp,336,111.67761756922118,-1.4373817092238501,24,0.6976686666021124,42,image_stim_p.png
125.37825975101441,0.6856106758350506,female,5,13,120.98238090379164,22,122.6785029831808,mosquito,Monday,12,y,neg,180,3.12,125.37881377630401,1,2019102102,0.6861647011246532,124.69264907517936,32,faceWord_exp,336,121.67807888274547,2.9843905620469613,24,0.6956979789538309,42,image_stim_n.png
135.37872972618788,0.6857867961516604,female,5,14,130.9810495749116,22,132.67892227158882,dread,Monday,12,y,neg,180,3.0,135.34582889825106,1,2019102102,0.6528859682148322,134.69294293003622,32,faceWord_exp,336,131.67853025137447,4.006417686109669,24,0.6974806764628738,42,image_stim_n.png
147.97930376953445,0.6862253326689824,female,5,15,140.98178228701,21,142.67937139468268,morning,Monday,11,b,pos,336,6.41,147.86299983388744,1,2019102102,0.5699213970219716,147.29307843686547,31,faceWord_exp,180,141.6790140210651,-1.211925852261804,24,0.6972317340550944,42,image_stim_p.png
157.97974487254396,0.6859119090950117,female,5,16,150.9825913500972,21,152.67980800638907,awe,Monday,11,b,pos,336,6.85,157.7967968545854,1,2019102102,0.50296389113646,157.29383296344895,31,faceWord_exp,180,151.6794625024777,-2.1428059827362134,24,0.6968711523804814,42,image_stim_p.png
