session,condition,scan day,correct_resp,rt,img_trigger,word_label,gender,delay_frames_before,duration_measured_word,age,ID,delay_frames_after,pause_trigger,no,onset_img,img,word_trigger,offset_word,offset_img,duration_measured_img,onset_word,key_t,word_score_pc,pause_trigger_t,word,response,word_score_warriner,duration_frames
1,faceWord_exp,Wednesday,1,0.615200696978718,22,neu,female,180,0.6893926123157144,23,2019102308,336,42,1,4.701364628272131,image_stim_n.png,13,1.682672769529745,5.382832785602659,0.6814681573305279,0.9932801572140306,5.316565325250849,-0.5907285556577869,2.683086283504963,truck,y,5.16,42
1,faceWord_exp,Wednesday,1,0.6360326269641519,21,neu,female,180,0.6955901891924441,23,2019102308,336,41,2,14.697734751738608,image_stim_p.png,13,11.683183165732771,15.383472144370899,0.6857373926322907,10.987592976540327,15.33376737870276,-0.18281188470513854,12.683545351494104,spatula,b,5.14,42
1,faceWord_exp,Wednesday,1,0.5677332053892314,21,neu,female,180,0.696260986616835,23,2019102308,336,41,3,24.699733670102432,image_stim_p.png,13,21.683574544498697,25.383783001685515,0.6840493315830827,20.987313557881862,25.267466875491664,0.3759356543037889,22.684096810407937,fence,b,5.05,42
1,faceWord_exp,Wednesday,1,0.4028309506829828,22,neg,female,336,0.6954140688758343,23,2019102308,180,32,4,37.29862414370291,image_stim_n.png,12,31.684070504503325,37.984370197867975,0.6857460541650653,30.98865643562749,37.70145509438589,2.166851165767892,32.684469582512975,aggressive,y,3.08,42
1,faceWord_exp,Wednesday,1,0.6197147041093558,22,neu,female,336,0.6964448064099997,23,2019102308,180,42,5,47.298911582445726,image_stim_n.png,13,41.68453534692526,47.98481835867278,0.685906776227057,40.98809054051526,47.91862628655508,-0.8050043475134195,42.684910364681855,famous,y,5.89,42
1,faceWord_exp,Wednesday,1,0.6354330477770418,22,neg,female,180,0.6966635934077203,23,2019102308,336,32,6,54.70013627666049,image_stim_n.png,12,51.684963297098875,55.385244897101074,0.6851086204405874,50.988299703691155,55.33556932443753,2.3815246085651838,52.685333823552355,bribe,y,3.32,42
1,faceWord_exp,Wednesday,1,0.4684718844946474,21,pos,female,336,0.6966077736578882,23,2019102308,180,31,7,67.30106288171373,image_stim_p.png,11,61.68541787355207,67.9857477224432,0.6846848407294601,60.98881009989418,67.76953476620838,-2.8031613090757777,62.68582080118358,beach,b,7.21,42
1,faceWord_exp,Wednesday,1,0.6345662402454764,22,neg,female,180,0.6974508420098573,23,2019102308,336,32,8,74.70182594168,image_stim_n.png,12,71.68587982887402,75.38601674721576,0.6841908055357635,70.98842898686416,75.33639218192548,1.5906822936049958,72.6865657037124,mouse,y,4.8,42
1,faceWord_exp,Wednesday,1,0.5020669281948358,22,neg,female,336,0.697412024717778,23,2019102308,180,32,9,87.30157167394646,image_stim_n.png,12,81.68634627503343,87.98661741707474,0.6850457431282848,80.98893425031565,87.80363860214129,4.314775126713813,82.68671295209788,deceit,y,2.89,42
1,faceWord_exp,Wednesday,1,0.48535538162104785,22,neu,female,180,0.697417157702148,23,2019102308,336,42,10,94.70192250306718,image_stim_n.png,13,91.68679315247573,95.38700096821412,0.6850784651469439,90.98937599477358,95.18727788468823,-1.3575770021145472,92.6871222956106,tomato,y,5.8,42
