onset_word,duration_measured_word,condition,response,img,scan day,delay_frames_before,gender,offset_img,ID,word_label,word_score_pc,pause_trigger,duration_frames,onset_img,pause_trigger_t,img_trigger,rt,duration_measured_img,word_trigger,correct_resp,no,word,key_t,offset_word,delay_frames_after,session,word_score_warriner,age
0.9862055071862414,0.690854828688316,faceWord_exp,b,image_stim_p.png,Monday,336,male,7.977368690888397,2019102101,pos,-1.87678309604286,31,42,7.294976302422583,2.677413218189031,21,0.5829007315915078,0.6823923884658143,11,1,1,read,7.877877034014091,1.6770603358745575,180,6,6.73,25
10.982252262183465,0.6953252067323774,faceWord_exp,b,image_stim_p.png,Monday,180,male,15.377753525157459,2019102101,pos,-1.8284590275958619,31,42,14.692727671703324,12.678086581989191,21,0.6687685624929145,0.6850258534541354,11,1,2,river,15.361496234196238,11.677577468915842,336,6,6.72,25
20.98373918014113,0.6943297577090561,faceWord_exp,y,image_stim_n.png,Monday,180,male,25.37822382117156,2019102101,neu,-0.1985745460766808,42,42,24.69378984766081,22.678483414230868,22,0.4515181321185082,0.6844339735107496,13,1,3,quantity,25.145307979779318,21.678068937850185,336,6,5.33,25
30.98183650255669,0.6967123553622514,faceWord_exp,b,image_stim_p.png,Monday,180,male,35.378753144759685,2019102101,neu,0.1576901893660491,41,42,34.69268308021128,32.6789909232175,21,0.619780789478682,0.686070064548403,13,1,4,table,35.312463869689964,31.67854885791894,336,6,5.49,25
40.98307704448234,0.6959453173913062,faceWord_exp,y,image_stim_n.png,Monday,336,male,47.97929607029073,2019102101,neg,1.346131993343653,32,42,47.293370687635615,42.67937075300142,22,0.3863474940881133,0.6859253826551139,12,1,5,protest,47.67971818172373,41.67902236187365,180,6,4.42,25
50.98256183625199,0.6969003453850746,faceWord_exp,b,image_stim_p.png,Monday,336,male,57.97976476221811,2019102101,pos,-1.313583728320736,31,42,57.29369726416189,52.679872808395885,21,0.5197694330709055,0.686067498056218,11,1,6,girl,57.8134666972328,51.679462181637064,180,6,7.15,25
60.982926588272676,0.6969943403964862,faceWord_exp,y,image_stim_n.png,Monday,336,male,67.98021965974476,2019102101,neg,0.5993691927879942,32,42,67.29441329464316,62.68035401159432,22,0.6195616815239191,0.6858063651015982,12,1,7,rake,67.91397497616708,61.67992092866916,180,6,4.75,25
70.98281751561444,0.6975714634172618,faceWord_exp,y,image_stim_n.png,Monday,336,male,77.98066749947611,2019102101,neg,3.1738538072533196,32,42,77.29487813694868,72.68075084395241,22,0.4362681597704068,0.6857893625274301,12,1,8,sin,77.73114629671909,71.6803889790317,180,6,3.08,25
80.98512408311944,0.6956832220312208,faceWord_exp,b,image_stim_p.png,Monday,336,male,87.98111148970202,2019102101,pos,-1.071197614358652,31,42,87.29564966610633,82.68131096451543,21,0.6692340463632718,0.6854618235956877,11,1,9,chipmunk,87.9648837124696,81.68080730515067,180,6,7.33,25
90.98392749100458,0.6973488267976791,faceWord_exp,b,image_stim_p.png,Monday,180,male,95.38148509594612,2019102101,pos,-1.5755240884938977,31,42,94.69640919729136,92.6816725084791,21,0.6188312150770798,0.6850758986547589,11,1,10,cheese,95.31524041236844,91.68127631780226,336,6,6.81,25
