word_score_warriner,duration_measured_word,key_t,duration_measured_img,age,scan day,img,word,delay_frames_after,word_trigger,no,gender,offset_img,rt,onset_img,response,pause_trigger_t,duration_frames,onset_word,delay_frames_before,ID,word_label,offset_word,word_score_pc,condition,session,pause_trigger,img_trigger,correct_resp
4.7,0.684972900000048,5.336322999999993,0.6837208000001738,24,Monday,image_stim_n.png,radish,336,12,1,female,5.485034900000301,0.5350088999998661,4.801314100000127,y,2.720712100000128,42,1.0366080000003421,180,gr1nr1,neg,1.72158090000039,0.33736940436804663,faceWord_exp,3,32,22,1
2.81,0.6889440999998442,18.075167200000124,0.6850607999999738,24,Monday,image_stim_n.png,malice,180,12,2,female,18.15773390000004,0.6024941000000581,17.472673100000065,y,12.779962000000069,42,11.091123600000174,336,gr1nr1,neg,11.780067700000018,3.6887696102955196,faceWord_exp,3,32,22,1
5.24,0.6877193999998781,25.304052599999977,0.6834723000001759,24,Monday,image_stim_n.png,toe,336,13,3,female,25.569097100000363,0.4184277999997903,24.885624800000187,y,22.854489600000306,42,21.167056700000103,180,gr1nr1,neu,21.85477609999998,0.6016604903777263,faceWord_exp,3,42,22,1
7.25,0.6885232999998152,37.97655180000038,0.6752002999996876,24,Monday,image_stim_p.png,family,180,11,4,female,38.22515629999998,0.42659580000008646,37.54995600000029,b,32.86386410000023,42,31.175182300000415,336,gr1nr1,pos,31.86370560000023,-1.6019047514101912,faceWord_exp,3,31,21,1
4.59,0.6918008999996346,45.48760170000014,0.6890386999998555,24,Monday,image_stim_n.png,volcano,336,12,5,female,45.65244100000018,0.5241993999998158,44.963402300000325,y,42.92121400000042,42,41.22958540000036,180,gr1nr1,neg,41.921386299999995,2.1987551193617842,faceWord_exp,3,32,22,1
7.0,0.6785311000003276,57.975335000000086,0.6830127999996876,24,Monday,image_stim_p.png,park,180,11,6,female,58.25782630000003,0.4005214999997406,57.574813500000346,b,52.94645700000001,42,51.269846400000006,336,gr1nr1,pos,51.94837750000033,-1.9950971558262764,faceWord_exp,3,31,21,1
3.4,0.6886153000000377,65.63716350000004,0.6854358999999022,24,Monday,image_stim_n.png,delirium,336,12,7,female,65.71921980000025,0.6033795999996983,65.03378390000034,y,62.95569890000024,42,61.26715110000032,180,gr1nr1,neg,61.95576640000036,3.4172209593162717,faceWord_exp,3,32,22,1
3.95,0.6933254999999008,78.30939090000038,0.682180199999948,24,Monday,image_stim_n.png,dusty,180,12,8,female,78.37493180000001,0.6166393000003154,77.69275160000007,y,73.01405110000042,42,71.31993920000014,336,gr1nr1,neg,72.01326470000004,1.8802224749820768,faceWord_exp,3,32,22,1
7.11,0.6910407999998824,85.56979080000019,0.6839276999999129,24,Monday,image_stim_p.png,couple,336,11,9,female,85.78536250000025,0.4683559999998579,85.10143480000033,b,83.07267750000028,42,81.38151300000027,180,gr1nr1,pos,82.07255380000015,-1.9002611819546853,faceWord_exp,3,31,21,1
4.57,0.6921207000000322,98.07676090000041,0.6901975999999195,24,Monday,image_stim_n.png,reporter,180,12,10,female,98.40887670000029,0.3580818000000363,97.71867910000037,y,93.08086690000027,42,91.38862980000022,336,gr1nr1,neg,92.08075050000025,0.7962654471128737,faceWord_exp,3,32,22,1
5.82,0.6909836999998333,108.6678665000004,0.6761365999996087,24,Monday,image_stim_n.png,spiritual,180,13,11,female,108.41704140000002,0.9269616999999926,107.74090480000041,y,103.1056666000004,42,101.4147595000004,336,gr1nr1,neu,102.10574320000023,-1.5026706526379858,faceWord_exp,3,42,22,1
5.7,0.6817845000000489,115.81167750000031,0.6839416999996502,24,Monday,image_stim_p.png,jungle,336,13,12,female,115.84427460000006,0.6513445999999021,115.16033290000041,b,113.13093620000018,42,111.4490678000002,180,gr1nr1,neu,112.13085230000024,0.07332602516344529,faceWord_exp,3,41,21,1
3.37,0.6902227999999013,128.11924080000017,0.6801060000002508,24,Monday,image_stim_n.png,tobacco,180,12,13,female,128.45089970000026,0.34844710000015766,127.77079370000001,y,123.1391921000004,42,121.44898490000014,336,gr1nr1,neg,122.13920770000004,2.411295736651624,faceWord_exp,3,32,22,1
3.0,0.6908438999998907,135.59473330000037,0.6883232999998654,24,Monday,image_stim_n.png,tax,336,12,14,female,135.8774125,0.4056441000002451,135.18908920000013,b,133.1497000000004,42,131.4566044000003,180,gr1nr1,neg,132.14744830000018,3.4211910580769755,faceWord_exp,3,32,22,0
7.3,0.6959976000002825,148.2176344000004,0.6821623000000727,24,Monday,image_stim_p.png,raspberry,180,11,15,female,148.50094780000018,0.3988489000003028,147.8187855000001,b,143.1727367000003,42,141.47679930000004,336,gr1nr1,pos,142.17279690000032,-1.4443598905895143,faceWord_exp,3,31,21,1
3.47,0.6808022999998684,158.42730700000038,0.6762958999997863,24,Monday,image_stim_n.png,cyclone,180,12,16,female,158.4932487000001,0.6103542000000743,157.8169528000003,y,153.19709390000025,42,151.51672940000026,336,gr1nr1,neg,152.19753170000013,3.583082910341294,faceWord_exp,3,32,22,1
