gender,word_score_warriner,word_trigger,img_trigger,no,age,key_t,duration_measured_img,scan day,pause_trigger_t,word,correct_resp,img,duration_measured_word,rt,response,duration_frames,pause_trigger,offset_img,word_score_pc,condition,offset_word,onset_img,delay_frames_after,word_label,onset_word,delay_frames_before,ID,session
female,5.24,13,22,1,25,5.348028638865799,0.6813555560074747,Tuesday,2.6811486387159675,toe,1,image_stim_n.png,0.6909244428388774,0.6484136655926704,y,42,42,5.380970529280603,0.6016604903777263,faceWord_exp,1.6808066635858268,4.699614973273128,336,neu,0.9898822207469493,180,2019102205,3
female,5.95,13,22,2,25,15.298392524709925,0.6857081996276975,Tuesday,12.681662884540856,egg,1,image_stim_n.png,0.6966889367904514,0.6026088914368302,y,42,42,15.381491832900792,-0.6884171372613734,faceWord_exp,11.681323155062273,14.695783633273095,336,neu,10.984634218271822,180,2019102205,3
female,3.4,12,22,3,25,25.265671025263146,0.6841754068154842,Tuesday,22.682156919734553,delirium,1,image_stim_n.png,0.6955856981221586,0.5679186291527003,y,42,32,25.38192780292593,3.4172209593162717,faceWord_exp,21.681770994793624,24.697752396110445,336,neg,20.986185296671465,180,2019102205,3
female,7.11,11,21,4,25,35.382924856152385,0.6856392270419747,Tuesday,32.682564017828554,rose,1,image_stim_p.png,0.6967181297950447,0.6861550770699978,b,42,31,35.38240900612436,-2.098490136277324,faceWord_exp,31.682222042698413,34.69676977908239,336,pos,30.98550391290337,180,2019102205,3
female,4.59,12,22,5,25,45.21658412436955,0.686184270074591,Tuesday,42.68307216838002,volcano,1,image_stim_n.png,0.6943265497684479,0.519885242683813,y,42,32,45.382883151760325,2.1987551193617842,faceWord_exp,41.68268688512035,44.696698881685734,336,neg,40.9883603353519,180,2019102205,3
female,3.23,12,22,6,25,55.26704213372432,0.6856344151310623,Tuesday,52.683565562125295,snub,1,image_stim_n.png,0.6969385207630694,0.5693975272588432,y,42,32,55.383279021596536,3.9847946241932393,faceWord_exp,51.683128950418904,54.697644606465474,336,neg,50.986190429655835,180,2019102205,3
female,4.95,12,22,7,25,67.90094270929694,0.6855436281766742,Tuesday,62.683965602423996,debate,1,image_stim_n.png,0.6973674334585667,0.6026008713524789,y,42,32,67.98388546612114,1.239138220826116,faceWord_exp,61.683665331685916,67.29834183794446,180,neg,60.98629789822735,336,2019102205,3
female,6.29,11,21,8,25,75.23467512056231,0.6856867060996592,Tuesday,72.6845257228706,flute,1,image_stim_p.png,0.696625096956268,0.5361380425747484,b,42,31,75.38422378408723,-1.6804307003665144,faceWord_exp,71.68410868011415,74.69853707798757,336,pos,70.98748358315788,180,2019102205,3
female,5.1,13,21,9,25,88.0353928192053,0.6857062748167664,Tuesday,82.68502328707837,cabinet,1,image_stim_p.png,0.6975474033970386,0.736314098816365,b,42,41,87.9847849952057,0.05858023181365075,faceWord_exp,81.68458314659074,87.29907872038893,180,neu,80.9870357431937,336,2019102205,3
female,2.62,12,22,10,25,95.16896072309464,0.6859446307644248,Tuesday,92.68538066069596,shame,1,image_stim_n.png,0.6967540595214814,0.46977819106541574,y,42,32,95.38512716279365,4.2618443246155895,faceWord_exp,91.68497709161602,94.69918253202923,336,neg,90.98822303209454,180,2019102205,3
female,7.3,11,21,11,25,107.90280817379244,0.6857235981151462,Tuesday,102.68577749305405,raspberry,1,image_stim_p.png,0.6952815777622163,0.6028087511658669,b,42,31,107.98572302074172,-1.4443598905895143,faceWord_exp,101.68552149296738,107.29999942262657,180,pos,100.99023991520517,336,2019102205,3
female,7.23,11,21,12,25,117.93648662627675,0.6858974730130285,Tuesday,112.68621570873074,butterfly,1,image_stim_p.png,0.6970719746313989,0.6361647974699736,b,42,31,117.9862193018198,-2.484088237918995,faceWord_exp,111.6858823953662,117.30032182880677,180,pos,110.98881042073481,336,2019102205,3
female,7.48,11,21,13,25,127.87034171214327,0.6856353774201125,Tuesday,122.68674374907278,hope,1,image_stim_p.png,0.6975980901625007,0.5693320834543556,b,42,31,127.98664500610903,-2.2287379941341,faceWord_exp,121.6863658442162,127.30100962868892,180,pos,120.9887677540537,336,2019102205,3
female,5.34,13,22,14,25,135.37064615334384,0.6859786356799304,Tuesday,132.68716207519174,patent,1,image_stim_n.png,0.6973385610617697,0.6695696052629501,y,42,42,135.38705518376082,-0.1793860699809707,faceWord_exp,131.686808551196,134.7010765480809,336,neu,130.98946999013424,180,2019102205,3
female,5.68,13,21,15,25,145.43797739385627,0.6855471569579095,Tuesday,142.68763108784333,cafeteria,1,image_stim_p.png,0.6972259595058858,0.7360811964608729,b,42,41,145.3874433543533,-0.4971407339658378,faceWord_exp,141.68724901252426,144.7018961973954,336,neu,140.99002305301838,180,2019102205,3
female,5.7,13,22,16,25,155.33843023818918,0.6858868866693228,Tuesday,152.6881504666526,jungle,1,image_stim_n.png,0.6958843648899347,0.6363495795521885,y,42,42,155.3879675453063,0.07332602516344529,faceWord_exp,151.68773053656332,154.702080658637,336,neu,150.9918461716734,180,2019102205,3
female,6.75,11,21,17,25,165.1387616910506,0.6856584751512855,Tuesday,162.6884735142812,agreement,1,image_stim_p.png,0.6972602852620184,0.43606797931715846,b,42,31,165.38835218688473,-1.2126784285084091,faceWord_exp,161.68820404051803,164.70269371173345,336,pos,160.990943755256,180,2019102205,3
female,5.81,13,21,18,25,175.15578409517184,0.6857951369602233,Tuesday,172.6890666775871,jam,1,image_stim_p.png,0.6976991428527981,0.4527599571738392,b,42,41,175.38881927495822,-1.343270424679961,faceWord_exp,171.68866118369624,174.703024137998,336,neu,170.99096204084344,180,2019102205,3
female,3.45,12,22,19,25,185.08962538652122,0.6858612224459648,Tuesday,182.68945709383115,grievance,1,image_stim_n.png,0.6967376985121518,0.38622206053696573,y,42,32,185.38926454843022,3.6017940902369654,faceWord_exp,181.6890945872292,184.70340332598425,336,neg,180.99235688871704,180,2019102205,3
