delay_frames_before,scan day,correct_resp,word_score_pc,word_trigger,offset_word,word,duration_frames,key_t,duration_measured_word,rt,pause_trigger_t,word_label,offset_img,gender,onset_img,duration_measured_img,img_trigger,condition,session,word_score_warriner,response,delay_frames_after,onset_word,ID,age,img,no,pause_trigger
336,Monday,1,-1.283661754694624,11,1.6889463420011452,handshake,42,7.733953097995254,0.691352576999634,0.40667064499575645,2.6887525689962786,pos,7.9991955119985505,male,7.327282452999498,0.6719130589990527,21,faceWord_exp,6,6.21,b,180,0.9975937650015112,60,25,image_stim_p.png,1,31
180,Monday,1,0.5993691927879942,12,11.712213348997466,rake,42,15.060055586996896,0.7073336269968422,0.3323922009949456,12.712270217998594,neg,15.408529918997374,male,14.72766338600195,0.6808665329954238,22,faceWord_exp,6,4.75,y,336,11.004879722000624,60,25,image_stim_n.png,2,32
180,Monday,1,1.5556418242275696,12,21.73545839200233,old,42,25.216302613000153,0.7072935710020829,0.4626589449981111,22.735384920000797,neg,25.431807900997228,male,24.75364366800204,0.6781642329951865,22,faceWord_exp,6,3.19,y,336,21.028164821000246,60,25,image_stim_n.png,3,32
180,Monday,1,-0.7656585604551551,13,31.758829156999127,audience,42,35.25649246099783,0.7080581530026393,0.4802608850004617,32.75906237500021,neu,35.45507435000036,male,34.77623157599737,0.6788427740029874,22,faceWord_exp,6,5.89,y,336,31.050771003996488,60,25,image_stim_n.png,4,42
180,Monday,1,-2.035068499528653,11,41.78168836599798,dolphin,42,45.36300495999603,0.7056073269995977,0.5626853209978435,42.78185325300001,pos,45.47844751500088,male,44.80031963899819,0.6781278760026908,21,faceWord_exp,6,6.67,b,336,41.07608103899838,60,25,image_stim_p.png,5,31
336,Monday,1,-2.2453726125286497,11,51.805305777001195,dinner,42,57.73395977600012,0.706315749004716,0.29521252300037304,52.80538995999814,pos,58.115765996000846,male,57.43874725299975,0.6770187430010992,21,faceWord_exp,6,6.4,b,180,51.09899002799648,60,25,image_stim_p.png,6,31
336,Monday,1,-1.1380831950062478,11,61.82867313799943,pumpkin,42,67.87429279299977,0.7041495259982185,0.41158571199775906,62.82868769599736,pos,68.13912934299879,male,67.46270708100201,0.6764222619967768,21,faceWord_exp,6,7.0,b,180,61.12452361200121,60,25,image_stim_p.png,7,31
336,Monday,1,0.3271241198863318,12,71.85174643799837,mayor,42,77.99701421200007,0.7065459349978482,0.511978201000602,72.85199139700126,neg,78.16240257999743,male,77.48503601099947,0.677366568997968,22,faceWord_exp,6,4.59,y,180,71.14520050300052,60,25,image_stim_n.png,8,32
180,Monday,1,1.7380634654586231,12,81.87532668100175,politician,42,85.22311862099741,0.7043940870062215,0.33925293699576287,82.87508935399819,neg,85.57160601099895,male,84.88386568400165,0.6877403269973001,22,faceWord_exp,6,3.25,y,336,81.17093259399553,60,25,image_stim_n.png,9,32
336,Monday,1,1.346131993343653,12,91.88153809699725,protest,42,97.81008238600043,0.6899713999955566,0.28186711900343653,92.8982744169989,neg,98.2089494009997,male,97.528215266997,0.6807341340027051,22,faceWord_exp,6,4.42,y,180,91.19156669700169,60,25,image_stim_n.png,10,32
180,Monday,1,3.587794463102913,12,101.90519425900129,prison,42,105.20285310799954,0.6901093940032297,0.26323484900058247,102.92153733899613,neg,105.61816237199673,male,104.93961825899896,0.6785441129977698,22,faceWord_exp,6,1.94,y,336,101.21508486499806,60,25,image_stim_n.png,11,32
180,Monday,0,0.38949539348709145,13,111.9281364060007,era,42,115.25895168799616,0.6907801130000735,0.29481240199675085,112.94494203499926,neu,115.64138999099669,male,114.96413928599941,0.6772507049972774,22,faceWord_exp,6,5.29,b,336,111.23735629300063,60,25,image_stim_n.png,12,42
336,Monday,1,-1.1812540207039297,11,121.95175833199755,elm,42,128.03012303500145,0.6915419479992124,0.4295754720005789,122.96833209599572,pos,128.27883162099897,male,127.60054756300087,0.6782840579980984,21,faceWord_exp,6,6.32,b,180,121.26021638399834,60,25,image_stim_p.png,13,31
180,Monday,1,-1.5755240884938977,11,131.97501197599922,cheese,42,135.3391575630012,0.6847264919997542,0.32783590700273635,132.99180770199746,pos,135.6880047960003,male,135.01132165599847,0.6766831400018418,21,faceWord_exp,6,6.81,b,336,131.29028548399947,60,25,image_stim_p.png,14,31
180,Monday,1,0.597486551423763,13,141.99841921700136,medicine,42,145.512391723998,0.6896821900008945,0.47636158199748024,143.01408208200155,neu,145.71136213999853,male,145.03603014200053,0.6753319979980006,21,faceWord_exp,6,5.9,b,336,141.30873702700046,60,25,image_stim_p.png,15,41
180,Monday,1,-0.15774590184623308,13,152.02169377599785,comb,42,155.4192403729976,0.6907820109991007,0.36286817400105065,153.03806842199992,neu,155.7345700529986,male,155.05637219899654,0.6781978540020646,21,faceWord_exp,6,5.65,b,336,151.33091176499875,60,25,image_stim_p.png,16,41
180,Monday,1,0.6345811289687322,13,162.04495177699573,big,42,165.5423386199982,0.6912549509943346,0.4629009860000224,163.06150992400217,neu,165.7578271780003,male,165.07943763399817,0.6783895440021297,22,faceWord_exp,6,5.64,y,336,161.3536968260014,60,25,image_stim_n.png,17,42
336,Monday,1,4.494524106175375,12,172.06811864100018,funeral,42,177.97994458000176,0.689187349002168,0.26397016800183337,173.08452854799543,neg,178.39500087600027,male,177.71597441199992,0.6790264640003443,22,faceWord_exp,6,2.07,y,180,171.37893129199801,60,25,image_stim_n.png,18,32
336,Monday,1,1.4290259416609457,12,182.09137542499957,lawyer,42,188.01951663100044,0.6895120100016356,0.27903955199872144,183.10783762799838,neg,188.41833972099994,male,187.74047707900172,0.6778626419982174,22,faceWord_exp,6,3.94,y,180,181.40186341499793,60,25,image_stim_n.png,19,32
180,Monday,1,-1.313583728320736,11,192.11453134199837,girl,42,195.59526514999743,0.6912219619989628,0.4471495399993728,193.1311959529994,pos,195.82746826799848,male,195.14811560999806,0.6793526580004254,21,faceWord_exp,6,7.15,b,336,191.4233093799994,60,25,image_stim_p.png,20,31
180,Monday,1,-2.3202480308548075,11,202.13769403599872,party,42,205.51870649000193,0.6861752830009209,0.3438856150023639,203.1542271349972,pos,205.8506664939996,male,205.17482087499957,0.6758456190000288,21,faceWord_exp,6,7.18,b,336,201.4515187529978,60,25,image_stim_p.png,21,31
180,Monday,1,-0.441124933220443,13,212.16095429499546,bugle,42,215.65857895099907,0.6899821529950714,0.4647394970015739,213.17745330899925,neu,215.87397940999654,male,215.1938394539975,0.6801399559990386,22,faceWord_exp,6,5.05,y,336,211.4709721420004,60,25,image_stim_n.png,22,42
336,Monday,1,-2.2232275900644445,11,222.18422458499845,home,42,228.37912605699967,0.6923462049962836,0.547209942000336,223.20064969400119,pos,228.51120861899835,male,227.83191611499933,0.6792925039990223,21,faceWord_exp,6,7.48,b,180,221.49187838000216,60,25,image_stim_p.png,23,31
180,Monday,1,0.8985553834191027,12,232.20745038799942,crow,42,235.5718509110011,0.6914866360020824,0.3316402510026819,233.22404967500188,neg,235.9202959079994,male,235.2402106599984,0.680085248000978,22,faceWord_exp,6,4.32,y,336,231.51596375199733,60,25,image_stim_n.png,24,32
336,Monday,1,0.07641955756997082,13,242.23059289700177,role,42,248.24233133899543,0.6910814260045299,0.3622533339948859,243.24731245399744,neu,248.55762236499868,male,247.88007800500054,0.6775443599981372,22,faceWord_exp,6,5.1,y,180,241.53951147099724,60,25,image_stim_n.png,25,42
180,Monday,1,-1.4048581699918157,11,252.25390894099837,blueberry,42,255.6013383210011,0.6896441360004246,0.3109611500040046,253.2705302769973,pos,255.9668211870012,male,255.2903771709971,0.6764440160040976,21,faceWord_exp,6,7.11,b,336,251.56426480499795,60,25,image_stim_p.png,26,31
180,Monday,1,4.673386290788297,12,262.27713731499534,woe,42,265.6080498539959,0.6970194409950636,0.2989539310001419,263.2937387339989,neg,265.9900689589995,male,265.30909592299577,0.6809730360037065,22,faceWord_exp,6,3.38,y,336,261.5801178740003,60,25,image_stim_n.png,27,32
