delay_frames_before,scan day,correct_resp,word_score_pc,word_trigger,offset_word,word,duration_frames,key_t,duration_measured_word,rt,pause_trigger_t,word_label,offset_img,gender,onset_img,duration_measured_img,img_trigger,condition,session,word_score_warriner,response,delay_frames_after,onset_word,ID,age,img,no,pause_trigger
336,Monday,1,-0.9476055713690849,13,272.3003521270002,satire,42,278.2285182350024,0.6840992950019427,0.2914994020029553,273.31678343800013,neu,278.62732640899776,male,277.93701883299946,0.690307575998304,21,faceWord_exp,6,5.81,b,180,271.6162528319983,60,25,image_stim_p.png,28,41
336,Monday,1,-2.539279812815429,11,282.32368490500085,chocolate,42,288.2515466709956,0.6891721490028431,0.29518997999548446,283.3400450729969,pos,288.6505875610019,male,287.9563566910001,0.6942308700017747,21,faceWord_exp,6,7.63,b,180,281.634512755998,60,25,image_stim_p.png,29,31
180,Monday,0,-0.1985745460766808,13,292.34645587299747,quantity,42,295.7609505479995,0.6879774199987878,0.3798840290037333,293.363492425,neu,296.05972967600246,male,295.3810665189958,0.6786631570066675,22,faceWord_exp,6,5.33,b,336,291.6584784529987,60,25,image_stim_n.png,30,42
180,Monday,1,2.52891321026023,12,302.3700369020007,folly,42,305.78429813899857,0.6903296070013312,0.3806409190001432,303.38660292499844,neg,306.082950461001,male,305.4036572199984,0.6792932410025969,22,faceWord_exp,6,4.11,y,336,301.6797072949994,60,25,image_stim_n.png,31,32
180,Monday,1,-0.1293625696653618,13,312.3933240510014,escalator,42,315.84072380900034,0.6915044370034593,0.4114284739989671,313.4097152960021,neu,316.1061937339982,male,315.42929533500137,0.6768983989968547,22,faceWord_exp,6,5.95,y,336,311.70181961399794,60,25,image_stim_n.png,32,42
180,Monday,1,-0.8574934623041074,13,322.4165654640019,accordion,42,325.73079462900205,0.691257549005968,0.2798276550020091,323.433105115997,neu,326.12944105600036,male,325.45096697400004,0.6784740820003208,21,faceWord_exp,6,5.26,b,336,321.72530791499594,60,25,image_stim_p.png,33,41
336,Monday,1,3.1728286127179004,12,332.4397714660008,rumor,42,338.40137447800225,0.6906531150016235,0.33232994300487917,333.45652449200134,neg,338.76666960799776,male,338.0690445349974,0.6976250730003812,22,faceWord_exp,6,3.14,y,180,331.7491183509992,60,25,image_stim_n.png,34,32
180,Monday,1,2.6698720582687456,12,342.46296432300005,fee,42,345.86089323800115,0.6875810819983599,0.3593713439986459,343.47950166199735,neg,346.17595418699784,male,345.5015218940025,0.6744322929953341,22,faceWord_exp,6,2.86,y,336,341.7753832410017,60,25,image_stim_n.png,35,32
336,Monday,1,0.1576901893660491,13,352.48631178100186,table,42,358.5810056720002,0.6905672339999,0.46000949299923377,353.50293175799743,neu,358.8129931700023,male,358.12099617900094,0.6919969910013606,22,faceWord_exp,6,5.49,y,180,351.79574454700196,60,25,image_stim_n.png,36,42
336,Monday,1,3.1738538072533196,12,362.50953260599636,sin,42,368.4208697150025,0.6917293509977753,0.27802600700670155,363.52600513499783,neg,368.83651971600193,male,368.1428437079958,0.6936760080061504,22,faceWord_exp,6,3.08,y,180,361.8178032549986,60,25,image_stim_n.png,37,32
336,Monday,0,-0.6912617476649511,13,372.5328177400006,soccer,42,378.42751130800025,0.6902853130013682,0.26362966500164475,373.5491240479969,neu,378.85964728600084,male,378.1638816429986,0.6957656430022325,22,faceWord_exp,6,5.84,b,180,371.84253242699924,60,25,image_stim_n.png,38,42
336,Monday,1,-3.0889019952949432,11,382.5560576630014,honeymoon,42,388.4511247549963,0.68931642100506,0.2632514969955082,383.5728943560025,pos,388.8828797370006,male,388.18787325800076,0.6950064789998578,21,faceWord_exp,6,7.53,b,180,381.86674124199635,60,25,image_stim_p.png,39,31
180,Monday,1,4.2219398121868315,12,392.57937679599854,guilt,42,395.9435635560003,0.690597405002336,0.3285602949981694,393.5791195010024,neg,396.29212518799613,male,395.61500326100213,0.6771219269940048,22,faceWord_exp,6,2.29,y,336,391.8887793909962,60,25,image_stim_n.png,40,32
180,Monday,1,1.421533554407035,12,402.60253415699844,judge,42,405.96698053,0.6895436019985937,0.3283455650016549,403.60254612300196,neg,406.315545833997,male,405.63863496499835,0.6769108689986751,22,faceWord_exp,6,3.89,y,336,401.91299055499985,60,25,image_stim_n.png,41,32
336,Monday,1,-0.3659926056186196,13,412.62575868999556,finger,42,418.72070292699937,0.6861369749967707,0.4588297110021813,413.6256434419993,neu,418.9527402849999,male,418.2618732159972,0.6908670690027066,22,faceWord_exp,6,5.8,y,180,411.9396217149988,60,25,image_stim_n.png,42,42
180,Monday,1,1.5036737146000605,12,422.64897108999867,bee,42,426.0135022999966,0.6915626370027894,0.3267158419985208,423.64885298899753,neg,426.36208087400155,male,425.6867864579981,0.6752944160034531,22,faceWord_exp,6,3.68,y,336,421.9574084529959,60,25,image_stim_n.png,43,32
336,Monday,1,-1.1818642926883074,13,432.6723319800003,prairie,42,438.6174753939995,0.6894295460006106,0.31254083100066055,433.6721991559971,neu,438.99932332699973,male,438.3049345629988,0.6943887640009052,22,faceWord_exp,6,5.33,y,180,431.9829024339997,60,25,image_stim_n.png,44,42
180,Monday,1,-1.8284590275958619,11,442.6956392259963,river,42,446.2098644669968,0.6892720079995343,0.4804410930009908,443.6954288429988,pos,446.40857196699653,male,445.7294233739958,0.6791485930007184,21,faceWord_exp,6,6.72,b,336,442.00636721799674,60,25,image_stim_p.png,45,31
336,Monday,1,0.4070035035588155,13,452.7187933909954,church,42,458.7303465410005,0.6902031799982069,0.3804415960039478,453.7187200749977,neu,459.04580339699896,male,458.3499049449965,0.6958984520024387,21,faceWord_exp,6,5.21,b,180,452.0285902109972,60,25,image_stim_p.png,46,41
336,Monday,1,-1.87678309604286,11,462.74207632400066,read,42,468.67062696500216,0.6911621789986384,0.29851879800116876,463.741891933998,pos,469.0690901670023,male,468.372108167001,0.6969820000012987,21,faceWord_exp,6,6.73,b,180,462.050914145002,60,25,image_stim_p.png,47,31
180,Monday,1,0.06851316647377265,13,472.76531696199527,analogy,42,476.32940410300216,0.690042429996538,0.5265351950001786,473.7651942820012,neu,476.47825987899705,male,475.802868908002,0.6753909709950676,21,faceWord_exp,6,5.24,b,336,472.07527453199873,60,25,image_stim_p.png,48,41
336,Monday,1,-1.2017878999114775,11,482.7885789689972,sun,42,488.68274638,0.6913995469949441,0.26195490900136065,483.7884378969975,pos,489.09894766900106,male,488.42079147099867,0.678156198002398,21,faceWord_exp,6,6.92,b,180,482.0971794220022,60,25,image_stim_p.png,49,31
180,Monday,1,-0.30581232848456497,13,492.8119867330024,advice,42,496.19293322999874,0.6874228870001389,0.3429521020007087,493.8117579210011,neu,496.5248671529989,male,495.84998112799803,0.6748860250008875,21,faceWord_exp,6,5.78,b,336,492.1245638460023,60,25,image_stim_p.png,50,41
336,Monday,1,-0.4928774877246448,13,502.83514627099794,chair,42,508.96342951699626,0.6918080929972348,0.4944927260003169,503.8349383109962,neu,509.1454293429997,male,508.46893679099594,0.676492552003765,22,faceWord_exp,6,5.89,y,180,502.1433381780007,60,25,image_stim_n.png,51,42
180,Monday,1,0.7240429444440241,12,512.8583992740023,law,42,516.2226979740008,0.6915460060045007,0.3305785340053262,513.8582263439966,neg,516.5713621460018,male,515.8921194399954,0.6792427060063346,22,faceWord_exp,6,4.55,y,336,512.1668532679978,60,25,image_stim_n.png,52,32
180,Monday,1,3.7741942061665816,12,522.8814596609955,lost,42,526.2126297349969,0.6910948569930042,0.29449395399569767,523.8814144319986,neg,526.594712017999,male,525.9181357810012,0.6765762369977892,22,faceWord_exp,6,2.53,y,336,522.1903648040025,60,25,image_stim_n.png,53,32
180,Monday,1,-1.0219663684796234,11,532.9049220000015,camera,42,536.3358957019955,0.6901269270019839,0.399009576998651,533.9047752999977,pos,536.6178585730013,male,535.9368861249968,0.6809724480044679,21,faceWord_exp,6,6.61,b,336,532.2147950729996,60,25,image_stim_p.png,54,31
336,Monday,1,-0.9209473384247756,13,542.9282688300009,scooter,42,548.8898899670021,0.6899297330019181,0.33293904500169447,543.9281233590009,neu,549.2385847519981,male,548.5569509220004,0.681633829997736,21,faceWord_exp,6,5.42,b,180,542.238339096999,60,25,image_stim_p.png,55,41
180,Monday,1,-1.071197614358652,11,552.9515620570019,chipmunk,42,556.299163798998,0.6914229470057762,0.31446244299877435,553.9505326790022,pos,556.664097462999,male,555.9847013559993,0.6793961069997749,21,faceWord_exp,6,7.33,b,336,552.2601391099961,60,25,image_stim_p.png,56,31
180,Monday,1,-1.6320665929887423,11,562.9747519090015,forest,42,566.3218197669994,0.6866030130040599,0.3108805020019645,563.974773185997,pos,566.6876615939982,male,566.0109392649974,0.6767223290007678,21,faceWord_exp,6,6.68,b,336,562.2881488959974,60,25,image_stim_p.png,57,31
180,Monday,1,-1.613773182399739,11,572.998094413997,hygiene,42,576.3791938689974,0.6899725779949222,0.34434155999770155,573.9978853689972,pos,576.711004427998,male,576.0348523089997,0.6761521189982886,21,faceWord_exp,6,6.38,b,336,572.3081218360021,60,25,image_stim_p.png,58,31
336,Monday,1,-2.3709211732995845,11,583.0213283819976,parade,42,589.0829912929985,0.6904279750015121,0.4310567779975827,584.0213482799954,pos,589.3316836410013,male,588.6519345150009,0.6797491260003881,21,faceWord_exp,6,6.37,b,180,582.3309004069961,60,25,image_stim_p.png,59,31
180,Monday,1,3.2726955917764444,12,593.0445561640008,gunshot,42,596.3918547950016,0.6899794609998935,0.31547214700549375,594.0443823539972,neg,596.7574288670003,male,596.0763826479961,0.6810462190042017,22,faceWord_exp,6,2.79,y,336,592.3545767030009,60,25,image_stim_n.png,60,32
