correct_resp,img,offset_img,rt,pause_trigger,duration_measured_img,key_t,ID,gender,scan day,onset_img,word_label,onset_word,delay_frames_after,pause_trigger_t,duration_frames,img_trigger,delay_frames_before,no,response,word_score_pc,session,word_score_warriner,offset_word,duration_measured_word,word_trigger,word,age,condition
1,image_stim_n.png,165.37893728516065,0.7364462693221867,32,0.6858201597351581,165.42956339474767,2019102308,female,Wednesday,164.6931171254255,neg,160.98142170533538,336,162.67939320905134,42,22,180,17,y,1.5036737146000605,6,3.68,161.67872016620822,0.6972984608728439,12,bee,23,faceWord_exp
,image_stim_p.png,175.37938769138418,,31,0.6854319891426712,,2019102308,female,Wednesday,174.6939557022415,pos,170.98347740550525,336,172.6796549835708,42,21,180,18,,-1.283661754694624,6,6.21,171.6792167678941,0.6957393623888493,11,handshake,23,faceWord_exp
1,image_stim_p.png,185.37986472412013,0.686299117282033,31,0.6857422047760338,185.38042163662612,2019102308,female,Wednesday,184.6941225193441,pos,180.98271325486712,336,182.68005726952106,42,21,180,19,b,-3.0889019952949432,6,7.53,181.6797034246847,0.6969901698175818,11,honeymoon,23,faceWord_exp
1,image_stim_n.png,197.98043652181514,0.6031574632506818,32,0.686067498056218,197.8975264870096,2019102308,female,Wednesday,197.29436902375892,neg,190.982652944047,180,192.68056221213192,42,22,336,20,y,1.4290259416609457,6,3.94,191.68012720439583,0.6974742603488266,12,lawyer,23,faceWord_exp
1,image_stim_p.png,205.3808082032483,0.703045631526038,31,0.6858191972132772,205.39803463756107,2019102308,female,Wednesday,204.69498900603503,pos,200.9829942774959,336,202.68099112459458,42,21,180,21,b,-1.87678309604286,6,6.73,201.68059429246932,0.6976000149734318,11,read,23,faceWord_exp
,image_stim_n.png,215.3812608551234,,32,0.6858669966459274,,2019102308,female,Wednesday,214.69539385847747,neg,210.98439746606164,336,212.6814704029821,42,22,180,22,,4.494524106175375,6,2.07,211.68112137028947,0.6967239042278379,12,funeral,23,faceWord_exp
1,image_stim_p.png,227.98179511912167,0.4365754881873727,31,0.6861605306621641,227.73221007664688,2019102308,female,Wednesday,227.2956345884595,pos,220.98382130544633,180,222.68188552116044,42,21,336,23,b,-1.313583728320736,6,7.15,221.6815435460303,0.6977222405839711,11,girl,23,faceWord_exp
1,image_stim_n.png,237.9822837007232,0.48658854491077363,32,0.6862307863775641,237.7826414592564,2019102308,female,Wednesday,237.29605291434564,neg,230.98418990708888,180,232.68239238858223,42,22,336,24,y,0.8985553834191027,6,4.32,231.682072869502,0.6978829624131322,12,crow,23,faceWord_exp
,image_stim_n.png,247.9827408439014,,32,0.6862192375119776,,2019102308,female,Wednesday,247.29652160638943,neg,240.98486712039448,180,242.68299325089902,42,22,336,25,,0.5993691927879942,6,4.75,241.6824097118806,0.6975425914861262,12,rake,23,faceWord_exp
1,image_stim_p.png,255.38311926205643,0.802604336058721,31,0.6853864351287484,255.5003371629864,2019102308,female,Wednesday,254.69773282692768,pos,250.98553855950013,336,252.6833750056103,42,21,180,26,b,-2.3202480308548075,6,7.18,251.6829547546804,0.6974161951802671,11,party,23,faceWord_exp
,image_stim_n.png,265.3835189815145,,32,0.6861724003683776,,2019102308,female,Wednesday,264.6973465811461,neg,260.9862048656214,336,262.6837638176512,42,22,180,27,,3.2726955917764444,6,2.79,261.68335094535723,0.6971460797358304,12,gunshot,23,faceWord_exp
0,image_stim_p.png,277.984159110114,0.6196534312330186,41,0.6859109466895461,277.91790159465745,2019102308,female,Wednesday,277.29824816342443,neu,270.98666265024804,180,272.68423026404344,42,21,336,28,y,-0.1293625696653618,6,5.95,271.6837933314964,0.6971306812483817,13,escalator,23,faceWord_exp
