response,img_trigger,gender,word_trigger,offset_word,onset_img,word_score_pc,key_t,word_score_warriner,pause_trigger_t,pause_trigger,rt,session,delay_frames_after,ID,duration_measured_word,condition,img,correct_resp,duration_frames,age,scan day,delay_frames_before,onset_word,no,offset_img,word_label,word,duration_measured_img
b,21,male,13,1.7197697730152868,7.420431111007929,0.37753019343780747,8.039833265997004,5.43,2.7364149630302563,41,0.6194021549890749,4,180,24,0.7039176049875095,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,1.0158521680277772,1,8.11848118097987,neu,door,0.6980500699719414
y,22,male,12,12.135649894014932,17.94428102503298,2.8496222967354625,18.456275974982418,3.78,13.303173615015112,32,0.5119949499494396,4,180,24,1.0104130940162577,faceWord_exp,image_stim_n.png,1,42,24,Monday,336,11.125236799998675,2,18.635650925978553,neg,empty,0.691369900945574
b,21,male,13,22.335868714028038,27.965756288031116,-0.7774272008663468,28.505540326004848,5.43,23.335541679000016,41,0.5397840379737318,4,180,24,0.694322876050137,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,21.6415458379779,3,28.667986323009245,neu,theme,0.702230034978129
y,22,male,12,32.385621640016325,35.427214641007595,0.19555716741692625,35.97151009703521,4.95,33.385770295979455,32,0.5442954560276121,4,336,24,0.7060407450189814,faceWord_exp,image_stim_n.png,1,42,24,Monday,180,31.679580894997343,4,36.11857940000482,neg,majority,0.6913647589972243
b,22,male,12,42.417643288034014,45.44119359902106,3.668156535681199,46.087813229998574,3.52,43.41826514998684,32,0.6466196309775114,4,336,24,0.6942940980079584,faceWord_exp,image_stim_n.png,0,42,24,Monday,180,41.723349190026056,5,46.13419667998096,neg,battle,0.6930030809598975
b,21,male,13,52.43402059399523,58.07895057898713,-0.5273916336755435,58.77124902501237,5.83,53.43596977903508,41,0.6922984460252337,4,180,24,0.6917852759943344,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,51.742235318000894,6,58.78474257502239,neu,scientist,0.7057919960352592
y,22,male,12,62.48380032798741,68.10808636801085,-0.3663992490442602,68.48843819799367,3.36,63.48559167899657,32,0.38035182998282835,4,180,24,0.6930829449556768,faceWord_exp,image_stim_n.png,1,42,24,Monday,336,61.79071738303173,7,68.80110254400643,neg,expensive,0.6930161759955809
b,21,male,11,72.50018820300465,78.14252512098756,-2.411716547027706,78.78769231698243,7.3,73.50199589401018,31,0.6451671959948726,4,180,24,0.6927340370020829,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,71.80745416600257,8,78.83460570703028,pos,flower,0.6920805860427208
y,22,male,13,82.53324894298567,88.1589879260282,0.29188517290671034,88.75445362500614,5.89,83.53370143898064,42,0.5954656989779323,4,180,24,0.6941541749984026,faceWord_exp,image_stim_n.png,1,42,24,Monday,336,81.83909476798726,9,88.85084122797707,neu,guard,0.6918533019488677
y,22,male,13,92.5504078019876,98.19242945301812,0.18094025084207666,98.77083217102336,5.3,93.55142890301067,42,0.5784027180052362,4,180,24,0.6915086369845085,faceWord_exp,image_stim_n.png,1,42,24,Monday,336,91.8588991650031,10,98.90023559902329,neu,journalist,0.7078061460051686
b,21,male,11,102.59939078101888,105.62402239901712,-1.5082836116280287,106.28697683598148,6.17,103.60012136999285,31,0.6629544369643554,4,336,24,0.6942528830259107,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,101.90513789799297,11,106.3167200370226,pos,kitchen,0.6926976380054839
b,21,male,11,112.61662772699492,115.64013180200709,-1.6859102219357711,116.27011744701304,6.42,113.61724734603195,31,0.6299856450059451,4,336,24,0.6958057919982821,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,111.92082193499664,12,116.3331791679957,pos,truce,0.6930473659886047
b,21,male,11,122.6496144880075,125.67229921498802,-2.8305869761860607,126.13581493101083,6.67,123.64957600098569,31,0.46351571602281183,4,336,24,0.6943219570093788,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,121.95529253099812,13,126.36623030301416,pos,gratitude,0.6939310880261473
b,21,male,11,132.66528101701988,135.6900563770323,-1.883093263099396,136.15292715199757,6.15,133.6659579380066,31,0.46287077496526763,4,336,24,0.6949784600292332,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,131.97030255699065,14,136.38261408603285,pos,choir,0.692557709000539
b,21,male,11,142.69829757203115,145.72460159298498,-2.066768843681998,146.26928753498942,7.27,143.70018955803243,31,0.5446859420044348,4,336,24,0.6949174190522172,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,142.00338015297893,15,146.43233199598035,pos,honey,0.7077304029953666
b,21,male,13,152.73149274801835,158.35607530199923,-0.9031069202434168,158.78541955701075,5.84,153.73326638602884,41,0.42934425501152873,4,180,24,0.6921179030323401,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,152.039374844986,16,159.0491899669869,neu,boy,0.6931146649876609
b,21,male,11,162.74783234100323,168.3710560600157,-1.7294291477603156,168.7344050470274,7.0,163.74854356102878,31,0.3633489870117046,4,180,24,0.6954271279973909,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,162.05240521300584,17,169.06510967802024,pos,dog,0.6940536180045456
b,22,male,12,172.7642366940272,175.7885445440188,3.803034067475641,176.13452444702853,2.76,173.76570720900781,32,0.34597990300972015,4,336,24,0.6949111300054938,faceWord_exp,image_stim_n.png,0,42,24,Monday,180,172.0693255640217,18,176.48156816599658,neg,flood,0.6930236219777726
y,22,male,12,182.79805736802518,185.82372911198763,3.9974740190684885,186.2344247099827,2.55,183.79797417501686,32,0.4106955979950726,4,336,24,0.6942408549948595,faceWord_exp,image_stim_n.png,1,42,24,Monday,180,182.10381651303032,19,186.5312651580316,neg,accident,0.7075360460439697
b,21,male,11,192.83097470499342,198.4540311730234,-1.7974288604529352,198.83489557000576,6.53,193.83108093001647,31,0.38086439698236063,4,180,24,0.6953683389583603,faceWord_exp,image_stim_p.png,1,42,24,Monday,336,192.13560636603506,20,199.14687259797938,pos,bonfire,0.6928414249559864
y,22,male,13,202.8467985590105,208.47084779798752,0.6669259665908855,208.85086565703386,5.38,203.84756875800667,42,0.38001785904634744,4,180,24,0.6941841230145656,faceWord_exp,image_stim_n.png,1,42,24,Monday,336,202.15261443599593,21,209.16404863999924,neu,businessman,0.6932008420117199
b,21,male,11,212.86319988698233,215.8872145320056,-2.1205664047688315,216.25123644800624,7.24,213.86499450099654,31,0.36402191600063816,4,336,24,0.6952645959681831,faceWord_exp,image_stim_p.png,1,42,24,Monday,180,212.16793529101415,22,216.58053005399415,pos,trust,0.6933155219885521
y,22,male,12,222.8963154029916,225.93812194600469,3.4698173961771306,226.31730002298718,3.4,223.8981450489955,32,0.37917807698249817,4,336,24,0.7072069129790179,faceWord_exp,image_stim_n.png,1,42,24,Monday,180,222.1891084900126,23,226.63027784897713,neg,animosity,0.6921559029724449
y,22,male,12,232.93008848902537,235.95419392298209,4.5355840269859025,236.48385750700254,2.53,233.93078922998393,32,0.5296635840204544,4,336,24,0.6956032880116254,faceWord_exp,image_stim_n.png,1,42,24,Monday,180,232.23448520101374,24,236.64664109703153,neg,torment,0.6924471740494482
