no,offset_img,delay_frames_after,duration_frames,img,gender,condition,word_label,word_score_warriner,correct_resp,key_t,pause_trigger_t,word_trigger,response,onset_img,offset_word,age,session,duration_measured_word,word_score_pc,scan day,delay_frames_before,duration_measured_img,pause_trigger,onset_word,img_trigger,word,ID,rt
1,5.4672409519553185,336,42,image_stim_n.png,male,faceWord_exp,neg,3.48,1,5.385891247948166,2.7174603369785473,12,y,4.770041735959239,1.7172574299620464,24,2,0.7076953959767707,0.7321109855355353,Monday,180,0.6971992159960791,32,1.0095620339852758,22,axe,24,0.6158495119889267
2,18.10032557998784,180,42,image_stim_p.png,male,faceWord_exp,neu,5.8,1,17.901284047984518,12.784144190954976,13,b,17.40552225295687,11.783485454972833,24,2,0.6963611710234545,-0.5451009915059291,Monday,336,0.6948033270309679,41,11.087124283949379,21,toaster,24,0.49576179502764717
3,28.133230244973674,180,42,image_stim_n.png,male,faceWord_exp,neg,2.35,1,28.251516861957498,22.80042305897223,12,y,27.418826993962284,21.80024815100478,24,2,0.6968422220088542,4.537930167489568,Monday,336,0.7144032510113902,32,21.103405928995926,22,terrorist,24,0.8326898679952137
4,38.148717877978925,180,42,image_stim_n.png,male,faceWord_exp,neg,4.35,1,37.90033992996905,32.833370853972156,12,y,37.45062769996002,31.832726455992088,24,2,0.6950513180345297,2.166481281776448,Monday,336,0.6980901780189015,32,31.137675137957558,22,plea,24,0.4497122300090268
5,48.16560867795488,180,42,image_stim_p.png,male,faceWord_exp,pos,8.53,1,47.88398170797154,42.8492572059622,11,b,47.46731842699228,41.84911020495929,24,2,0.69670926296385,-3.1565376907491283,Monday,336,0.6982902509626001,31,41.15240094199544,21,vacation,24,0.4166632809792645
6,58.19869234797079,180,42,image_stim_n.png,male,faceWord_exp,neg,4.43,1,58.200412730977405,52.8829278780031,12,y,57.50086396897677,51.88230130600277,24,2,0.6978297020541504,-0.14866519221167074,Monday,336,0.6978283789940178,32,51.18447160394862,22,van,24,0.6995487620006315
7,68.23174762795679,180,42,image_stim_n.png,male,faceWord_exp,neg,4.41,1,68.14931209298084,62.91540143196471,12,y,67.53619960596552,61.915202919975854,24,2,0.6968796810251661,0.16339675594021513,Monday,336,0.6955480219912715,32,61.21832323895069,22,jaw,24,0.6131124870153144
8,75.66512160998536,336,42,image_stim_p.png,male,faceWord_exp,pos,7.1,1,75.48380185198039,72.94923644699156,11,b,74.96688310999889,71.94874872994842,24,2,0.6968054219614714,-2.5746228757417584,Monday,180,0.6982384999864735,31,71.25194330798695,21,barbecue,24,0.5169187419814989
9,85.68117501499364,336,42,image_stim_p.png,male,faceWord_exp,pos,7.21,1,85.29950555297546,82.96515857195482,11,b,84.98460710496875,81.96498005697504,24,2,0.6972952969954349,-2.7563434535584275,Monday,180,0.6965679100248963,31,81.2676847599796,21,optimism,24,0.3148984480067156
10,98.29692380496999,180,42,image_stim_n.png,male,faceWord_exp,neu,5.29,1,98.09947727597319,92.98114559799433,13,y,97.5992576169665,91.9814520549844,24,2,0.6946045579970814,0.0657349158769076,Monday,336,0.6976661880034953,42,91.28684749698732,22,camel,24,0.5002196590066887
