scan day,onset_word,onset_img,word_trigger,gender,offset_word,word,condition,word_score_warriner,rt,word_label,pause_trigger_t,img,key_t,duration_frames,delay_frames_after,no,response,delay_frames_before,img_trigger,correct_resp,pause_trigger,word_score_pc,duration_measured_word,age,ID,session,duration_measured_img,offset_img
Monday,211.52777967398288,217.84589511697413,12,male,212.22311119601363,lost,faceWord_exp,2.53,0.46348079305607826,neg,213.22334338800283,image_stim_n.png,218.3093759100302,42,180,22,y,336,22,1,32,3.7741942061665816,0.6953315220307559,24,24,6,0.6924239760264754,218.5383190930006
Monday,221.54422578500817,227.86251491098665,11,male,222.2395061730058,girl,faceWord_exp,7.15,0.5304701160057448,pos,223.23898628499592,image_stim_p.png,228.3929850269924,42,180,23,b,336,21,1,31,-1.313583728320736,0.6952803879976273,24,24,6,0.6934016770101152,228.55591658799676
Monday,231.56053617602447,237.8779783869977,12,male,232.25448485597735,woe,faceWord_exp,3.38,0.5454655599896796,neg,233.25541781901848,image_stim_n.png,238.4234439469874,42,180,24,y,336,22,1,32,4.673386290788297,0.6939486799528822,24,24,6,0.6930434710229747,238.57102185802069
Monday,241.57680559402797,247.88979126501363,12,male,242.27074929099763,guilt,faceWord_exp,2.29,0.7024283799692057,neg,243.27177781698992,image_stim_n.png,248.59221964498283,42,180,25,y,336,22,1,32,4.2219398121868315,0.6939436969696544,24,24,6,0.6987484009587206,248.58853966597235
Monday,251.59076952497708,255.30454873398412,11,male,252.28851348999888,handshake,faceWord_exp,6.21,0.4705169610097073,pos,253.2893172359909,image_stim_p.png,255.77506569499383,42,336,26,b,180,21,1,31,-1.283661754694624,0.6977439650218002,24,24,6,0.7002309520030394,256.00477968598716
Monday,261.6103613640298,265.3300985789974,11,male,262.3040487979888,river,faceWord_exp,6.72,0.42803428700426593,pos,263.30577572301263,image_stim_p.png,265.7581328660017,42,336,27,b,180,21,1,31,-1.8284590275958619,0.6936874339589849,24,24,6,0.7076982840080746,266.0377968630055
Monday,271.6413505789824,275.36008538497845,13,male,272.3376746950089,era,faceWord_exp,5.29,0.6638821079977788,neu,273.3387836050242,image_stim_n.png,276.0239674929762,42,336,28,y,180,22,1,42,0.38949539348709145,0.696324116026517,24,24,6,0.6941147210309282,276.0542001060094
Monday,281.6586500349804,287.97720647702226,11,male,282.35437269997783,chipmunk,faceWord_exp,7.33,0.41369418997783214,pos,283.35411984397797,image_stim_p.png,288.3909006670001,42,180,29,b,336,21,1,31,-1.071197614358652,0.6957226649974473,24,24,6,0.6937815870041959,288.67098806402646
Monday,291.6755042570294,297.9938804520061,13,male,292.370812691981,bugle,faceWord_exp,5.05,0.4966227510012686,neu,293.3714957900229,image_stim_n.png,298.4905032030074,42,180,30,y,336,22,1,42,-0.441124933220443,0.6953084349515848,24,24,6,0.6933591199922375,298.68723957199836
Monday,301.6941893529729,308.0439163229894,12,male,302.4198018700117,rumor,faceWord_exp,3.14,0.4130001360317692,neg,303.41989759000717,image_stim_n.png,308.45691645902116,42,180,31,y,336,22,1,32,3.1728286127179004,0.7256125170388259,24,24,6,0.6926885910215788,308.73660491401097
Monday,311.74033263500314,315.45998925098684,12,male,312.4361169390031,old,faceWord_exp,3.19,0.8302885360317305,neg,313.4366645140108,image_stim_n.png,316.29027778701857,42,336,32,y,180,22,1,32,1.5556418242275696,0.6957843039999716,24,24,6,0.6923575780238025,316.15234682901064
Monday,321.7583853760152,328.07565071998397,11,male,322.45257883297745,cheese,faceWord_exp,6.81,0.44713966199196875,pos,323.4518019449897,image_stim_p.png,328.52279038197594,42,180,33,b,336,21,1,31,-1.5755240884938977,0.694193456962239,24,24,6,0.6940744960447773,328.76972521602875
Monday,331.77085119497497,335.4917005340103,11,male,332.46981015702477,parade,faceWord_exp,6.37,0.44479195697931573,pos,333.46787412499543,image_stim_p.png,335.9364924909896,42,336,34,b,180,21,1,31,-2.3709211732995845,0.6989589620498009,24,24,6,0.6932980269775726,336.1849985609879
Monday,341.7902251560008,348.1110152369947,13,male,342.484859824006,audience,faceWord_exp,5.89,0.5770538490032777,neu,343.48547292500734,image_stim_p.png,348.688069085998,42,180,35,b,336,21,1,41,-0.7656585604551551,0.6946346680051647,24,24,6,0.7069904439849779,348.8180056809797
Monday,351.8242699049879,355.5406945560244,13,male,352.5185038530035,advice,faceWord_exp,5.78,0.5978629189776257,neu,353.5198459660169,image_stim_n.png,356.138557475002,42,336,36,y,180,22,1,42,-0.30581232848456497,0.6942339480156079,24,24,6,0.6945521289599128,356.2352466849843
Monday,361.84047884499887,365.55739314999664,13,male,362.53381489001913,chair,faceWord_exp,5.89,0.5463168150163256,neu,363.53496427397477,image_stim_n.png,366.10370996501297,42,336,37,y,180,22,1,42,-0.4928774877246448,0.6933360450202599,24,24,6,0.6942294320324436,366.2516225820291
Monday,371.8538781909738,375.5736322000157,12,male,372.55195928999456,sin,faceWord_exp,3.08,0.5118108709575608,neg,373.55207396298647,image_stim_n.png,376.08544307097327,42,336,38,y,180,22,1,32,3.1738538072533196,0.6980810990207829,24,24,6,0.6935934509965591,376.26722565101227
Monday,381.87308326899074,388.1930954880081,12,male,382.56783040601294,mayor,faceWord_exp,4.59,0.6115008660126477,neg,383.5675024110242,image_stim_n.png,388.80459635402076,42,180,39,y,336,22,1,32,0.3271241198863318,0.6947471370222047,24,24,6,0.6912007869686931,388.8842962749768
Monday,391.8861933950102,398.2072436569724,13,male,392.5847334500286,analogy,faceWord_exp,5.24,0.6940240280237049,neu,393.5854200620088,image_stim_n.png,398.9012676849961,42,180,40,b,336,22,0,42,0.06851316647377265,0.698540055018384,24,24,6,0.6922160190297291,398.89945967600215
Monday,401.9053001839784,408.2241955130012,12,male,402.59997802297585,politician,faceWord_exp,3.25,0.5604710499756038,neg,403.600938883028,image_stim_n.png,408.7846665629768,42,180,41,y,336,22,1,32,1.7380634654586231,0.6946778389974497,24,24,6,0.6931193040218204,408.917314817023
Monday,411.9187618980068,415.6387500509736,13,male,412.6172811089782,table,faceWord_exp,5.49,0.5796886840253137,neu,413.61806828097906,image_stim_n.png,416.2184387349989,42,336,42,y,180,22,1,42,0.1576901893660491,0.6985192109714262,24,24,6,0.6939267550478689,416.3326768060215
Monday,421.93614416301716,425.6559962530155,12,male,422.6328239879804,gunshot,faceWord_exp,2.79,0.5283594919601455,neg,423.633205791004,image_stim_n.png,426.1843557449756,42,336,43,y,180,22,1,32,3.2726955917764444,0.696679824963212,24,24,6,0.6939776779618114,426.3499739309773
Monday,431.9714205469936,438.28999908297556,12,male,432.6662608300103,bee,faceWord_exp,3.68,0.546319418004714,neg,433.6671473530005,image_stim_n.png,438.83631850098027,42,180,44,y,336,22,1,32,1.5036737146000605,0.6948402830166742,24,24,6,0.6928576350328512,438.9828567180084
Monday,441.991198223026,448.3385152069968,12,male,442.69881210202584,prison,faceWord_exp,1.94,0.5144823819864541,neg,443.6987232210231,image_stim_n.png,448.85299758898327,42,180,45,y,336,22,1,32,3.587794463102913,0.7076138789998367,24,24,6,0.694145152985584,449.0326603599824
Monday,452.0384912629961,458.35599881701637,13,male,452.73294046899537,accordion,faceWord_exp,5.26,0.41365599900018424,neu,453.7335388319916,image_stim_n.png,458.76965481601655,42,180,46,y,336,22,1,42,-0.8574934623041074,0.6944492059992626,24,24,6,0.6929462229600176,459.0489450399764
Monday,462.05427377898013,465.77209245599806,11,male,462.7488689760212,forest,faceWord_exp,6.68,0.7624345470103435,pos,463.7499945280142,image_stim_p.png,466.5345270030084,42,336,47,y,180,21,0,31,-1.6320665929887423,0.6945951970410533,24,24,6,0.6933834620285779,466.46547591802664
Monday,472.0871445860248,475.8044077110244,11,male,472.7819239940145,pumpkin,faceWord_exp,7.0,0.41361087397672236,pos,473.7828909740201,image_stim_p.png,476.2180185850011,42,336,48,b,180,21,1,31,-1.1380831950062478,0.6947794079896994,24,24,6,0.6940717329853214,476.4984794440097
Monday,482.1021080680075,488.42175361100817,11,male,482.7987501390162,blueberry,faceWord_exp,7.11,0.463283845980186,pos,483.7993128229864,image_stim_p.png,488.88503745698836,42,180,49,b,336,21,1,31,-1.4048581699918157,0.6966420710086823,24,24,6,0.6934199089882895,489.11517351999646
Monday,492.1377873499878,495.8548553030123,13,male,492.8305304470123,quantity,faceWord_exp,5.33,0.5800883889896795,neu,493.8324764529825,image_stim_p.png,496.434943692002,42,336,50,b,180,21,1,41,-0.1985745460766808,0.6927430970245041,24,24,6,0.6922636509989388,496.54711895401124
Monday,502.15291924698977,508.4725319209974,11,male,502.84818690799875,read,faceWord_exp,6.73,0.6790629249881022,pos,503.84840994601836,image_stim_p.png,509.1515948459855,42,180,51,b,336,21,1,31,-1.87678309604286,0.6952676610089839,24,24,6,0.6915024999761954,509.1640344209736
Monday,512.1861179309781,515.9034903689753,11,male,512.880755945982,elm,faceWord_exp,6.32,0.5312030900386162,pos,513.881879529974,image_stim_p.png,516.4346934590139,42,336,52,b,180,21,1,31,-1.1812540207039297,0.6946380150038749,24,24,6,0.6937926670070738,516.5972830359824
Monday,522.2009602659964,525.9204400830204,12,male,522.8971473859856,fee,faceWord_exp,2.86,0.563708814966958,neg,523.8969200219726,image_stim_n.png,526.4841488979873,42,336,53,y,180,22,1,32,2.6698720582687456,0.6961871199891903,24,24,6,0.6925396840088069,526.6129797670292
Monday,532.2168977680267,535.9543674280285,13,male,532.9294214260299,big,faceWord_exp,5.64,0.6294907329720445,neu,533.9304332419997,image_stim_n.png,536.5838581610005,42,336,54,y,180,22,1,42,0.6345811289687322,0.7125236580031924,24,24,6,0.6916367469821125,536.6460041750106
Monday,542.2522738330299,548.5703583110007,11,male,542.9469178349827,hygiene,faceWord_exp,6.38,0.6966112700174563,pos,543.9477508640266,image_stim_p.png,549.2669695810182,42,180,55,y,336,21,0,31,-1.613773182399739,0.6946440019528382,24,24,6,0.6930005389731377,549.2633588499739
Monday,552.2684544050135,556.0071621279931,13,male,552.9629359890241,soccer,faceWord_exp,5.84,0.5921660190215334,neu,553.9807951729745,image_stim_n.png,556.5993281470146,42,336,56,y,180,22,1,42,-0.6912617476649511,0.6944815840106457,24,24,6,0.7049803020199761,556.712142430013
Monday,562.3191905689891,568.6358530360158,12,male,563.0131401949911,judge,faceWord_exp,3.89,0.4973174949991517,neg,564.0138264779816,image_stim_n.png,569.1331705310149,42,180,57,y,336,22,1,32,1.421533554407035,0.6939496260019951,24,24,6,0.693828076007776,569.3296811120235
Monday,572.3329858970246,576.0673935990199,11,male,573.029070361983,home,faceWord_exp,7.48,0.4983980580000207,pos,574.0301569339936,image_stim_p.png,576.5657916570199,42,336,58,b,180,21,1,31,-2.2232275900644445,0.6960844649584033,24,24,6,0.6941572320065461,576.7615508310264
Monday,582.3695588930277,588.6867942180252,12,male,583.0620807990199,law,faceWord_exp,4.55,0.5288763369899243,neg,584.0632594409981,image_stim_n.png,589.2156705550151,42,180,59,y,336,22,1,32,0.7240429444440241,0.6925219059921801,24,24,6,0.6921727329608984,589.3789669509861
Monday,592.3839635860058,598.7203440240119,11,male,593.0783399440115,party,faceWord_exp,7.18,0.64531569898827,pos,594.0794840030139,image_stim_p.png,599.3656597230001,42,180,60,b,336,21,1,31,-2.3202480308548075,0.6943763580056839,24,24,6,0.6917982379673049,599.4121422619792
