scan day,onset_word,onset_img,word_trigger,gender,offset_word,word,condition,word_score_warriner,rt,word_label,pause_trigger_t,img,key_t,duration_frames,delay_frames_after,no,response,delay_frames_before,img_trigger,correct_resp,pause_trigger,word_score_pc,duration_measured_word,age,ID,session,duration_measured_img,offset_img
Monday,1.0268651010119356,4.797794233018067,11,male,1.7274277469841763,camera,faceWord_exp,6.61,0.4509135039988905,pos,2.728271797997877,image_stim_p.png,5.248707737016957,42,336,1,b,180,21,1,31,-1.0219663684796234,0.7005626459722407,24,24,6,0.6971522329840809,5.494946466002148
Monday,11.117742369999178,17.43560179998167,11,male,11.81188948097406,chocolate,faceWord_exp,7.63,0.4789043870405294,pos,12.81140448700171,image_stim_p.png,17.914506187022198,42,180,2,b,336,21,1,31,-2.539279812815429,0.6941471109748818,24,24,6,0.6915848160278983,18.127186616009567
Monday,21.132880165008828,24.85228744102642,13,male,21.827542854007334,scooter,faceWord_exp,5.42,0.49603488395223394,neu,22.82854195602704,image_stim_p.png,25.348322324978653,42,336,3,b,180,21,1,41,-0.9209473384247756,0.6946626889985055,24,24,6,0.6921438039862551,25.544431245012674
Monday,31.168428233009763,37.48441281699343,13,male,31.8613503749948,escalator,faceWord_exp,5.95,0.5470813179854304,neu,32.862028201983776,image_stim_p.png,38.03149413497886,42,180,4,b,336,21,1,41,-0.1293625696653618,0.6929221419850364,24,24,6,0.6929316180176102,38.17734443501104
Monday,41.183496970974375,44.900374457007274,13,male,41.87695716897724,satire,faceWord_exp,5.81,0.6140187819837593,neu,42.878215683973394,image_stim_p.png,45.51439323899103,42,336,5,b,180,21,1,41,-0.9476055713690849,0.6934601980028674,24,24,6,0.6927625170210376,45.59313697402831
Monday,51.216874822974205,57.539395688974764,12,male,51.910385271999985,funeral,faceWord_exp,2.07,0.42407160002039745,neg,52.91030818002764,image_stim_n.png,57.96346728899516,42,180,6,y,336,22,1,32,4.494524106175375,0.69351044902578,24,24,6,0.7041024380014278,58.24349812697619
Monday,61.24817382602487,64.96693297202,13,male,61.94384526798967,finger,faceWord_exp,5.8,0.49671639897860587,neu,62.94452481798362,image_stim_p.png,65.46364937099861,42,336,7,b,180,21,1,41,-0.3659926056186196,0.6956714419648051,24,24,6,0.6930716119823046,65.66000458400231
Monday,71.28248496400192,77.59999058599351,12,male,71.97651634097565,folly,faceWord_exp,4.11,0.546508105006069,neg,72.97763348103035,image_stim_n.png,78.14649869099958,42,180,8,y,336,22,1,32,2.52891321026023,0.6940313769737259,24,24,6,0.6934190199826844,78.2934096059762
Monday,81.2975981120253,87.61757236602716,11,male,81.99282981798751,honeymoon,faceWord_exp,7.53,0.6287745279842056,pos,82.99381815100787,image_stim_p.png,88.24634689401137,42,180,9,b,336,21,1,31,-3.0889019952949432,0.6952317059622146,24,24,6,0.6917664699722081,88.30933883599937
Monday,91.33338806999382,97.649407747027,12,male,92.02642006101087,rake,faceWord_exp,4.75,0.5471212799893692,neg,93.02704514598008,image_stim_n.png,98.19652902701637,42,180,10,y,336,22,1,32,0.5993691927879942,0.693031991017051,24,24,6,0.6934620550018735,98.34286980202887
Monday,101.34640599397244,107.66473206697265,11,male,102.04260597098619,sun,faceWord_exp,6.92,0.39702105603646487,pos,103.0433436530293,image_stim_p.png,108.06175312300911,42,180,11,b,336,21,1,31,-1.2017878999114775,0.6961999770137481,24,24,6,0.6940448710229248,108.35877693799557
Monday,111.36313341697678,117.68201321800007,11,male,112.05920589098241,dinner,faceWord_exp,6.4,0.5972195520298555,pos,113.05991632299265,image_stim_p.png,118.27923277002992,42,180,12,b,336,21,1,31,-2.2453726125286497,0.6960724740056321,24,24,6,0.6936911719967611,118.37570438999683
Monday,121.38043801201275,125.09824726299848,13,male,122.0744082860183,comb,faceWord_exp,5.65,0.5808334739995189,neu,123.07575810997514,image_stim_n.png,125.679080736998,42,336,13,y,180,22,1,42,-0.15774590184623308,0.6939702740055509,24,24,6,0.692687263013795,125.79093452601228
Monday,131.39609811402624,135.11534343502717,13,male,132.09148653200828,medicine,faceWord_exp,5.9,0.41309267695760354,neu,133.0926759589929,image_stim_p.png,135.52843611198477,42,336,14,b,180,21,1,41,0.597486551423763,0.6953884179820307,24,24,6,0.6927467089844868,135.80809014401166
Monday,141.41288677899865,147.72432006901363,12,male,142.10769484599587,protest,faceWord_exp,4.42,0.5172852560062893,neg,143.10741946700728,image_stim_n.png,148.24160532501992,42,180,15,y,336,22,1,32,1.346131993343653,0.6948080669972114,24,24,6,0.699385515996255,148.42370558500988
Monday,151.42605403700145,157.74793692299863,12,male,152.12424854002893,crow,faceWord_exp,4.32,0.5300018240232021,neg,153.12367285398068,image_stim_n.png,158.27793874702184,42,180,16,b,336,22,0,32,0.8985553834191027,0.6981945030274801,24,24,6,0.6933280550292693,158.4412649780279
Monday,161.4476717460202,165.1653943649726,11,male,162.14046806900296,dolphin,faceWord_exp,6.67,0.6624832460074686,pos,163.1413898220053,image_stim_p.png,165.82787761098007,42,336,17,b,180,21,1,31,-2.035068499528653,0.6927963229827583,24,24,6,0.691989902057685,165.85738426703028
Monday,171.46163168299245,175.1798102359753,13,male,172.1562309319852,prairie,faceWord_exp,5.33,0.6465467080124654,neu,173.15784515801352,image_stim_p.png,175.82635694398778,42,336,18,b,180,21,1,41,-1.1818642926883074,0.6945992489927448,24,24,6,0.6938020710367709,175.87361230701208
Monday,181.4746219799854,187.79678898100974,13,male,182.17335738800466,role,faceWord_exp,5.1,0.746514557977207,neu,183.1746494739782,image_stim_p.png,188.54330353898695,42,180,19,b,336,21,1,41,0.07641955756997082,0.6987354080192745,24,24,6,0.6928069189889356,188.48959589999868
Monday,191.49113939801464,195.21087159600575,12,male,192.18987249297788,lawyer,faceWord_exp,3.94,0.8150495889713056,neg,193.19088433298748,image_stim_n.png,196.02592118497705,42,336,20,y,180,22,1,32,1.4290259416609457,0.6987330949632451,24,24,6,0.6957984259934165,195.90667002199916
Monday,201.5116806810256,205.22856758197304,13,male,202.20644834602717,church,faceWord_exp,5.21,0.5970414540497586,neu,203.20724774501286,image_stim_p.png,205.8256090360228,42,336,21,b,180,21,1,41,0.4070035035588155,0.6947676650015637,24,24,6,0.6935325170052238,205.92210009897826
