no,key_t,offset_word,pause_trigger,duration_measured_img,delay_frames_before,img_trigger,img,condition,age,offset_img,word_score_warriner,correct_resp,word_trigger,scan day,onset_img,duration_frames,word_score_pc,gender,response,duration_measured_word,pause_trigger_t,word_label,session,onset_word,rt,word,delay_frames_after,ID
1,5.333404230535962,1.6827728598145768,32,0.6820032554678619,180,22,image_stim_n.png,faceWord_exp,25,5.382960785762407,4.76,1,12,Monday,4.700957530294545,42,3.561717315569441,male,y,0.6894060861086473,2.6832932009128854,neg,2,0.9933667737059295,0.6324467002414167,landslide,336,2019102101
2,17.783900928567164,11.683260479127057,31,0.6855814828304574,336,21,image_stim_p.png,faceWord_exp,25,17.9835893654963,6.91,1,11,Monday,17.298007882665843,42,-1.7539828459428422,male,b,0.6950987204909325,12.683654103428125,pos,2,10.988161758636124,0.4858930459013209,spaghetti,180,2019102101
3,25.367703755851835,21.683744248817675,41,0.6841943342005834,180,21,image_stim_p.png,faceWord_exp,25,25.383932495489717,5.86,1,13,Monday,24.699738161289133,42,0.10630403813009667,male,b,0.6966003953712061,22.684114133706316,neu,2,20.98714385344647,0.6679655945627019,whole,336,2019102101
4,37.88490805483889,31.684226414421573,31,0.6860033377306536,336,21,image_stim_p.png,faceWord_exp,25,37.98448985721916,6.81,1,11,Monday,37.298486519488506,42,-1.5621536719325724,male,b,0.6962584202410653,32.684589562471956,pos,2,30.987967994180508,0.5864215353503823,sailboat,180,2019102101
5,47.66873391577974,41.68465211894363,32,0.6854348761262372,336,22,image_stim_n.png,faceWord_exp,25,47.984928072895855,2.53,1,12,Monday,47.29949319676962,42,3.4296451702105397,male,y,0.6963306007673964,42.68504895118531,neg,2,40.988321518176235,0.3692407190101221,angry,180,2019102101
6,55.302381057757884,51.68511022441089,42,0.6861050319857895,180,22,image_stim_n.png,faceWord_exp,25,55.3853154736571,5.19,1,13,Monday,54.69921044167131,42,0.650019808676411,male,y,0.6973161050118506,52.685426535317674,neu,2,50.98779411939904,0.6031706160865724,highway,336,2019102101
7,65.13617474224884,61.685617412556894,31,0.6862173125846311,180,21,image_stim_p.png,faceWord_exp,25,65.38579058158211,7.1,1,11,Monday,64.69957326899748,42,-2.5746228757417584,male,b,0.6959235027898103,62.68595810444094,pos,2,60.989693909767084,0.4366014732513577,barbecue,336,2019102101
8,75.18663499702234,71.68610150308814,31,0.6854252521879971,180,21,image_stim_p.png,faceWord_exp,25,75.38626697286963,6.48,1,11,Monday,74.70084172068164,42,-2.4114282062334524,male,b,0.6958904601633549,72.68646400945727,pos,2,70.99021104292478,0.4857932763407007,carnival,336,2019102101
9,87.70417838392314,81.68648550321814,31,0.6849292919505388,336,21,image_stim_p.png,faceWord_exp,25,87.98678936704528,7.88,1,11,Monday,87.30186007509474,42,-1.8879163634684628,male,b,0.695754760876298,82.68686116253957,pos,2,80.99073074234184,0.4023183088283986,joke,180,2019102101
10,97.77103098749649,91.68699718266726,32,0.6850803898414597,336,22,image_stim_n.png,faceWord_exp,25,97.98730617936235,4.29,1,12,Monday,97.30222578952089,42,2.351878020671037,male,y,0.6974806764628738,92.68731894728262,neg,2,90.98951650620438,0.4688051979755983,tired,180,2019102101
