word,word_trigger,offset_word,session,key_t,word_label,word_score_warriner,duration_frames,img,response,onset_img,rt,gender,offset_img,correct_resp,scan day,onset_word,delay_frames_before,img_trigger,pause_trigger_t,word_score_pc,condition,no,pause_trigger,age,duration_measured_img,duration_measured_word,delay_frames_after,ID
advantage,11,1.7090802030288614,3,8.044630466029048,pos,6.71,42,image_stim_p.png,b,7.375817505992018,0.6688129600370303,male,8.075961219030432,1,Monday,1.00961664901115,336,21,2.7106026090332307,-1.2474567486001964,faceWord_exp,1,31,24,0.7001437130384147,0.6994635540177114,180,24
dusty,12,11.792130891000852,3,15.245160071994178,neg,3.95,42,image_stim_n.png,y,14.818428339029197,0.42673173296498135,male,15.526575941999909,1,Monday,11.08187612699112,180,22,12.792392634029966,1.8802224749820768,faceWord_exp,2,32,24,0.7081476029707119,0.7102547640097328,336,24
fountain,11,21.825717061001342,3,27.84582180803409,pos,6.26,42,image_stim_p.png,b,27.448459068022203,0.39736274001188576,male,28.14257514901692,1,Monday,21.132823313993867,336,21,22.825962946983054,-2.0727743906520253,faceWord_exp,3,31,24,0.6941160809947178,0.6928937470074743,180,24
harp,13,31.842908497026656,3,35.295203867019154,neu,5.4,42,image_stim_n.png,b,34.88271615898702,0.4124877080321312,male,35.574896415986586,0,Monday,31.150390473019797,180,22,32.85898747999454,-1.7878104403788575,faceWord_exp,4,42,24,0.6921802569995634,0.6925180240068585,336,24
hope,11,41.874785121995956,3,48.795873509021476,pos,7.48,42,image_stim_p.png,b,48.3387756680022,0.45709784101927653,male,49.04199814499589,1,Monday,41.18020828498993,336,21,43.04369894100819,-2.2287379941341,faceWord_exp,5,31,24,0.7032224769936875,0.694576837006025,180,24
cold,12,52.74121747800382,3,59.028620388009585,neg,4.32,42,image_stim_n.png,y,58.3748829929973,0.6537373950122856,male,59.074445336998906,1,Monday,52.04631981201237,336,22,53.75854149798397,1.7592404876513306,faceWord_exp,6,32,24,0.6995623440016061,0.6948976659914479,180,24
agreement,11,62.77500416099792,3,66.21120224602055,pos,6.75,42,image_stim_p.png,b,65.79721030901419,0.41399193700635806,male,66.49203830503393,1,Monday,62.08097792399349,180,21,63.77490035799565,-1.2126784285084091,faceWord_exp,7,31,24,0.6948279960197397,0.6940262370044366,336,24
park,11,72.79068754601758,3,76.26204795099329,pos,7.0,42,image_stim_p.png,b,75.83772796299309,0.42431998800020665,male,76.54185908799991,1,Monday,72.09668212302495,180,21,73.79101430403534,-1.9950971558262764,faceWord_exp,8,31,24,0.7041311250068247,0.6940054229926318,336,24
foot,12,82.84040922200074,3,88.92822646501008,neg,4.68,42,image_stim_n.png,y,88.46978325303644,0.4584432119736448,male,89.17441034503281,1,Monday,82.14634983701399,336,22,83.84113988600438,0.41231466195915456,faceWord_exp,9,32,24,0.7046270919963717,0.6940593849867582,180,24
cabinet,13,92.87425895303022,3,96.41160220099846,neu,5.1,42,image_stim_p.png,b,95.91601598501438,0.49558621598407626,male,96.60752258700086,1,Monday,92.1793046410312,180,21,93.8741767500178,0.05858023181365075,faceWord_exp,10,41,24,0.6915066019864753,0.6949543119990267,336,24
