ID,img,correct_resp,img_trigger,onset_img,word_label,pause_trigger_t,session,duration_measured_img,response,delay_frames_before,condition,onset_word,scan day,delay_frames_after,pause_trigger,word,key_t,word_trigger,duration_frames,offset_word,no,duration_measured_word,gender,word_score_pc,rt,offset_img,age,word_score_warriner
77,image_stim_p.png,1,21,5.010756211006083,neu,2.732876526992186,2,0.7065056139981607,b,180,faceWord_exp,1.0239569889963605,Monday,336,41,verb,5.770307326994953,13,42,1.7322318660008023,1,0.7082748770044418,female,0.17918122123944408,0.7595511159888702,5.717261825004243,25,5.27
77,image_stim_n.png,1,22,15.077394306994393,neg,13.02116636300343,2,0.6947640810103621,y,180,faceWord_exp,11.32575561599515,Monday,336,32,axe,15.558791999996174,12,42,12.020923296004185,2,0.6951676800090354,female,0.7321109855355353,0.4813976930017816,15.772158388004755,25,3.48
77,image_stim_n.png,1,22,27.711068003001856,neg,23.07577464899805,2,0.7003609879902797,y,336,faceWord_exp,21.382923975004815,Monday,180,32,angry,28.131732216992532,12,42,22.075017170005594,3,0.6920931950007798,female,3.4296451702105397,0.4206642139906762,28.411428990992135,25,2.53
77,image_stim_p.png,1,21,35.147637660993496,pos,33.11398819400347,2,0.7002125430008164,b,180,faceWord_exp,31.420840099992347,Monday,336,31,mercy,35.55136361399491,11,42,32.113255956996,4,0.6924158570036525,female,-1.0752281295040744,0.40372595300141256,35.84785020399431,25,6.4
77,image_stim_n.png,1,22,45.20218946499517,neg,43.16920891600603,2,0.7004995540046366,y,180,faceWord_exp,41.464631944996654,Monday,336,32,office,45.62376597800176,12,42,42.16825695200532,5,0.703625007008668,female,0.6502198887451732,0.4215765130065847,45.90268901899981,25,4.54
77,image_stim_n.png,1,22,55.24169503999292,neu,53.20699279199471,2,0.6995958230108954,y,180,faceWord_exp,51.513327574997675,Monday,336,42,whole,55.82856610100134,13,42,52.20595661099651,6,0.6926290359988343,female,0.10630403813009667,0.5868710610084236,55.941290863003815,25,5.86
77,image_stim_n.png,1,22,67.87951047100069,neg,63.24514554000052,2,0.7175669510033913,y,336,faceWord_exp,61.55229143500037,Monday,180,32,stone,68.23566288799339,12,42,62.24401719299203,7,0.6917257579916622,female,0.5494484707734639,0.3561524169926997,68.59707742200408,25,4.81
77,image_stim_p.png,0,21,77.95601413999975,pos,73.3168342190038,2,0.6961023000039859,y,336,faceWord_exp,71.62094280299789,Monday,180,31,summer,78.40494297299301,11,42,72.3152971840027,8,0.6943543810048141,female,-1.7608811602119443,0.4489288329932606,78.65211644000374,25,7.5
77,image_stim_n.png,1,22,87.98881739200442,neg,83.3549895019969,2,0.7008840679918649,y,336,faceWord_exp,81.65925896599947,Monday,180,32,van,88.67631640199397,12,42,82.35381095200137,9,0.6945519860018976,female,-0.14866519221167074,0.6874990099895513,88.68970145999629,25,4.43
77,image_stim_p.png,1,21,98.02519950999704,neu,93.39243725899723,2,0.7022508109948831,b,336,faceWord_exp,91.69779288499558,Monday,180,41,asparagus,98.48081079099211,13,42,92.39133039000444,10,0.6935375050088624,female,-0.34443889393116306,0.45561128099507187,98.72745032099192,25,5.43
