delay_frames_after,word_score_pc,pause_trigger_t,word_score_warriner,offset_word,response,ID,duration_frames,scan day,word_trigger,word,img_trigger,gender,key_t,offset_img,condition,img,pause_trigger,word_label,duration_measured_img,age,session,duration_measured_word,no,correct_resp,rt,onset_word,onset_img,delay_frames_before
336,3.4296451702105397,2.6768126767128706,2.53,1.6765470523387194,y,2019102205,42,Tuesday,12,angry,22,female,5.076938623562455,5.376581314019859,faceWord_exp,image_stim_n.png,32,neg,0.6816494106315076,25,2,0.6895501262042671,1,1,0.382006720174104,0.9869969261344522,4.694931903388351,180
336,-2.4114282062334524,12.677279764553532,6.48,11.676914370851591,b,2019102205,42,Tuesday,11,carnival,21,female,15.2607322758995,15.377062196610495,faceWord_exp,image_stim_p.png,31,pos,0.6856318488717079,25,2,0.694759632460773,2,1,0.5693019281607121,10.982154738390818,14.691430347738788,180
180,-0.5485436049411244,22.67775326850824,5.72,21.677349378587678,y,2019102205,42,Tuesday,13,apartment,22,female,27.89476662618108,27.97765997936949,faceWord_exp,image_stim_n.png,42,neu,0.684475677786395,25,2,0.6954499988351017,3,1,0.6015823245979846,20.981899379752576,27.293184301583096,336
180,-1.926056195769395,32.678312747506425,6.8,31.6778726070188,b,2019102205,42,Tuesday,11,fireworks,21,female,37.76179284788668,37.97813380416483,faceWord_exp,image_stim_p.png,31,pos,0.6856279992498457,25,2,0.695042900973931,4,1,0.46928704297170043,30.982829706044868,37.29250580491498,336
180,-2.2291915044129413,42.67877213633619,6.73,41.67830889788456,b,2019102205,42,Tuesday,11,luck,21,female,47.69571754778735,47.97857298213057,faceWord_exp,image_stim_p.png,31,pos,0.6850072469096631,25,2,0.6965484253596514,5,1,0.4021518125664443,40.98176047252491,47.29356573522091,336
336,0.3296196251321362,52.679184046108276,5.15,51.678811594843864,y,2019102205,42,Tuesday,13,pan,22,female,55.46277507999912,55.37889429763891,faceWord_exp,image_stim_n.png,42,neu,0.6858750167302787,25,2,0.697736355708912,6,1,0.7697557990904897,50.98107523913495,54.69301928090863,180
336,0.4272037094573085,62.679647284559906,5.03,61.67918340465985,y,2019102205,42,Tuesday,13,scissors,22,female,65.41327723162249,65.37934823264368,faceWord_exp,image_stim_n.png,42,neu,0.685346013866365,25,2,0.6972718343604356,7,1,0.7192750128451735,60.98191157029942,64.69400221877731,180
336,-0.09980687036967174,72.68006304418668,5.55,71.67970278323628,y,2019102205,42,Tuesday,13,eggplant,22,female,75.31350711826235,75.37981115025468,faceWord_exp,image_stim_n.png,42,neu,0.6853023848962039,25,2,0.6975682554766536,8,1,0.6189983529038727,70.98213452775963,74.69450876535848,180
180,-0.34443889393116306,82.68052949034609,5.43,81.68011661805212,y,2019102205,42,Tuesday,13,asparagus,22,female,87.91408180329017,87.98039802582934,faceWord_exp,image_stim_n.png,42,neu,0.6860986158717424,25,2,0.6973295786883682,9,1,0.6197823933325708,80.98278703936376,87.2942994099576,336
180,1.3393636650983416,92.68098855833523,4.78,91.68056221236475,y,2019102205,42,Tuesday,12,heavy,22,female,97.78123698756099,97.98086671764031,faceWord_exp,image_stim_n.png,32,neg,0.6854922997299582,25,2,0.6966501197312027,10,1,0.4858625696506351,90.98391209263355,97.29537441791035,336
336,0.17918122123944408,102.68142067897134,5.27,101.68100941041484,y,2019102205,42,Tuesday,13,verb,22,female,105.33182235527784,105.38123102067038,faceWord_exp,image_stim_n.png,42,neu,0.6853241994976997,25,2,0.6968249566853046,11,1,0.6359155341051519,100.98418445372954,104.69590682117268,180
180,-0.06058349899147484,112.68186531076208,5.48,111.6814787441399,y,2019102205,42,Tuesday,13,business,22,female,117.9654739885591,117.98175951000303,faceWord_exp,image_stim_n.png,42,neu,0.6853758485522121,25,2,0.6970639545470476,12,1,0.6690903271082789,110.98441478959285,117.29638366145082,336
336,-0.14866519221167074,122.68234138097614,4.43,121.68194871931337,y,2019102205,42,Tuesday,12,van,22,female,125.19907730887644,125.38215878047049,faceWord_exp,image_stim_n.png,32,neg,0.6850014724768698,25,2,0.6976215087343007,13,1,0.5019200008828193,120.98432721057907,124.69715730799362,180
180,0.1106807997481866,132.68281905539334,5.65,131.68238918064162,b,2019102205,42,Tuesday,13,theory,21,female,138.09987565712072,137.9826981772203,faceWord_exp,image_stim_p.png,41,neu,0.6854364802129567,25,2,0.6974049671553075,14,1,0.8026139601133764,130.9849842134863,137.29726169700734,336
336,-3.1565376907491283,142.6832081885077,8.53,141.68283124594018,b,2019102205,42,Tuesday,11,vacation,21,female,145.1334190517664,145.38303136243485,faceWord_exp,image_stim_p.png,31,pos,0.6843415824696422,25,2,0.6971935585606843,15,1,0.4347292718011886,140.9856376873795,144.6986897799652,180
180,2.483224745184551,152.68375002336688,3.57,151.68331469479017,y,2019102205,42,Tuesday,12,cough,22,female,157.70077146519907,157.98358230805025,faceWord_exp,image_stim_n.png,32,neg,0.6850762194953859,25,2,0.6969725259114057,16,1,0.402265376644209,150.98634216887876,157.29850608855486,336
336,-1.2978987804410356,162.68411637935787,6.76,161.68377761240117,b,2019102205,42,Tuesday,11,artist,21,female,165.45116557064466,165.3839613678865,faceWord_exp,image_stim_p.png,31,pos,0.684963297098875,25,2,0.6972942904103547,17,1,0.7521674998570234,160.98648332199082,164.69899807078764,180
336,-1.7608811602119443,172.68459982820787,7.5,171.68420780799352,b,2019102205,42,Tuesday,11,summer,21,female,175.1848067457322,175.38439701707102,faceWord_exp,image_stim_p.png,31,pos,0.6855612720828503,25,2,0.6974280648864806,18,1,0.4859710007440299,170.98677974310704,174.69883574498817,180
336,0.16339675594021513,182.684997622855,4.41,181.6846793871373,y,2019102205,42,Tuesday,12,jaw,22,female,185.2518447728362,185.3848788619507,faceWord_exp,image_stim_n.png,32,neg,0.6846655926201493,25,2,0.6958596631884575,19,1,0.5516315035056323,180.98881972394884,184.70021326933056,180
180,0.6502198887451732,192.68546920199879,4.54,191.68512979336083,y,2019102205,42,Tuesday,12,office,22,female,198.05263433116488,197.985422429163,faceWord_exp,image_stim_n.png,32,neg,0.6843938732054085,25,2,0.6974007966928184,20,1,0.7516057752072811,190.987728996668,197.3010285559576,336
336,-2.5746228757417584,202.68617400433868,7.1,201.68560778861865,b,2019102205,42,Tuesday,11,barbecue,21,female,205.43612347822636,205.38577807042748,faceWord_exp,image_stim_p.png,31,pos,0.6847522091120481,25,2,0.6970761448610574,21,1,0.7350976169109344,200.9885316437576,204.70102586131543,180
336,0.0657349158769076,212.6864306461066,5.29,211.686043438036,y,2019102205,42,Tuesday,13,camel,22,female,215.3700712758582,215.38625702797435,faceWord_exp,image_stim_n.png,42,neu,0.6841362689156085,25,2,0.6973889272194356,22,1,0.6679505167994648,210.98865451081656,214.70212075905874,180
336,-2.0702836690965865,222.68689965899102,6.95,221.68651309236884,b,2019102205,42,Tuesday,11,restaurant,21,female,225.27045899746008,225.38669075258076,faceWord_exp,image_stim_p.png,31,pos,0.6853540339507163,25,2,0.6971056587062776,23,1,0.5691222788300365,220.98940743366256,224.70133671863005,180
180,-1.8879163634684628,232.68733402504586,7.88,231.68710240582004,b,2019102205,42,Tuesday,11,joke,21,female,237.95429724128917,237.98726190882735,faceWord_exp,image_stim_p.png,31,pos,0.6857704352587461,25,2,0.6977219195105135,24,1,0.6528057677205652,230.98938048630953,237.3014914735686,336
336,-1.7947555393350414,242.68790729856119,6.4,241.6874151879456,b,2019102205,42,Tuesday,11,piano,21,female,245.27128698769957,245.38764481828548,faceWord_exp,image_stim_p.png,31,pos,0.6846274172421545,25,2,0.697370320558548,25,1,0.5682695866562426,240.99004486738704,244.70301740104333,180
180,3.222893544100452,252.68828648678027,2.95,251.68787489761598,y,2019102205,42,Tuesday,12,perjury,22,female,258.0389421742875,257.988191914279,faceWord_exp,image_stim_n.png,32,neg,0.6849693923722953,25,2,0.6973892480600625,26,1,0.7357196523807943,250.99048564955592,257.3032225219067,336
336,-0.5451009915059291,262.68874651705846,5.8,261.6883657248691,b,2019102205,42,Tuesday,13,toaster,21,female,265.55584106966853,265.38856936991215,faceWord_exp,image_stim_p.png,41,neu,0.6850675577297807,25,2,0.6972131275106221,27,1,0.8523392574861646,260.99115259735845,264.70350181218237,180
180,1.472290472628449,272.6890772639308,4.1,271.6887975244317,y,2019102205,42,Tuesday,12,clang,22,female,278.0232039410621,277.98909400985576,faceWord_exp,image_stim_n.png,32,neg,0.6854117785114795,25,2,0.6973975887522101,28,1,0.7195217097178102,270.9913999356795,277.3036822313443,336
336,4.537930167489568,282.6896877505351,2.35,281.6892517802771,y,2019102205,42,Tuesday,12,terrorist,22,female,285.4733288292773,285.389420137275,faceWord_exp,image_stim_n.png,32,neg,0.685672590509057,25,2,0.6973796237725765,29,1,0.7695812825113535,280.99187215650454,284.70374754676595,180
336,-0.049892793833906636,292.69012243743055,5.5,291.6897644221317,y,2019102205,42,Tuesday,13,nose,22,female,295.27354607661255,295.38990262383595,faceWord_exp,image_stim_n.png,42,neu,0.685859939083457,25,2,0.6976333782076836,30,1,0.5695033918600529,290.992131043924,294.7040426847525,180
180,2.373388118792564,302.6906071694102,4.52,301.6901641418226,y,2019102205,42,Tuesday,12,excuse,22,female,307.974191787187,307.99052959959954,faceWord_exp,image_stim_n.png,32,neg,0.6857980242930353,25,2,0.6964159342460334,31,1,0.6694602118805051,300.9937482075766,307.3047315753065,336
336,-0.32263149533554664,312.6910380066838,5.67,311.6906248135492,y,2019102205,42,Tuesday,13,attribute,22,female,315.3411522444803,315.39081562682986,faceWord_exp,image_stim_n.png,42,neu,0.6854788262862712,25,2,0.6972310922574252,32,1,0.6358154439367354,310.9933937212918,314.7053368005436,180
