offset_img,ID,word_label,onset_img,delay_frames_after,key_t,no,img_trigger,word,duration_frames,correct_resp,response,session,duration_measured_word,scan day,age,delay_frames_before,duration_measured_img,rt,word_trigger,pause_trigger,img,condition,word_score_pc,gender,offset_word,onset_word,word_score_warriner,pause_trigger_t
8.110127683990868,matilde,neg,7.4002043749787845,180,7.878955283988034,1,22,hospital,42,1,y,1,0.7048630560166202,Monday,24,336,0.7099233090120833,0.4787509090092499,12,32,image_stim_n.png,faceWord_exp,2.561630339716405,female,1.7102485159994103,1.00538545998279,3.52,2.71079722000286
15.526962581992848,matilde,neg,14.837683981982991,336,15.246340393001447,2,22,commander,42,1,y,1,0.6917613240075298,Monday,24,180,0.6892786000098567,0.4086564110184554,12,32,image_stim_n.png,faceWord_exp,0.98843671158419,female,11.810758610983612,11.118997286976082,4.73,12.811258874979103
28.160155124001903,matilde,neu,27.4560428049881,180,28.097183267993387,3,21,man,42,1,b,1,0.6958369159838185,Monday,24,336,0.7041123190138023,0.6411404630052857,13,41,image_stim_p.png,faceWord_exp,-0.277657621999038,female,21.827356365974993,21.131519449991174,5.42,22.827645104989642
38.19410674300161,matilde,neu,37.490054625988705,180,38.14786386798369,4,22,corkscrew,42,1,y,1,0.6934081080253236,Monday,24,336,0.7040521170129068,0.6578092419949826,13,42,image_stim_n.png,faceWord_exp,-0.3369766028281135,female,31.860394196002744,31.16698608797742,5.26,32.86110742998426
48.21041771498858,matilde,neg,47.51944597598049,180,48.06354649597779,5,22,avalanche,42,1,y,1,0.6943812129902653,Monday,24,336,0.6909717390080914,0.5441005199973006,12,32,image_stim_n.png,faceWord_exp,3.2148840110758776,female,41.893738625978585,41.19935741298832,4.0,42.894194988999516
55.62683382598334,matilde,neg,54.93536466397927,336,55.41369801698602,6,22,alligator,42,1,y,1,0.6950320310133975,Monday,24,180,0.6914691620040685,0.4783333530067466,12,32,image_stim_n.png,faceWord_exp,1.9014187675556817,female,51.90918739399058,51.21415536297718,4.23,52.90986351398169
65.64287996198982,matilde,pos,64.95323284799815,336,65.47962731297594,7,21,oak,42,1,b,1,0.6962011879950296,Monday,24,180,0.6896471139916684,0.5263944649777841,11,31,image_stim_p.png,faceWord_exp,-1.0543324261381863,female,61.92686459198012,61.23066340398509,6.47,62.92722991798655
78.26006595999934,matilde,neg,77.57049052597722,180,78.0950790969946,8,22,tornado,42,1,y,1,0.6952078820031602,Monday,24,336,0.6895754340221174,0.5245885710173752,12,32,image_stim_n.png,faceWord_exp,3.6605330306018913,female,71.94317527700332,71.24796739500016,3.63,72.94362851098413
85.67656413197983,matilde,neu,84.98513022798579,336,85.47838377798325,9,22,fence,42,1,y,1,0.6950800160120707,Monday,24,180,0.6914339039940387,0.49325354999746196,13,42,image_stim_n.png,faceWord_exp,0.3759356543037889,female,81.9599245559948,81.26484453998273,5.05,82.95904707198497
95.69307357398793,matilde,neg,95.00344276498072,336,95.49539108999306,10,22,diplomat,42,1,y,1,0.6929846870189067,Monday,24,180,0.6896308090072125,0.49194832501234487,12,32,image_stim_n.png,faceWord_exp,0.13451130194660302,female,91.97642135000206,91.28343666298315,4.65,92.97602852797718
105.75939810698037,matilde,pos,105.05436622397974,336,105.59536453799228,11,21,fun,42,1,b,1,0.6949973900045734,Monday,24,180,0.705031883000629,0.5409983140125405,11,31,image_stim_p.png,faceWord_exp,-3.2613064969771037,female,102.02595517298323,101.33095778297866,8.37,103.02667267297511
115.77600396997877,matilde,neu,115.08454067498678,336,115.57886534099816,12,21,hamster,42,1,b,1,0.6952062190102879,Monday,24,180,0.6914632949919906,0.49432466601138003,13,41,image_stim_p.png,faceWord_exp,-1.1856791528275217,female,112.05931307398714,111.36410685497685,5.88,113.06001032100176
128.4092136370018,matilde,neu,127.70487435397808,180,128.22857763798675,13,21,keyboard,42,1,b,1,0.6942009610065725,Monday,24,336,0.7043392830237281,0.5237032840086613,13,41,image_stim_p.png,faceWord_exp,-0.08455950357770388,female,122.07595329699689,121.38175233599031,5.17,123.0764750559756
135.82589011697564,matilde,neu,135.13458714500302,336,135.79505256999983,14,21,school,42,1,b,1,0.6951979070145171,Monday,24,180,0.6913029719726183,0.6604654249968007,13,41,image_stim_p.png,faceWord_exp,0.26215401176465297,female,132.10906906999298,131.41387116297847,5.41,133.10963698997512
148.44231413898524,matilde,neg,147.75153748699813,180,148.27865804798785,15,22,hurricane,42,0,b,1,0.6952372739906423,Monday,24,336,0.6907766519871075,0.5271205609897152,12,32,image_stim_n.png,faceWord_exp,3.648586845460279,female,142.1255915039801,141.43035422998946,3.16,143.1262131149997
