condition,scan day,delay_frames_after,correct_resp,word_score_warriner,onset_img,img,onset_word,word,duration_frames,no,age,duration_measured_word,gender,offset_img,session,duration_measured_img,word_score_pc,pause_trigger_t,pause_trigger,rt,ID,word_label,delay_frames_before,img_trigger,response,word_trigger,offset_word,key_t
faceWord_exp,Monday,336,1,5.25,4.9549151550018,image_stim_p.png,1.0153772379999282,stapler,42,1,25,0.718155606999062,female,5.651922467004624,5,0.6970073120028246,0.19443075193465506,2.734487017005449,41,0.5510438909986988,77,neu,180,21,b,13,1.7335328449989902,5.505959046000498
faceWord_exp,Monday,180,1,5.7,17.593602174005355,image_stim_n.png,11.26090929300699,mandolin,42,2,25,0.6938582709990442,female,18.29091964600957,5,0.6973174720042152,-1.4097678477610591,12.955726647007396,42,0.49923436300014146,77,neu,336,22,y,13,11.954767564006033,18.092836537005496
faceWord_exp,Monday,180,1,4.26,27.629938233003486,image_stim_n.png,21.301552618009737,dictation,42,3,25,0.6914653129933868,female,28.32922544500616,5,0.6992872120026732,0.7498341013103271,22.992644247002318,32,0.5196262310055317,77,neg,336,22,y,12,21.993017931003124,28.149564464009018
faceWord_exp,Monday,180,1,7.12,37.66556141500769,image_stim_p.png,31.336425499001052,applause,42,4,25,0.6946168459980981,female,38.367611074005254,5,0.7020496589975664,-2.3591802685249372,33.03206472200691,31,0.5210816689941566,77,pos,336,21,b,11,32.03104234499915,38.186643084001844
faceWord_exp,Monday,336,1,5.64,45.101900217996445,image_stim_n.png,41.37410503800493,company,42,5,25,0.6950547659944277,female,45.804330890998244,5,0.7024306730017997,0.4587040848007746,43.07005437700718,42,0.522921686002519,77,neu,180,22,y,13,42.069159803999355,45.62482190399896
faceWord_exp,Monday,336,1,6.81,55.13691241000197,image_stim_p.png,51.41558355400048,tangerine,42,6,25,0.6917297440086259,female,55.84226863300137,5,0.7053562229993986,-1.178487968131687,53.10816867300309,31,0.5591253169986885,77,pos,180,21,b,11,52.1073132980091,55.69603772700066
faceWord_exp,Monday,336,1,7.18,65.17514585700701,image_stim_p.png,61.45112129300833,television,42,7,25,0.6942203020007582,female,65.88046887500968,5,0.705323018002673,-1.295378487470534,63.146376165008405,31,0.3908205109910341,77,pos,180,21,b,11,62.145341595009086,65.56596636799804
faceWord_exp,Monday,180,1,5.58,77.81461047200719,image_stim_p.png,71.48733918099606,dime,42,8,25,0.6960531130025629,female,78.51952888800588,5,0.7049184159986908,-0.8220066925000616,73.18452398400404,41,0.5076219309994485,77,neu,336,21,b,13,72.18339229399862,78.32223240300664
faceWord_exp,Monday,180,1,5.43,87.85195055100485,image_stim_n.png,81.52585791800811,editor,42,9,25,0.6957949700008612,female,88.55796284700045,5,0.7060122959956061,0.14106522732466809,83.22261656800401,42,0.4921851230028551,77,neu,336,22,y,13,82.22165288800898,88.3441356740077
faceWord_exp,Monday,180,1,2.33,97.88881348099676,image_stim_n.png,91.56466428800195,grief,42,10,25,0.6948822310077958,female,98.59551326200017,5,0.7066997810034081,4.735833249102137,93.26084627900855,32,0.42600703101197723,77,neg,336,22,y,12,92.25954651900975,98.31482051200874
faceWord_exp,Monday,336,1,5.61,105.32761600700906,image_stim_n.png,101.60263567999937,mushroom,42,11,25,0.6949351860093884,female,106.03226824900776,5,0.7046522419987014,0.08756588783899029,103.29865032400994,42,0.4248371949943248,77,neu,180,22,y,13,102.29757086600875,105.75245320200338
faceWord_exp,Monday,336,1,7.84,115.36507511300442,image_stim_p.png,111.64058457101055,friendly,42,12,25,0.6951603799971053,female,116.07090430500102,5,0.7058291919965995,-2.9544920916265727,113.33697692000715,31,0.4584530659922166,77,pos,180,21,b,11,112.33574495100765,115.82352817899664
faceWord_exp,Monday,336,1,4.95,125.4018693370017,image_stim_n.png,121.6811467360094,hierarchy,42,13,25,0.6928665559971705,female,126.10873407400504,5,0.7068647370033432,1.0236166268558873,123.37509341200348,32,0.5440897980006412,77,neg,180,22,y,12,122.37401329200657,125.94595913500234
faceWord_exp,Monday,336,1,6.14,135.4731235220097,image_stim_p.png,131.71646185600548,theater,42,14,25,0.6955342790024588,female,136.18053802099894,5,0.7074144989892375,-1.8816288507581482,133.4124669140001,31,0.47715295299713034,77,pos,180,21,b,11,132.41199613500794,135.95027647500683
faceWord_exp,Monday,336,1,2.58,145.5107170590054,image_stim_n.png,141.78968353400705,jealousy,42,15,25,0.6938307899981737,female,146.20193237000785,5,0.6912153110024519,3.693241029119933,143.4844342800061,32,0.31138152099447325,77,neg,180,22,y,12,142.48351432400523,145.82209857999987
faceWord_exp,Monday,336,1,7.0,155.53228910399775,image_stim_p.png,151.81002180700307,water,42,16,25,0.6948851640045177,female,156.22342598100659,5,0.6911368770088302,-1.2320142343270626,153.50569247000385,31,0.3275097740115598,77,pos,180,21,b,11,152.50490697100759,155.85979887800931
faceWord_exp,Monday,336,1,3.15,165.5538156380062,image_stim_n.png,161.83040109000285,riot,42,17,25,0.6960557230049744,female,166.2448443660105,5,0.6910287280043121,3.227422121163128,163.5275250220002,32,0.2763788099982776,77,neg,180,22,y,12,162.52645681300783,165.83019444800448
faceWord_exp,Monday,336,0,6.62,175.57513379500597,image_stim_p.png,171.85265798900218,intellect,42,18,25,0.695519636006793,female,176.26575761500862,5,0.6906238200026564,-2.249771083793789,173.54899025900522,31,0.993657187995268,77,pos,180,21,y,11,172.54817762500898,176.56879098300124
faceWord_exp,Monday,180,1,2.33,188.19823482799984,image_stim_n.png,181.8740523919987,dangerous,42,19,25,0.6952657040092163,female,188.9056342499971,5,0.7073994219972519,3.17672342877373,183.5701801660034,32,0.27648848200624343,77,neg,336,22,y,12,182.56931809600792,188.47472331000608
